time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 23:52:41.357616
",convexHull,100.02,0.292578125,96.0,0.30%,0.0,0.0,0.006669921875,0.0
"2024-11-13 23:52:41.357616
",minSpanningForest,96.95,0.1673828125,96.0,0.17%,0.0,0.0,0.005703125,0.0
"2024-11-13 23:52:44.014746
",convexHull,96.19,0.36142578125,96.0,0.38%,0.0,0.0,0.01416015625,0.0
"2024-11-13 23:52:44.014746
",minSpanningForest,97.98,0.35615234375,96.0,0.37%,0.0,0.0,0.008505859375,0.0
"2024-11-13 23:52:46.029425
",convexHull,100.14,0.40107421875,96.0,0.42%,0.0,0.0,0.01416015625,0.0
"2024-11-13 23:52:46.029425
",minSpanningForest,100.05,0.4017578125,96.0,0.42%,0.0,0.0,0.008505859375,0.0
"2024-11-13 23:52:48.045719
",convexHull,93.06,0.0978515625,96.0,0.10%,0.0,0.0,0.0162109375,0.01826171875
"2024-11-13 23:52:48.045719
",minSpanningForest,95.25,0.08453125,96.0,0.09%,0.0,0.0,0.0086328125,0.01845703125
"2024-11-13 23:52:50.060593
",convexHull,100.00,0.3001953125,96.0,0.31%,0.0,0.0,0.01640625,0.01826171875
"2024-11-13 23:52:50.060593
",minSpanningForest,100.09,0.29716796875,96.0,0.31%,0.0,0.0,0.00865234375,0.01845703125
"2024-11-13 23:52:52.077151
",convexHull,99.80,0.313671875,96.0,0.33%,0.0,0.0,0.01640625,0.01826171875
"2024-11-13 23:52:52.077151
",minSpanningForest,99.77,0.34833984375,96.0,0.36%,0.0,0.0,0.00865234375,0.01845703125
"2024-11-13 23:52:54.090440
",convexHull,97.23,0.103515625,96.0,0.11%,0.0,0.0,0.01640625,0.030859375
"2024-11-13 23:52:54.090440
",minSpanningForest,99.88,0.3900390625,96.0,0.41%,0.0,0.0,0.00865234375,0.01845703125
"2024-11-13 23:52:56.107597
",convexHull,99.73,0.35,96.0,0.36%,0.0,0.0,0.01640625,0.030859375
"2024-11-13 23:52:56.107597
",minSpanningForest,99.83,0.42421875,96.0,0.44%,0.0,0.0,0.00865234375,0.01845703125
"2024-11-13 23:52:58.121632
",convexHull,99.49,0.414453125,96.0,0.43%,0.0,0.0,0.01640625,0.030859375
"2024-11-13 23:52:58.121632
",minSpanningForest,99.48,0.42724609375,96.0,0.45%,0.0,0.0,0.00865234375,0.01845703125
"2024-11-13 23:53:00.138307
",convexHull,100.07,0.42490234375,96.0,0.44%,0.0,0.0,0.01640625,0.030859375
"2024-11-13 23:53:00.138307
",minSpanningForest,100.09,0.195703125,96.0,0.20%,0.0,0.0,0.008662109375,0.0416015625
"2024-11-13 23:53:02.152209
",convexHull,100.04,0.42509765625,96.0,0.44%,0.0,0.0,0.01640625,0.030859375
"2024-11-13 23:53:02.152209
",minSpanningForest,99.99,0.29423828125,96.0,0.31%,0.0,0.0,0.008662109375,0.0416015625
"2024-11-13 23:53:04.165592
",convexHull,93.90,0.45654296875,96.0,0.48%,0.0,0.0,0.01640625,0.05859375
"2024-11-13 23:53:04.165592
",minSpanningForest,99.91,0.15048828125,96.0,0.16%,0.0,0.0,0.008662109375,0.05087890625
"2024-11-13 23:53:06.180966
",convexHull,4257.53,10.9,96.0,11.36%,0.0,0.0,0.016796875,0.05859375
"2024-11-13 23:53:06.180966
",minSpanningForest,100.18,0.32626953125,96.0,0.34%,0.0,0.0,0.008662109375,0.05087890625
"2024-11-13 23:53:08.195721
",convexHull,4791.16,31.62,96.0,32.94%,0.0,0.0,0.016796875,0.05859375
"2024-11-13 23:53:08.195721
",minSpanningForest,100.12,0.36171875,96.0,0.38%,0.0,0.0,0.008662109375,0.05087890625
"2024-11-13 23:53:10.206472
",convexHull,34.19,34.56,96.0,36.00%,0.0,0.0,0.900390625,0.05859375
"2024-11-13 23:53:10.206472
",minSpanningForest,100.12,0.404296875,96.0,0.42%,0.0,0.0,0.008662109375,0.05087890625
"2024-11-13 23:53:12.221096
",convexHull,31.51,34.56,96.0,36.00%,0.0,0.0,1.83,0.05859375
"2024-11-13 23:53:12.221096
",minSpanningForest,94.51,0.024384765625,96.0,0.03%,0.0,0.0,0.008662109375,0.0705078125
"2024-11-13 23:53:14.238624
",convexHull,24.69,34.56,96.0,36.00%,0.0,0.0,2.61,0.05859375
"2024-11-13 23:53:14.238624
",minSpanningForest,4806.75,15.23,96.0,15.87%,0.0,0.0,0.008671875,0.0705078125
"2024-11-13 23:53:16.251215
",convexHull,25.23,34.56,96.0,36.00%,0.0,0.0,3.29,0.05859375
"2024-11-13 23:53:16.251215
",minSpanningForest,4783.03,38.2,96.0,39.79%,0.0,0.0,0.008671875,0.0705078125
"2024-11-13 23:53:18.264164
",convexHull,21.49,34.56,96.0,36.00%,0.0,0.0,3.72,0.05859375
"2024-11-13 23:53:18.264164
",minSpanningForest,21.12,40.83,96.0,42.53%,0.0,0.0,0.3564453125,0.0705078125
"2024-11-13 23:53:20.279667
",convexHull,21.15,34.56,96.0,36.00%,0.0,0.0,4.12,0.05859375
"2024-11-13 23:53:20.279667
",minSpanningForest,20.98,41.2,96.0,42.92%,0.0,0.0,0.744140625,0.0705078125
"2024-11-13 23:53:22.292210
",convexHull,20.89,34.56,96.0,36.00%,0.0,0.0,4.5,0.05859375
"2024-11-13 23:53:22.292210
",minSpanningForest,20.47,41.56,96.0,43.29%,0.0,0.0,1.15,0.0705078125
"2024-11-13 23:53:24.303840
",convexHull,20.77,34.56,96.0,36.00%,0.0,0.0,4.9,0.05859375
"2024-11-13 23:53:24.303840
",minSpanningForest,21.67,41.93,96.0,43.68%,0.0,0.0,1.55,0.0705078125
"2024-11-13 23:53:26.318784
",convexHull,21.74,34.56,96.0,36.00%,0.0,0.0,5.32,0.05859375
"2024-11-13 23:53:26.318784
",minSpanningForest,21.84,42.32,96.0,44.08%,0.0,0.0,1.96,0.0705078125
"2024-11-13 23:53:28.331495
",convexHull,22.71,34.56,96.0,36.00%,0.0,0.0,5.73,0.05859375
"2024-11-13 23:53:28.331495
",minSpanningForest,22.26,42.7,96.0,44.48%,0.0,0.0,2.37,0.0705078125
"2024-11-13 23:53:30.346135
",convexHull,22.48,34.56,96.0,36.00%,0.0,0.0,6.15,0.05859375
"2024-11-13 23:53:30.346135
",minSpanningForest,22.58,43.09,96.0,44.89%,0.0,0.0,2.79,0.0705078125
"2024-11-13 23:53:32.361135
",convexHull,22.57,34.56,96.0,36.00%,0.0,0.0,6.56,0.05859375
"2024-11-13 23:53:32.361135
",minSpanningForest,22.75,43.48,96.0,45.29%,0.0,0.0,3.2,0.0705078125
"2024-11-13 23:53:34.374369
",convexHull,21.38,34.56,96.0,36.00%,0.0,0.0,6.97,0.05859375
"2024-11-13 23:53:34.374369
",minSpanningForest,22.18,43.86,96.0,45.69%,0.0,0.0,3.62,0.0705078125
"2024-11-13 23:53:36.391101
",convexHull,19.28,34.56,96.0,36.00%,0.0,0.0,7.37,0.05859375
"2024-11-13 23:53:36.391101
",minSpanningForest,19.64,44.23,96.0,46.07%,0.0,0.0,4.01,0.0705078125
"2024-11-13 23:53:38.404285
",convexHull,22.48,34.57,96.0,36.01%,0.0,0.0,7.79,0.05859375
"2024-11-13 23:53:38.404285
",minSpanningForest,22.94,44.61,96.0,46.47%,0.0,0.0,4.42,0.0705078125
"2024-11-13 23:53:40.418097
",convexHull,20.62,34.57,96.0,36.01%,0.0,0.0,8.21,0.05859375
"2024-11-13 23:53:40.418097
",minSpanningForest,21.94,45.0,96.0,46.87%,0.0,0.0,4.84,0.0705078125
"2024-11-13 23:53:42.429859
",convexHull,21.04,34.57,96.0,36.01%,0.0,0.0,8.63,0.05859375
"2024-11-13 23:53:42.429859
",minSpanningForest,21.53,45.38,96.0,47.27%,0.0,0.0,5.25,0.0705078125
"2024-11-13 23:53:44.441654
",convexHull,21.04,34.57,96.0,36.01%,0.0,0.0,9.05,0.05859375
"2024-11-13 23:53:44.441654
",minSpanningForest,21.85,45.77,96.0,47.67%,0.0,0.0,5.66,0.0705078125
"2024-11-13 23:53:46.457178
",convexHull,21.85,34.57,96.0,36.01%,0.0,0.0,9.46,0.05859375
"2024-11-13 23:53:46.457178
",minSpanningForest,23.54,46.15,96.0,48.08%,0.0,0.0,6.08,0.0705078125
"2024-11-13 23:53:48.468273
",convexHull,21.80,34.57,96.0,36.01%,0.0,0.0,9.87,0.05859375
