Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.04,0.63,2024-11-13 23:52:23.029,0.0,3.85,3.2,0.33,0.3,76.42999999999999,32968,33696,0.01,0.01,18,0.02,0.0,93,0.03,0.02,55
5.98,0.52,2024-11-13 23:52:23.128,0.099,3.28,2.7,0.27,0.25,77.58999999999995,32136,33280,0.01,0.01,45,0.02,0.0,69,0.02,0.01,55
4.93,0.41,2024-11-13 23:52:23.228,0.199,2.75,2.18,0.24,0.18,45.00999999999999,32032,32760,0.0,0.0,59,0.0,0.0,62,0.01,0.0,60
5.01,0.37,2024-11-13 23:52:23.329,0.3,2.79,2.22,0.22,0.15,46.12000000000001,31720,32240,0.0,0.0,85,0.01,0.0,23,0.01,0.01,64
6.95,0.61,2024-11-13 23:52:23.430,0.401,3.78,3.16,0.31,0.3,60.24999999999998,31512,31720,0.0,0.0,44,0.02,0.0,78,0.02,0.01,61
5.68,0.5,2024-11-13 23:52:23.529,0.5,3.16,2.53,0.27,0.22,46.42000000000002,31408,32760,0.0,0.0,51,0.01,0.0,72,0.01,0.0,62
6.13,0.53,2024-11-13 23:52:23.639,0.61,3.16,2.97,0.27,0.26,59.070000000000014,31200,32760,0.0,0.0,52,0.02,0.0,82,0.02,0.0,65
7.26,0.68,2024-11-13 23:52:23.730,0.701,4.14,3.12,0.38,0.3,87.42999999999999,31928,34528,0.01,0.01,21,0.02,0.01,96,0.03,0.01,63
5.34,0.44,2024-11-13 23:52:23.830,0.801,2.99,2.35,0.25,0.2,35.550000000000004,32032,34008,0.0,0.0,55,0.01,0.0,65,0.01,0.0,60
5.05,0.4,2024-11-13 23:52:23.930,0.901,2.82,2.23,0.22,0.18,47.85999999999999,32656,34112,0.0,0.0,69,0.01,0.0,55,0.01,0.0,63
5.01,0.36,2024-11-13 23:52:24.031,1.002,2.78,2.23,0.2,0.16,46.27,32240,33800,0.0,0.0,64,0.0,0.0,61,0.01,0.0,63
