time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 23:58:05.404812
",minSpanningForest,99.71,0.2896484375,96.0,0.30%,0.0,0.0,0.0166015625,0.0
"2024-11-14 23:58:05.404812
",minSpanningForest,82.67,0.13916015625,96.0,0.14%,0.0,0.0,0.016015625,0.0
"2024-11-14 23:58:08.060840
",minSpanningForest,97.19,0.3513671875,96.0,0.37%,0.0,0.0,0.0240234375,0.0
"2024-11-14 23:58:08.060840
",minSpanningForest,97.93,0.35166015625,96.0,0.37%,0.0,0.0,0.01845703125,0.0
"2024-11-14 23:58:10.075325
",minSpanningForest,99.81,0.39541015625,96.0,0.41%,0.0,0.0,0.0240234375,0.0
"2024-11-14 23:58:10.075325
",minSpanningForest,99.94,0.39609375,96.0,0.41%,0.0,0.0,0.01884765625,0.0
"2024-11-14 23:58:12.089236
",minSpanningForest,92.09,0.05541015625,96.0,0.06%,0.0,0.0,0.02587890625,0.01865234375
"2024-11-14 23:58:12.089236
",minSpanningForest,91.76,0.047001953125,96.0,0.05%,0.0,0.0,0.0193359375,0.01865234375
"2024-11-14 23:58:14.103240
",minSpanningForest,99.85,0.28564453125,96.0,0.30%,0.0,0.0,0.02626953125,0.01865234375
"2024-11-14 23:58:14.103240
",minSpanningForest,99.67,0.275390625,96.0,0.29%,0.0,0.0,0.0193359375,0.01865234375
"2024-11-14 23:58:16.118583
",minSpanningForest,99.63,0.360546875,96.0,0.38%,0.0,0.0,0.02626953125,0.01865234375
"2024-11-14 23:58:16.118583
",minSpanningForest,100.19,0.35283203125,96.0,0.37%,0.0,0.0,0.0193359375,0.01865234375
"2024-11-14 23:58:18.131906
",minSpanningForest,99.97,0.40341796875,96.0,0.42%,0.0,0.0,0.02626953125,0.01865234375
"2024-11-14 23:58:18.131906
",minSpanningForest,99.87,0.39150390625,96.0,0.41%,0.0,0.0,0.0193359375,0.01865234375
"2024-11-14 23:58:20.151502
",minSpanningForest,100.07,0.4392578125,96.0,0.46%,0.0,0.0,0.02626953125,0.01865234375
"2024-11-14 23:58:20.151502
",minSpanningForest,100.14,0.42392578125,96.0,0.44%,0.0,0.0,0.0193359375,0.01865234375
