Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.18,0.55,2024-11-14 23:57:47.072,0.0,3.36,2.82,0.29,0.26,92.42999999999996,34736,34216,0.01,0.01,13,0.02,0.01,92,0.03,0.02,47
6.28,0.56,2024-11-14 23:57:47.171,0.099,3.46,2.81,0.32,0.24,77.08999999999996,33592,33592,0.0,0.01,44,0.01,0.0,78,0.02,0.01,60
6.32,0.56,2024-11-14 23:57:47.272,0.2,3.5,2.82,0.32,0.24,46.20000000000001,33696,32968,0.0,0.0,64,0.01,0.0,61,0.01,0.0,63
4.45,0.35,2024-11-14 23:57:47.372,0.3,2.49,1.96,0.22,0.14,47.190000000000026,33280,32760,0.0,0.0,53,0.01,0.0,59,0.01,0.0,55
6.48,0.53,2024-11-14 23:57:47.473,0.401,3.59,2.89,0.28,0.24,52.129999999999995,33176,32448,0.0,0.0,53,0.01,0.0,78,0.02,0.0,65
5.71,0.48,2024-11-14 23:57:47.573,0.501,3.16,2.56,0.27,0.21,48.55999999999998,33696,32760,0.0,0.0,48,0.01,0.0,78,0.01,0.0,62
6.6,0.55,2024-11-14 23:57:47.683,0.611,3.61,2.98,0.3,0.25,60.53,33384,32240,0.0,0.0,50,0.01,0.0,87,0.02,0.01,65
7.55,0.71,2024-11-14 23:57:47.773,0.701,4.06,3.48,0.38,0.33,84.67999999999998,33904,34008,0.01,0.01,14,0.02,0.01,95,0.02,0.01,60
4.67,0.37,2024-11-14 23:57:47.873,0.801,2.64,2.03,0.23,0.15,35.45,33176,33384,0.0,0.0,66,0.0,0.0,64,0.01,0.0,65
4.81,0.38,2024-11-14 23:57:47.974,0.902,2.68,2.14,0.22,0.15,38.830000000000005,33384,33904,0.0,0.0,59,0.01,0.0,77,0.01,0.0,68
