time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 00:25:17.926502
",nBody,100.22,0.28896484375,96.0,0.30%,0.0,0.0,0.0081640625,0.0
"2024-11-14 00:25:17.926502
",minSpanningForest,97.71,0.16923828125,96.0,0.18%,0.0,0.0,0.00287109375,0.0
"2024-11-14 00:25:20.585180
",nBody,99.34,0.35908203125,96.0,0.37%,0.0,0.0,0.008740234375,0.0
"2024-11-14 00:25:20.585180
",minSpanningForest,96.25,0.35419921875,96.0,0.37%,0.0,0.0,0.01279296875,0.0
"2024-11-14 00:25:22.599950
",nBody,99.20,0.405859375,96.0,0.42%,0.0,0.0,0.008740234375,0.0
"2024-11-14 00:25:22.599950
",minSpanningForest,99.65,0.3998046875,96.0,0.42%,0.0,0.0,0.01279296875,0.0
"2024-11-14 00:25:24.613256
",nBody,95.76,0.055546875,96.0,0.06%,0.0,0.0,0.0088671875,0.019140625
"2024-11-14 00:25:24.613256
",minSpanningForest,94.75,0.093720703125,96.0,0.10%,0.0,0.0,0.01484375,0.018359375
"2024-11-14 00:25:26.628487
",nBody,100.15,0.29169921875,96.0,0.30%,0.0,0.0,0.008984375,0.019140625
"2024-11-14 00:25:26.628487
",minSpanningForest,100.15,0.30322265625,96.0,0.32%,0.0,0.0,0.01513671875,0.018359375
"2024-11-14 00:25:28.644119
",nBody,99.15,0.47294921875,96.0,0.49%,0.0,0.0,0.008984375,0.019140625
"2024-11-14 00:25:28.644119
",minSpanningForest,99.21,0.352734375,96.0,0.37%,0.0,0.0,0.01513671875,0.018359375
"2024-11-14 00:25:30.657903
",nBody,99.68,0.4828125,96.0,0.50%,0.0,0.0,0.008984375,0.019140625
"2024-11-14 00:25:30.657903
",minSpanningForest,99.92,0.39345703125,96.0,0.41%,0.0,0.0,0.01513671875,0.018359375
"2024-11-14 00:25:32.674396
",nBody,99.87,0.5130859375,96.0,0.53%,0.0,0.0,0.0090625,0.019140625
"2024-11-14 00:25:32.674396
",minSpanningForest,99.98,0.42705078125,96.0,0.44%,0.0,0.0,0.01513671875,0.018359375
"2024-11-14 00:25:34.688721
",nBody,99.71,0.5630859375,96.0,0.59%,0.0,0.0,0.0090625,0.019140625
"2024-11-14 00:25:34.688721
",minSpanningForest,99.80,0.43251953125,96.0,0.45%,0.0,0.0,0.01513671875,0.018359375
"2024-11-14 00:25:36.706046
",nBody,99.63,0.609375,96.0,0.63%,0.0,0.0,0.0090625,0.019140625
"2024-11-14 00:25:36.706046
",minSpanningForest,99.53,0.1873046875,96.0,0.20%,0.0,0.0,0.01513671875,0.04150390625
"2024-11-14 00:25:38.719027
",nBody,99.50,0.6607421875,96.0,0.69%,0.0,0.0,0.0090625,0.019140625
