Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.1,0.64,2024-11-14 00:24:59.597,0.0,4.04,3.06,0.37,0.27,87.88000000000001,33488,36296,0.01,0.02,19,0.02,0.0,92,0.03,0.02,47
5.67,0.47,2024-11-14 00:24:59.697,0.1,3.1,2.57,0.26,0.21,60.119999999999976,32240,35984,0.01,0.01,65,0.01,0.0,58,0.02,0.01,62
5.49,0.45,2024-11-14 00:24:59.797,0.2,3.06,2.43,0.26,0.19,44.74999999999999,32032,35672,0.0,0.0,74,0.0,0.0,46,0.01,0.0,66
5.12,0.4,2024-11-14 00:24:59.898,0.301,2.9,2.22,0.24,0.17,45.29,32032,35048,0.0,0.0,74,0.0,0.0,55,0.01,0.0,68
6.6,0.56,2024-11-14 00:24:59.998,0.401,3.6,3.0,0.3,0.26,58.85,32240,33904,0.0,0.0,55,0.01,0.0,74,0.01,0.0,64
5.98,0.52,2024-11-14 00:25:00.097,0.5,3.34,2.63,0.28,0.23,46.77000000000001,32032,35152,0.0,0.0,53,0.01,0.0,74,0.01,0.0,64
6.52,0.56,2024-11-14 00:25:00.206,0.609,3.59,2.93,0.31,0.25,64.02999999999999,31200,34424,0.0,0.0,53,0.02,0.0,74,0.02,0.01,62
7.87,0.76,2024-11-14 00:25:00.298,0.701,4.28,3.59,0.41,0.35,87.52999999999997,31304,35256,0.01,0.01,27,0.02,0.01,90,0.03,0.01,57
4.85,0.38,2024-11-14 00:25:00.398,0.801,2.72,2.13,0.23,0.16,36.029999999999994,31408,33696,0.0,0.0,62,0.0,0.0,59,0.01,0.0,61
5.11,0.38,2024-11-14 00:25:00.498,0.901,2.87,2.25,0.21,0.17,50.55,32552,34008,0.0,0.0,79,0.0,0.0,55,0.01,0.0,71
5.59,0.46,2024-11-14 00:25:00.598,1.001,3.11,2.49,0.26,0.2,45.95999999999999,32864,34112,0.0,0.0,68,0.0,0.0,61,0.01,0.0,65
4.89,0.38,2024-11-14 00:25:00.699,1.102,2.76,2.14,0.22,0.16,40.829999999999984,32136,33904,0.0,0.0,70,0.0,0.0,60,0.01,0.0,66
5.73,0.5,2024-11-14 00:25:00.799,1.202,3.17,2.56,0.28,0.22,62.16999999999999,31824,32448,0.0,0.0,76,0.01,0.0,68,0.02,0.0,73
7.18,0.68,2024-11-14 00:25:00.899,1.302,3.93,3.25,0.36,0.31,90.53,32136,33904,0.0,0.0,29,0.01,0.0,91,0.02,0.01,65
7.64,0.74,2024-11-14 00:25:01.000,1.403,4.24,3.4,0.42,0.32,121.21,32344,33800,0.01,0.01,95,0.02,0.0,44,0.03,0.01,82
5.92,0.53,2024-11-14 00:25:01.108,1.511,3.36,2.56,0.32,0.21,55.84000000000001,32864,33176,0.0,0.0,87,0.01,0.0,65,0.01,0.0,78
5.58,0.47,2024-11-14 00:25:01.200,1.603,3.12,2.46,0.26,0.21,50.31000000000001,32240,32032,0.0,0.0,77,0.01,0.0,72,0.01,0.0,75
5.58,0.48,2024-11-14 00:25:01.300,1.703,3.16,2.43,0.28,0.2,55.35999999999999,32864,32344,0.0,0.0,76,0.0,0.0,58,0.01,0.0,70
5.55,0.44,2024-11-14 00:25:01.400,1.803,3.03,2.52,0.23,0.2,50.56999999999999,32968,32968,0.0,0.0,64,0.01,0.0,74,0.01,0.0,70
6.77,0.61,2024-11-14 00:25:01.501,1.904,3.73,3.04,0.34,0.27,85.81000000000002,33800,35360,0.0,0.0,33,0.01,0.01,87,0.02,0.01,68
6.99,0.64,2024-11-14 00:25:01.600,2.003,3.86,3.13,0.35,0.29,51.03999999999997,32864,35672,0.0,0.0,71,0.01,0.0,70,0.01,0.0,70
5.21,0.37,2024-11-14 00:25:01.701,2.104,2.91,2.3,0.21,0.16,46.3,33696,35360,0.0,0.0,75,0.0,0.0,67,0.01,0.0,71
4.73,0.35,2024-11-14 00:25:01.801,2.204,2.66,2.08,0.21,0.14,40.010000000000005,33488,35568,0.0,0.0,77,0.0,0.0,66,0.01,0.0,72
5.29,0.41,2024-11-14 00:25:01.911,2.314,2.95,2.34,0.24,0.17,37.32,33904,35256,0.0,0.0,81,0.0,0.0,52,0.01,0.0,68
7.37,0.68,2024-11-14 00:25:02.002,2.405,4.07,3.3,0.37,0.31,62.84000000000001,34008,34840,0.0,0.0,71,0.02,0.0,75,0.02,0.01,73
6.25,0.55,2024-11-14 00:25:02.102,2.505,3.4,2.85,0.3,0.26,60.78000000000001,34008,34632,0.0,0.0,75,0.01,0.0,76,0.02,0.0,75
7.15,0.66,2024-11-14 00:25:02.202,2.605,3.93,3.22,0.36,0.31,92.57999999999997,33696,34216,0.0,0.0,28,0.02,0.01,92,0.02,0.01,73
4.84,0.36,2024-11-14 00:25:02.302,2.705,2.73,2.11,0.21,0.16,41.299999999999976,34008,33904,0.0,0.0,68,0.0,0.0,72,0.01,0.0,70
4.88,0.34,2024-11-14 00:25:02.407,2.81,2.73,2.15,0.2,0.14,43.49000000000001,33696,32656,0.0,0.0,79,0.01,0.0,59,0.01,0.0,69
5.11,0.41,2024-11-14 00:25:02.503,2.906,2.87,2.24,0.23,0.17,48.25,34632,33176,0.0,0.0,77,0.01,0.0,67,0.01,0.0,72
5.54,0.45,2024-11-14 00:25:02.603,3.006,3.09,2.44,0.25,0.2,35.379999999999995,34944,33176,0.0,0.0,68,0.0,0.0,67,0.01,0.0,68
6.16,0.52,2024-11-14 00:25:02.703,3.106,3.42,2.74,0.29,0.24,60.359999999999985,34840,33800,0.0,0.0,77,0.01,0.0,66,0.02,0.0,71
9.45,0.95,2024-11-14 00:25:02.812,3.215,5.09,4.37,0.5,0.44,74.50000000000001,35152,35048,0.0,0.0,26,0.01,0.0,90,0.01,0.01,71
5.67,0.45,2024-11-14 00:25:02.904,3.307,3.15,2.52,0.25,0.2,46.84,34320,33488,0.0,0.0,73,0.01,0.0,74,0.01,0.0,74
6.77,0.58,2024-11-14 00:25:03.004,3.407,3.73,3.04,0.31,0.26,59.62999999999999,34944,33800,0.0,0.0,82,0.02,0.0,58,0.02,0.0,68
5.77,0.48,2024-11-14 00:25:03.105,3.508,3.2,2.56,0.27,0.21,70.6,34112,34424,0.0,0.0,78,0.01,0.0,73,0.01,0.0,75
4.68,0.33,2024-11-14 00:25:03.204,3.607,2.65,2.03,0.2,0.12,42.499999999999964,34008,34008,0.0,0.0,78,0.0,0.0,61,0.01,0.0,70
5.55,0.46,2024-11-14 00:25:03.305,3.708,3.08,2.47,0.26,0.2,56.789999999999985,33280,34112,0.0,0.0,68,0.01,0.0,65,0.01,0.0,66
6.76,0.61,2024-11-14 00:25:03.405,3.808,3.7,3.06,0.34,0.27,94.19999999999999,33488,34008,0.0,0.0,38,0.02,0.01,89,0.02,0.01,72
5.44,0.45,2024-11-14 00:25:03.505,3.908,3.06,2.39,0.25,0.2,39.99,34320,33696,0.0,0.0,79,0.01,0.0,64,0.01,0.0,72
6.46,0.6,2024-11-14 00:25:03.614,4.017,3.61,2.85,0.33,0.26,42.5,34112,33488,0.0,0.0,81,0.0,0.0,58,0.01,0.0,70
5.82,0.46,2024-11-14 00:25:03.705,4.108,3.21,2.62,0.25,0.21,42.269999999999996,34008,33592,0.0,0.0,76,0.01,0.0,70,0.01,0.0,73
4.7,0.34,2024-11-14 00:25:03.806,4.209,2.64,2.06,0.2,0.14,35.410000000000004,33904,33072,0.0,0.0,72,0.0,0.0,62,0.01,0.0,67
5.69,0.48,2024-11-14 00:25:03.906,4.309,3.19,2.5,0.27,0.21,57.76000000000001,34320,33280,0.0,0.0,84,0.01,0.0,69,0.01,0.0,78
10.14,1.08,2024-11-14 00:25:04.007,4.41,5.57,4.57,0.6,0.47,146.79000000000002,33904,32656,0.01,0.0,75,0.03,0.01,81,0.04,0.01,78
6.42,0.54,2024-11-14 00:25:04.107,4.51,3.54,2.88,0.29,0.25,106.83,33592,34528,0.0,0.0,52,0.02,0.01,86,0.02,0.01,75
5.64,0.49,2024-11-14 00:25:04.207,4.61,3.18,2.46,0.28,0.21,65.85000000000001,33384,34528,0.0,0.0,87,0.0,0.0,58,0.01,0.0,77
4.75,0.37,2024-11-14 00:25:04.307,4.71,2.67,2.08,0.22,0.15,47.550000000000004,33800,34320,0.0,0.0,71,0.0,0.0,67,0.01,0.0,69
5.26,0.42,2024-11-14 00:25:04.407,4.81,2.96,2.3,0.23,0.2,49.620000000000026,33592,34216,0.0,0.0,81,0.0,0.0,55,0.01,0.0,69
5.07,0.4,2024-11-14 00:25:04.516,4.919,2.62,2.46,0.21,0.19,32.51000000000001,33488,33904,0.0,0.0,66,0.0,0.0,73,0.01,0.0,70
