Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
8.58,0.83,2024-11-14 00:08:41.303,0.0,4.64,3.94,0.44,0.39,98.60000000000001,32760,35256,0.01,0.02,27,0.03,0.01,85,0.04,0.03,48
5.31,0.41,2024-11-14 00:08:41.403,0.1,2.99,2.32,0.22,0.19,48.150000000000006,31512,34424,0.0,0.0,72,0.0,0.0,41,0.01,0.01,62
4.86,0.34,2024-11-14 00:08:41.503,0.2,2.7,2.16,0.19,0.15,48.39999999999999,30992,34216,0.0,0.0,66,0.0,0.0,53,0.01,0.0,62
5.9,0.48,2024-11-14 00:08:41.604,0.301,3.25,2.64,0.26,0.22,52.20000000000002,32448,33904,0.01,0.0,88,0.01,0.0,24,0.01,0.01,69
6.7,0.59,2024-11-14 00:08:41.703,0.4,3.69,3.01,0.32,0.27,60.44999999999999,32552,33592,0.01,0.0,77,0.01,0.0,50,0.01,0.01,69
6.76,0.62,2024-11-14 00:08:41.804,0.501,3.72,3.04,0.34,0.28,79.65999999999997,33072,34424,0.01,0.0,65,0.01,0.0,77,0.02,0.01,69
7.55,0.69,2024-11-14 00:08:41.913,0.61,4.15,3.41,0.37,0.32,88.95999999999997,31616,34736,0.01,0.01,26,0.02,0.01,89,0.03,0.01,54
4.57,0.34,2024-11-14 00:08:42.004,0.701,2.53,2.04,0.19,0.15,39.18,32448,34216,0.0,0.0,69,0.0,0.0,59,0.01,0.0,65
4.76,0.39,2024-11-14 00:08:42.104,0.801,2.67,2.09,0.23,0.17,34.19,31824,33904,0.0,0.0,64,0.0,0.0,60,0.01,0.0,62
4.85,0.38,2024-11-14 00:08:42.205,0.902,2.71,2.14,0.22,0.16,41.089999999999996,32032,34216,0.0,0.0,71,0.0,0.0,58,0.01,0.0,66
4.95,0.39,2024-11-14 00:08:42.305,1.002,2.76,2.19,0.22,0.17,43.0,32552,34216,0.0,0.0,62,0.0,0.0,57,0.01,0.0,60
5.34,0.44,2024-11-14 00:08:42.405,1.102,2.96,2.38,0.25,0.19,52.77,32552,34320,0.0,0.0,55,0.01,0.0,82,0.01,0.0,71
6.22,0.54,2024-11-14 00:08:42.505,1.202,3.4,2.82,0.29,0.25,80.09999999999998,32032,33904,0.01,0.0,20,0.01,0.0,92,0.02,0.01,57
6.29,0.52,2024-11-14 00:08:42.606,1.303,3.48,2.81,0.28,0.24,47.429999999999986,32656,35256,0.0,0.0,56,0.01,0.0,81,0.01,0.0,70
6.99,0.64,2024-11-14 00:08:42.705,1.402,3.8,3.19,0.35,0.29,61.94000000000004,32864,35048,0.01,0.0,91,0.01,0.0,41,0.01,0.01,80
6.0,0.51,2024-11-14 00:08:42.815,1.512,3.34,2.66,0.29,0.22,42.54,31616,34840,0.0,0.0,78,0.0,0.0,43,0.01,0.0,65
7.46,0.68,2024-11-14 00:08:42.907,1.604,4.11,3.35,0.36,0.32,47.20999999999999,31720,34944,0.0,0.0,73,0.01,0.0,69,0.01,0.0,71
4.7,0.36,2024-11-14 00:08:43.007,1.704,2.63,2.07,0.21,0.15,47.649999999999984,31408,35152,0.0,0.0,70,0.0,0.0,59,0.01,0.0,65
5.45,0.45,2024-11-14 00:08:43.108,1.805,3.01,2.44,0.24,0.21,59.38000000000003,31200,34944,0.0,0.0,52,0.01,0.0,77,0.02,0.0,67
7.66,0.71,2024-11-14 00:08:43.207,1.904,4.14,3.51,0.37,0.34,116.81999999999998,31408,35672,0.01,0.0,24,0.01,0.01,92,0.02,0.01,65
6.02,0.52,2024-11-14 00:08:43.307,2.004,3.32,2.7,0.29,0.24,46.48,31408,35672,0.0,0.0,76,0.0,0.0,59,0.01,0.0,68
4.92,0.37,2024-11-14 00:08:43.407,2.104,2.76,2.17,0.22,0.16,40.990000000000016,31928,34840,0.0,0.0,76,0.0,0.0,61,0.01,0.0,68
5.22,0.39,2024-11-14 00:08:43.508,2.205,2.91,2.31,0.22,0.17,45.66999999999999,31616,34320,0.0,0.0,83,0.0,0.0,59,0.01,0.0,75
5.04,0.42,2024-11-14 00:08:43.617,2.314,2.8,2.24,0.24,0.18,35.419999999999995,32240,34216,0.0,0.0,73,0.0,0.0,57,0.01,0.0,65
