time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 23:36:23.524699
",suffixArray,100.11,0.28974609375,96.0,0.30%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-13 23:36:23.524699
",minSpanningForest,100.42,0.17392578125,96.0,0.18%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-13 23:36:26.180816
",suffixArray,100.16,0.3451171875,96.0,0.36%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-13 23:36:26.180816
",minSpanningForest,100.31,0.3548828125,96.0,0.37%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-13 23:36:28.195627
",suffixArray,100.25,0.3900390625,96.0,0.41%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-13 23:36:28.195627
",minSpanningForest,100.10,0.40048828125,96.0,0.42%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-13 23:36:30.210307
",suffixArray,100.06,0.16748046875,96.0,0.17%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:30.210307
",minSpanningForest,96.17,0.0088994140625,96.0,0.01%,0.0,0.0,1.56402587890625e-05,0.018359375
"2024-11-13 23:36:32.223770
",suffixArray,100.22,0.3498046875,96.0,0.36%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:32.223770
",minSpanningForest,100.15,0.290625,96.0,0.30%,0.0,0.0,2.7370452880859374e-05,0.018359375
"2024-11-13 23:36:34.237761
",suffixArray,100.27,0.39892578125,96.0,0.42%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:34.237761
",minSpanningForest,100.19,0.34443359375,96.0,0.36%,0.0,0.0,2.7370452880859374e-05,0.018359375
"2024-11-13 23:36:36.252108
",suffixArray,99.53,0.40576171875,96.0,0.42%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:36.252108
",minSpanningForest,99.46,0.38955078125,96.0,0.41%,0.0,0.0,2.7370452880859374e-05,0.018359375
"2024-11-13 23:36:38.265652
",suffixArray,99.77,0.4068359375,96.0,0.42%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:38.265652
",minSpanningForest,99.78,0.4248046875,96.0,0.44%,0.0,0.0,2.7370452880859374e-05,0.018359375
"2024-11-13 23:36:40.281871
",suffixArray,99.92,0.43203125,96.0,0.45%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:40.281871
",minSpanningForest,97.63,0.42158203125,96.0,0.44%,0.0,0.0,2.7370452880859374e-05,0.030859375
"2024-11-13 23:36:42.297793
",suffixArray,99.50,0.47744140625,96.0,0.50%,0.0,0.0,3.1280517578125e-05,0.0162109375
"2024-11-13 23:36:42.297793
",minSpanningForest,99.55,0.21484375,96.0,0.22%,0.0,0.0,3.5190582275390624e-05,0.038671875
"2024-11-13 23:36:44.311821
",suffixArray,99.94,0.145703125,96.0,0.15%,0.0,0.0,3.910064697265625e-05,0.04482421875
"2024-11-13 23:36:44.311821
",minSpanningForest,100.12,0.29384765625,96.0,0.31%,0.0,0.0,3.5190582275390624e-05,0.038671875
"2024-11-13 23:36:46.323278
",suffixArray,99.85,0.3095703125,96.0,0.32%,0.0,0.0,3.910064697265625e-05,0.04482421875
"2024-11-13 23:36:46.323278
",minSpanningForest,99.44,0.16083984375,96.0,0.17%,0.0,0.0,4.3010711669921876e-05,0.04794921875
"2024-11-13 23:36:48.337577
",suffixArray,99.71,0.3470703125,96.0,0.36%,0.0,0.0,3.910064697265625e-05,0.04482421875
"2024-11-13 23:36:48.337577
",minSpanningForest,99.60,0.33388671875,96.0,0.35%,0.0,0.0,4.3010711669921876e-05,0.04794921875
"2024-11-13 23:36:50.352355
",suffixArray,95.39,0.01455078125,96.0,0.02%,0.0,0.0,3.910064697265625e-05,0.067578125
"2024-11-13 23:36:50.352355
",minSpanningForest,100.01,0.3802734375,96.0,0.40%,0.0,0.0,4.3010711669921876e-05,0.04794921875
"2024-11-13 23:36:52.367196
",suffixArray,4731.45,11.24,96.0,11.71%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:36:52.367196
",minSpanningForest,100.24,0.420703125,96.0,0.44%,0.0,0.0,4.3010711669921876e-05,0.04794921875
"2024-11-13 23:36:54.382125
",suffixArray,4819.68,19.07,96.0,19.86%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:36:54.382125
",minSpanningForest,308.43,0.6205078125,96.0,0.65%,0.0,0.0,5.07354736328125e-05,0.067578125
"2024-11-13 23:36:56.393150
",suffixArray,334.15,20.04,96.0,20.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:36:56.393150
",minSpanningForest,4792.37,17.54,96.0,18.27%,0.0,0.0,5.07354736328125e-05,0.067578125
"2024-11-13 23:36:59.646231
",suffixArray,2597.81,23.79,96.0,24.78%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:36:59.646231
",minSpanningForest,1675.35,40.5,96.0,42.18%,0.0,0.0,0.28515625,0.067578125
"2024-11-13 23:37:01.663910
",suffixArray,2158.48,17.84,96.0,18.59%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:01.663910
",minSpanningForest,38.40,40.49,96.0,42.18%,0.0,0.0,0.916015625,0.067578125
"2024-11-13 23:37:03.678137
",suffixArray,4795.63,35.18,96.0,36.64%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:03.678137
",minSpanningForest,28.98,40.49,96.0,42.18%,0.0,0.0,1.61,0.067578125
"2024-11-13 23:37:05.688178
",suffixArray,4808.01,39.73,96.0,41.39%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:05.688178
",minSpanningForest,37.68,40.49,96.0,42.18%,0.0,0.0,2.36,0.067578125
"2024-11-13 23:37:07.697861
",suffixArray,1540.83,23.08,96.0,24.04%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:07.697861
",minSpanningForest,34.52,40.49,96.0,42.18%,0.0,0.0,3.02,0.067578125
"2024-11-13 23:37:09.713764
",suffixArray,4684.74,33.3,96.0,34.68%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:09.713764
",minSpanningForest,35.31,40.49,96.0,42.18%,0.0,0.0,3.73,0.067578125
"2024-11-13 23:37:11.723833
",suffixArray,4780.95,41.04,96.0,42.75%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:11.723833
",minSpanningForest,39.66,40.49,96.0,42.18%,0.0,0.0,4.57,0.067578125
"2024-11-13 23:37:13.737668
",suffixArray,3303.29,29.94,96.0,31.19%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:13.737668
",minSpanningForest,46.25,40.49,96.0,42.18%,0.0,0.0,5.21,0.067578125
"2024-11-13 23:37:15.749642
",suffixArray,4817.97,32.13,96.0,33.46%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:15.749642
",minSpanningForest,32.12,40.5,96.0,42.18%,0.0,0.0,5.88,0.067578125
"2024-11-13 23:37:17.762928
",suffixArray,4795.20,36.57,96.0,38.09%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:17.762928
",minSpanningForest,46.15,40.5,96.0,42.18%,0.0,0.0,6.52,0.067578125
"2024-11-13 23:37:19.781212
",suffixArray,4820.17,39.57,96.0,41.22%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:19.781212
",minSpanningForest,32.84,40.49,96.0,42.18%,0.0,0.0,7.18,0.067578125
"2024-11-13 23:37:21.789379
",suffixArray,1648.87,35.25,96.0,36.72%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:21.789379
",minSpanningForest,32.68,40.49,96.0,42.18%,0.0,0.0,7.84,0.067578125
"2024-11-13 23:37:23.803333
",suffixArray,4781.04,42.4,96.0,44.17%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:23.803333
",minSpanningForest,42.17,40.49,96.0,42.18%,0.0,0.0,8.47,0.067578125
"2024-11-13 23:37:25.827550
",suffixArray,3771.57,40.0,96.0,41.67%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:25.827550
",minSpanningForest,44.14,40.49,96.0,42.18%,0.0,0.0,9.37,0.067578125
"2024-11-13 23:37:27.840472
",suffixArray,4802.73,43.23,96.0,45.03%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:27.840472
",minSpanningForest,40.68,40.49,96.0,42.18%,0.0,0.0,10.4,0.067578125
"2024-11-13 23:37:29.855899
",suffixArray,2036.90,40.29,96.0,41.97%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:29.855899
",minSpanningForest,49.20,40.5,96.0,42.18%,0.0,0.0,11.4,0.067578125
"2024-11-13 23:37:31.867428
",suffixArray,0.10,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:31.867428
",minSpanningForest,48.89,40.5,96.0,42.18%,0.0,0.0,12.3,0.067578125
"2024-11-13 23:37:33.882390
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:33.882390
",minSpanningForest,50.07,40.5,96.0,42.18%,0.0,0.0,13.3,0.067578125
"2024-11-13 23:37:35.895984
",suffixArray,0.15,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:35.895984
",minSpanningForest,48.14,40.5,96.0,42.18%,0.0,0.0,14.3,0.067578125
"2024-11-13 23:37:37.910060
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:37.910060
",minSpanningForest,46.50,40.5,96.0,42.18%,0.0,0.0,15.3,0.067578125
"2024-11-13 23:37:39.920960
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:39.920960
",minSpanningForest,39.33,40.5,96.0,42.18%,0.0,0.0,16.2,0.067578125
"2024-11-13 23:37:41.932070
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:41.932070
",minSpanningForest,47.26,40.5,96.0,42.18%,0.0,0.0,17.1,0.067578125
"2024-11-13 23:37:43.946982
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:43.946982
",minSpanningForest,47.00,40.5,96.0,42.18%,0.0,0.0,18.0,0.067578125
"2024-11-13 23:37:45.958997
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:45.958997
",minSpanningForest,45.03,40.5,96.0,42.18%,0.0,0.0,18.9,0.067578125
"2024-11-13 23:37:47.970732
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:47.970732
",minSpanningForest,41.78,40.5,96.0,42.18%,0.0,0.0,19.8,0.067578125
"2024-11-13 23:37:49.983468
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:49.983468
",minSpanningForest,35.85,40.5,96.0,42.18%,0.0,0.0,20.6,0.067578125
"2024-11-13 23:37:51.996483
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:51.996483
",minSpanningForest,45.89,40.5,96.0,42.18%,0.0,0.0,21.5,0.067578125
"2024-11-13 23:37:54.007230
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:54.007230
",minSpanningForest,44.32,40.5,96.0,42.18%,0.0,0.0,22.4,0.067578125
"2024-11-13 23:37:56.019305
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:56.019305
",minSpanningForest,34.13,40.5,96.0,42.18%,0.0,0.0,23.2,0.067578125
"2024-11-13 23:37:58.033284
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:37:58.033284
",minSpanningForest,34.24,40.5,96.0,42.18%,0.0,0.0,23.9,0.067578125
"2024-11-13 23:38:00.045405
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:00.045405
",minSpanningForest,33.95,40.5,96.0,42.18%,0.0,0.0,24.6,0.067578125
"2024-11-13 23:38:02.062945
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:02.062945
",minSpanningForest,34.51,40.5,96.0,42.18%,0.0,0.0,25.2,0.067578125
"2024-11-13 23:38:04.072494
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:04.072494
",minSpanningForest,41.37,40.5,96.0,42.18%,0.0,0.0,26.0,0.067578125
"2024-11-13 23:38:06.088305
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:06.088305
",minSpanningForest,33.83,40.5,96.0,42.18%,0.0,0.0,26.6,0.067578125
"2024-11-13 23:38:08.099604
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:08.099604
",minSpanningForest,33.98,40.5,96.0,42.18%,0.0,0.0,27.3,0.067578125
"2024-11-13 23:38:10.112834
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:10.112834
",minSpanningForest,35.21,40.5,96.0,42.18%,0.0,0.0,27.9,0.067578125
"2024-11-13 23:38:12.126636
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:12.126636
",minSpanningForest,44.04,40.5,96.0,42.18%,0.0,0.0,28.6,0.067578125
"2024-11-13 23:38:14.140360
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:14.140360
",minSpanningForest,48.89,40.5,96.0,42.18%,0.0,0.0,29.6,0.067578125
"2024-11-13 23:38:16.154594
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:16.154594
",minSpanningForest,49.10,40.5,96.0,42.18%,0.0,0.0,30.6,0.067578125
"2024-11-13 23:38:18.167999
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:18.167999
",minSpanningForest,49.74,40.5,96.0,42.18%,0.0,0.0,31.6,0.067578125
"2024-11-13 23:38:20.182430
",suffixArray,0.14,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:20.182430
",minSpanningForest,35.61,40.5,96.0,42.18%,0.0,0.0,32.4,0.067578125
"2024-11-13 23:38:22.196301
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:22.196301
",minSpanningForest,35.91,40.5,96.0,42.18%,0.0,0.0,33.1,0.067578125
"2024-11-13 23:38:24.211511
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:24.211511
",minSpanningForest,36.00,40.5,96.0,42.18%,0.0,0.0,33.7,0.067578125
"2024-11-13 23:38:26.221963
",suffixArray,0.13,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:26.221963
",minSpanningForest,40.39,40.5,96.0,42.18%,0.0,0.0,34.4,0.067578125
"2024-11-13 23:38:28.237523
",suffixArray,0.12,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:28.237523
",minSpanningForest,49.89,40.5,96.0,42.18%,0.0,0.0,35.4,0.067578125
"2024-11-13 23:38:30.251020
",suffixArray,0.10,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:30.251020
",minSpanningForest,48.47,40.5,96.0,42.18%,0.0,0.0,36.4,0.067578125
"2024-11-13 23:38:32.268144
",suffixArray,0.12,27.72,96.0,28.87%,0.0,0.0,4.69207763671875e-05,0.067578125
"2024-11-13 23:38:32.268144
",minSpanningForest,49.98,40.49,96.0,42.18%,0.0,0.0,37.3,0.067578125
