Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.7,0.62,2024-11-13 23:36:05.203,0.0,3.75,2.95,0.34,0.28,86.53000000000002,34320,34112,0.01,0.02,21,0.03,0.0,93,0.03,0.02,49
6.85,0.63,2024-11-13 23:36:05.303,0.1,3.8,3.04,0.35,0.28,63.540000000000006,34840,34528,0.01,0.01,70,0.01,0.0,48,0.02,0.01,62
4.78,0.34,2024-11-13 23:36:05.404,0.201,2.67,2.11,0.19,0.15,49.130000000000024,34216,34320,0.0,0.0,67,0.0,0.0,53,0.01,0.0,63
4.97,0.4,2024-11-13 23:36:05.503,0.3,2.79,2.19,0.23,0.17,48.39,33904,34424,0.0,0.0,65,0.0,0.0,58,0.01,0.0,62
7.54,0.72,2024-11-13 23:36:05.604,0.401,4.13,3.42,0.38,0.34,75.12000000000003,34112,33800,0.0,0.0,49,0.02,0.0,75,0.02,0.01,63
4.94,0.42,2024-11-13 23:36:05.704,0.501,2.74,2.2,0.24,0.18,41.74,34632,34736,0.0,0.0,62,0.01,0.0,66,0.01,0.0,63
6.52,0.57,2024-11-13 23:36:05.812,0.609,3.4,3.12,0.29,0.28,58.19999999999999,34944,34528,0.0,0.0,48,0.02,0.0,82,0.02,0.0,65
6.68,0.63,2024-11-13 23:36:05.903,0.7,3.87,2.81,0.35,0.27,87.23000000000002,34840,37232,0.01,0.01,23,0.02,0.01,95,0.02,0.01,63
4.45,0.37,2024-11-13 23:36:06.003,0.8,2.54,1.91,0.22,0.15,37.89999999999999,34216,37232,0.0,0.0,64,0.0,0.0,63,0.01,0.0,64
4.94,0.32,2024-11-13 23:36:06.103,0.9,2.75,2.19,0.18,0.14,44.77999999999998,33696,36192,0.0,0.0,67,0.01,0.0,62,0.01,0.0,65
4.92,0.39,2024-11-13 23:36:06.203,1.0,2.76,2.16,0.22,0.17,55.99000000000001,34008,35880,0.0,0.0,71,0.0,0.0,56,0.01,0.0,65
5.02,0.42,2024-11-13 23:36:06.303,1.1,2.8,2.22,0.24,0.18,46.47000000000002,33488,35568,0.0,0.0,67,0.0,0.0,63,0.01,0.0,65
5.4,0.44,2024-11-13 23:36:06.404,1.201,2.99,2.42,0.23,0.22,55.37000000000002,33488,35256,0.0,0.0,58,0.01,0.0,76,0.02,0.0,67
