time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 23:20:12.466709
",wordCounts,100.46,0.29140625,96.0,0.30%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 23:20:12.466709
",minSpanningForest,99.48,0.1755859375,96.0,0.18%,0.0,0.0,5.464553833007812e-05,0.0
"2024-11-13 23:20:15.123888
",wordCounts,99.21,0.33583984375,96.0,0.35%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 23:20:15.123888
",minSpanningForest,98.84,0.355859375,96.0,0.37%,0.0,0.0,5.464553833007812e-05,0.0
"2024-11-13 23:20:17.136701
",wordCounts,99.87,0.38125,96.0,0.40%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 23:20:17.136701
",minSpanningForest,99.77,0.4017578125,96.0,0.42%,0.0,0.0,5.464553833007812e-05,0.0
"2024-11-13 23:20:19.151143
",wordCounts,99.80,0.17685546875,96.0,0.18%,0.0,0.0,1.56402587890625e-05,0.015625
"2024-11-13 23:20:19.151143
",minSpanningForest,96.67,0.0248046875,96.0,0.03%,0.0,0.0,6.246566772460938e-05,0.01826171875
"2024-11-13 23:20:21.165224
",wordCounts,100.31,0.33359375,96.0,0.35%,0.0,0.0,1.56402587890625e-05,0.015625
"2024-11-13 23:20:21.165224
",minSpanningForest,100.05,0.29072265625,96.0,0.30%,0.0,0.0,8.20159912109375e-05,0.01826171875
"2024-11-13 23:20:23.183196
",wordCounts,99.60,0.3791015625,96.0,0.39%,0.0,0.0,1.56402587890625e-05,0.015625
"2024-11-13 23:20:23.183196
",minSpanningForest,99.79,0.34130859375,96.0,0.36%,0.0,0.0,8.20159912109375e-05,0.01826171875
"2024-11-13 23:20:25.196982
",wordCounts,100.09,0.4099609375,96.0,0.43%,0.0,0.0,1.56402587890625e-05,0.015625
"2024-11-13 23:20:25.196982
",minSpanningForest,100.19,0.38193359375,96.0,0.40%,0.0,0.0,8.20159912109375e-05,0.01826171875
"2024-11-13 23:20:27.211494
",wordCounts,100.19,0.096298828125,96.0,0.10%,0.0,0.0,2.346038818359375e-05,0.03720703125
"2024-11-13 23:20:27.211494
",minSpanningForest,99.77,0.41494140625,96.0,0.43%,0.0,0.0,8.20159912109375e-05,0.01826171875
"2024-11-13 23:20:29.225980
",wordCounts,100.03,0.28193359375,96.0,0.29%,0.0,0.0,2.346038818359375e-05,0.03720703125
"2024-11-13 23:20:29.225980
",minSpanningForest,99.99,0.419921875,96.0,0.44%,0.0,0.0,8.20159912109375e-05,0.01826171875
"2024-11-13 23:20:31.240986
",wordCounts,97.53,0.05220703125,96.0,0.05%,0.0,0.0,2.7370452880859374e-05,0.046875
"2024-11-13 23:20:31.240986
",minSpanningForest,99.55,0.18046875,96.0,0.19%,0.0,0.0,8.983612060546875e-05,0.04140625
