Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.31,0.45,2024-11-13 23:19:54.122,0.0,2.96,2.35,0.26,0.2,73.02000000000001,34008,33384,0.01,0.01,86,0.02,0.0,19,0.02,0.02,64
7.37,0.68,2024-11-13 23:19:54.222,0.1,4.07,3.3,0.37,0.31,92.85000000000001,30160,28288,0.01,0.02,91,0.01,0.0,20,0.02,0.02,73
4.99,0.41,2024-11-13 23:19:54.323,0.201,2.78,2.21,0.24,0.17,47.619999999999976,31304,29120,0.0,0.0,78,0.0,0.0,41,0.01,0.0,67
5.62,0.44,2024-11-13 23:19:54.422,0.3,3.12,2.5,0.23,0.21,52.84000000000002,31304,29016,0.0,0.0,78,0.0,0.0,45,0.01,0.0,68
7.08,0.62,2024-11-13 23:19:54.523,0.401,3.89,3.19,0.32,0.3,62.81000000000002,31200,29432,0.0,0.0,53,0.02,0.0,77,0.02,0.0,65
5.71,0.47,2024-11-13 23:19:54.623,0.501,3.17,2.54,0.26,0.21,46.910000000000004,32656,29224,0.0,0.0,69,0.01,0.0,62,0.01,0.0,67
6.59,0.56,2024-11-13 23:19:54.733,0.611,3.63,2.96,0.31,0.25,59.27000000000002,32864,29016,0.01,0.0,73,0.01,0.0,42,0.02,0.01,64
6.87,0.66,2024-11-13 23:19:54.823,0.701,3.74,3.13,0.35,0.3,94.42999999999998,33384,34736,0.01,0.01,12,0.03,0.01,96,0.03,0.02,60
4.76,0.37,2024-11-13 23:19:54.924,0.802,2.68,2.08,0.22,0.14,40.25999999999999,33800,33800,0.0,0.0,82,0.0,0.0,51,0.01,0.0,72
5.37,0.42,2024-11-13 23:19:55.024,0.902,2.99,2.38,0.23,0.18,41.73000000000001,33800,34008,0.0,0.0,68,0.0,0.0,67,0.01,0.0,67
4.77,0.37,2024-11-13 23:19:55.124,1.002,2.66,2.12,0.21,0.16,42.959999999999994,34112,33904,0.0,0.0,64,0.0,0.0,59,0.01,0.0,62
5.31,0.43,2024-11-13 23:19:55.224,1.102,3.0,2.31,0.24,0.19,49.790000000000006,34528,33904,0.0,0.0,71,0.01,0.0,58,0.01,0.0,67
6.0,0.52,2024-11-13 23:19:55.325,1.203,3.3,2.71,0.28,0.23,58.430000000000014,34112,33904,0.0,0.0,66,0.01,0.0,72,0.02,0.0,69
7.03,0.65,2024-11-13 23:19:55.424,1.302,3.83,3.2,0.34,0.31,86.30999999999997,34528,34424,0.0,0.0,16,0.02,0.01,96,0.02,0.01,69
7.07,0.66,2024-11-13 23:19:55.524,1.402,3.85,3.22,0.35,0.3,61.24000000000001,34528,34320,0.0,0.0,48,0.02,0.0,81,0.02,0.0,69
5.53,0.47,2024-11-13 23:19:55.634,1.512,3.07,2.46,0.26,0.21,41.260000000000005,33904,34736,0.0,0.0,65,0.01,0.0,67,0.01,0.0,66
5.35,0.44,2024-11-13 23:19:55.724,1.602,2.99,2.36,0.24,0.19,45.69999999999999,32968,34320,0.01,0.0,82,0.01,0.0,41,0.01,0.01,65
5.27,0.4,2024-11-13 23:19:55.825,1.703,2.92,2.35,0.21,0.19,44.05,32344,34944,0.0,0.0,62,0.01,0.0,60,0.01,0.0,61
5.21,0.39,2024-11-13 23:19:55.925,1.803,2.88,2.33,0.22,0.17,50.049999999999976,32344,33904,0.0,0.0,53,0.01,0.0,78,0.01,0.0,67
6.28,0.53,2024-11-13 23:19:56.025,1.903,3.47,2.81,0.29,0.24,55.399999999999984,32968,34424,0.0,0.0,33,0.01,0.0,91,0.02,0.0,71
6.74,0.6,2024-11-13 23:19:56.125,2.003,3.68,3.06,0.33,0.28,82.09000000000002,32552,34320,0.0,0.0,39,0.02,0.0,92,0.02,0.01,76
5.16,0.41,2024-11-13 23:19:56.226,2.104,2.86,2.3,0.24,0.18,41.73,32448,34424,0.0,0.0,63,0.0,0.0,63,0.01,0.0,63
5.12,0.41,2024-11-13 23:19:56.325,2.203,2.84,2.28,0.24,0.17,41.51999999999998,33280,34008,0.0,0.0,87,0.0,0.0,58,0.01,0.0,79
8.24,0.85,2024-11-13 23:19:56.434,2.312,4.59,3.65,0.5,0.35,87.12999999999998,34632,34112,0.01,0.0,92,0.01,0.0,43,0.01,0.0,80
7.85,0.74,2024-11-13 23:19:56.525,2.403,4.29,3.56,0.39,0.35,67.11,34320,34840,0.0,0.0,61,0.02,0.0,78,0.03,0.01,72
6.18,0.51,2024-11-13 23:19:56.626,2.504,3.38,2.8,0.27,0.23,58.99999999999999,33800,34632,0.0,0.0,61,0.02,0.0,79,0.02,0.0,72
6.96,0.65,2024-11-13 23:19:56.726,2.604,3.77,3.19,0.34,0.3,98.89999999999998,34008,36504,0.0,0.0,26,0.01,0.01,95,0.02,0.01,77
5.49,0.41,2024-11-13 23:19:56.826,2.704,3.07,2.41,0.24,0.18,56.74999999999998,35048,36400,0.0,0.0,77,0.0,0.0,62,0.01,0.0,71
5.47,0.44,2024-11-13 23:19:56.930,2.808,3.03,2.44,0.25,0.19,53.07,34112,34944,0.0,0.0,70,0.01,0.0,69,0.01,0.0,69
5.78,0.49,2024-11-13 23:19:57.026,2.904,3.2,2.59,0.28,0.21,49.55,35256,36192,0.0,0.0,68,0.01,0.0,69,0.01,0.0,68
4.88,0.37,2024-11-13 23:19:57.127,3.005,2.71,2.17,0.22,0.15,35.91999999999999,36088,35880,0.0,0.0,68,0.0,0.0,61,0.01,0.0,65
6.33,0.57,2024-11-13 23:19:57.227,3.105,3.47,2.86,0.32,0.25,53.84000000000002,35984,35880,0.0,0.0,79,0.01,0.0,61,0.01,0.0,70
6.98,0.65,2024-11-13 23:19:57.336,3.214,3.81,3.17,0.35,0.3,75.21,35776,35360,0.0,0.0,31,0.02,0.0,91,0.02,0.01,76
5.69,0.47,2024-11-13 23:19:57.428,3.306,3.16,2.53,0.26,0.21,44.51,35256,35776,0.0,0.0,65,0.01,0.0,69,0.01,0.0,67
7.33,0.65,2024-11-13 23:19:57.527,3.405,4.0,3.33,0.35,0.3,67.04,35672,35672,0.0,0.0,61,0.02,0.0,78,0.02,0.0,73
5.34,0.45,2024-11-13 23:19:57.629,3.507,2.98,2.36,0.25,0.2,67.21999999999998,35256,36088,0.0,0.0,67,0.01,0.0,71,0.01,0.0,69
4.68,0.32,2024-11-13 23:19:57.728,3.606,2.61,2.07,0.19,0.13,40.779999999999966,35568,35880,0.0,0.0,78,0.0,0.0,59,0.01,0.0,69
5.34,0.39,2024-11-13 23:19:57.828,3.706,2.96,2.37,0.21,0.18,53.92,35256,35880,0.0,0.0,87,0.01,0.0,50,0.01,0.0,69
6.04,0.53,2024-11-13 23:19:57.929,3.807,3.33,2.71,0.29,0.24,59.19999999999998,35672,34528,0.0,0.0,41,0.01,0.0,91,0.02,0.01,76
