time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:56:50.918295
",nBody,100.34,0.176171875,96.0,0.18%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:56:52.566757
",nBody,99.90,0.33212890625,96.0,0.35%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:56:54.575072
",nBody,99.37,0.3796875,96.0,0.40%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:56:56.585086
",nBody,99.82,0.4111328125,96.0,0.43%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:56:58.594058
",nBody,99.51,0.11630859375,96.0,0.12%,0.0,0.0,0.00013637542724609375,0.0193359375
"2024-11-13 20:57:00.604967
",nBody,99.33,0.34921875,96.0,0.36%,0.0,0.0,0.00013637542724609375,0.0193359375
"2024-11-13 20:57:02.612699
",nBody,100.04,0.46796875,96.0,0.49%,0.0,0.0,0.00013637542724609375,0.0193359375
"2024-11-13 20:57:04.622881
",nBody,100.13,0.4771484375,96.0,0.50%,0.0,0.0,0.00013637542724609375,0.0193359375
"2024-11-13 20:57:06.631240
",nBody,100.09,0.5119140625,96.0,0.53%,0.0,0.0,0.00032806396484375,0.0193359375
"2024-11-13 20:57:08.641996
",nBody,100.07,0.562890625,96.0,0.59%,0.0,0.0,0.00032806396484375,0.0193359375
"2024-11-13 20:57:10.649316
",nBody,100.10,0.609375,96.0,0.63%,0.0,0.0,0.00032806396484375,0.0193359375
"2024-11-13 20:57:12.658319
",nBody,99.66,0.6625,96.0,0.69%,0.0,0.0,0.00032806396484375,0.0193359375
"2024-11-13 20:57:14.667155
",nBody,99.34,0.021904296875,96.0,0.02%,0.0,0.0,0.000335693359375,0.062890625
"2024-11-13 20:57:16.678671
",nBody,99.29,0.295703125,96.0,0.31%,0.0,0.0,0.000335693359375,0.062890625
"2024-11-13 20:57:18.685283
",nBody,99.74,0.35380859375,96.0,0.37%,0.0,0.0,0.000335693359375,0.062890625
"2024-11-13 20:57:20.695819
",nBody,99.89,0.39833984375,96.0,0.41%,0.0,0.0,0.000335693359375,0.062890625
"2024-11-13 20:57:22.703441
",nBody,366.90,0.5388671875,96.0,0.56%,0.0,0.0,0.008134765625,0.08125
"2024-11-13 20:57:24.713626
",nBody,4535.41,4.007,96.0,4.17%,0.0,0.0,0.03642578125,0.08125
"2024-11-13 20:57:26.723002
",nBody,4799.39,4.214,96.0,4.39%,0.0,0.0,0.03642578125,0.08125
"2024-11-13 20:57:28.729289
",nBody,4796.87,4.21,96.0,4.39%,0.0,0.0,0.03642578125,0.08125
"2024-11-13 20:57:30.738206
",nBody,4812.91,4.211,96.0,4.39%,0.0,0.0,0.03642578125,0.08125
"2024-11-13 20:57:32.743320
",nBody,4804.02,4.211,96.0,4.39%,0.0,0.0,0.03642578125,0.08125
"2024-11-13 20:57:34.748402
",nBody,4782.59,4.21,96.0,4.39%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:36.754007
",nBody,4788.47,5.96,96.0,6.21%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:38.760878
",nBody,4803.78,8.5,96.0,8.85%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:40.767570
",nBody,4782.34,11.04,96.0,11.50%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:42.772705
",nBody,4231.73,12.37,96.0,12.89%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:44.784432
",nBody,1413.80,14.15,96.0,14.74%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:46.788899
",nBody,4813.56,14.15,96.0,14.74%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:48.793876
",nBody,4812.75,14.15,96.0,14.74%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:50.798405
",nBody,4794.37,14.15,96.0,14.74%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:52.805342
",nBody,4794.86,14.15,96.0,14.74%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:54.810931
",nBody,4777.85,15.42,96.0,16.06%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:56.814642
",nBody,4797.90,18.01,96.0,18.76%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:57:58.820798
",nBody,4810.45,20.59,96.0,21.45%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:00.828144
",nBody,4361.80,22.33,96.0,23.26%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:02.839132
",nBody,2552.49,23.96,96.0,24.96%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:04.843563
",nBody,4781.56,24.02,96.0,25.02%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:06.848012
",nBody,4802.48,24.02,96.0,25.02%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:08.853621
",nBody,4811.04,24.02,96.0,25.02%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:10.859475
",nBody,4797.41,24.02,96.0,25.02%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:12.864511
",nBody,4775.67,24.92,96.0,25.96%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:14.869692
",nBody,4786.28,27.56,96.0,28.71%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:16.877094
",nBody,4794.88,30.15,96.0,31.40%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:18.880783
",nBody,4406.10,32.19,96.0,33.54%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:20.890482
",nBody,3683.18,33.74,96.0,35.14%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:22.899660
",nBody,4814.92,33.88,96.0,35.30%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:24.902292
",nBody,4795.61,33.88,96.0,35.29%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:26.907113
",nBody,4785.39,33.88,96.0,35.29%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:28.911871
",nBody,4773.59,33.88,96.0,35.29%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:30.917058
",nBody,4791.54,34.4,96.0,35.83%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:32.922103
",nBody,4804.37,37.02,96.0,38.56%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:34.926977
",nBody,4790.11,39.65,96.0,41.31%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:36.933248
",nBody,4774.04,42.06,96.0,43.81%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:38.940142
",nBody,4500.07,43.54,96.0,45.35%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:40.952843
",nBody,4784.68,43.74,96.0,45.56%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:42.956816
",nBody,4801.85,43.74,96.0,45.56%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:44.961974
",nBody,4784.45,43.74,96.0,45.56%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:46.967735
",nBody,4782.07,43.74,96.0,45.56%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:48.973548
",nBody,4811.56,43.74,96.0,45.56%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:50.978985
",nBody,4799.48,46.37,96.0,48.31%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:52.984733
",nBody,4808.85,48.92,96.0,50.96%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:54.990748
",nBody,4799.19,51.46,96.0,53.60%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:56.997150
",nBody,4607.36,52.46,96.0,54.64%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:58:59.009208
",nBody,3599.19,53.58,96.0,55.82%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:01.018179
",nBody,4799.42,53.58,96.0,55.82%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:03.022086
",nBody,4801.74,53.58,96.0,55.82%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:05.028062
",nBody,4794.73,53.58,96.0,55.82%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:07.033033
",nBody,4811.70,53.58,96.0,55.82%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:09.038750
",nBody,4799.50,55.55,96.0,57.87%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:11.045024
",nBody,4797.63,58.05,96.0,60.47%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:13.052478
",nBody,4806.74,60.58,96.0,63.10%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:15.060969
",nBody,3346.97,59.76,96.0,62.25%,0.0,0.0,0.0365234375,0.08125
"2024-11-13 20:59:17.073936
",nBody,99.64,14.53,96.0,15.14%,0.0,0.0,0.0365234375,0.08125
