Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.35,0.43,2024-11-13 20:56:32.574,0.0,2.95,2.4,0.24,0.19,65.33999999999999,35880,35464,0.01,0.01,18,0.02,0.0,88,0.02,0.01,43
6.37,0.53,2024-11-13 20:56:32.674,0.1,3.49,2.89,0.28,0.25,99.55000000000004,34424,35048,0.01,0.01,48,0.02,0.0,64,0.03,0.02,54
5.69,0.5,2024-11-13 20:56:32.775,0.201,3.15,2.54,0.28,0.22,42.780000000000015,34008,34424,0.0,0.0,66,0.01,0.0,54,0.01,0.0,62
4.92,0.4,2024-11-13 20:56:32.874,0.3,2.74,2.18,0.23,0.17,45.249999999999986,34424,34216,0.0,0.0,72,0.0,0.0,48,0.01,0.0,64
8.25,0.76,2024-11-13 20:56:32.975,0.401,4.48,3.76,0.4,0.36,72.31999999999998,33800,33800,0.0,0.0,47,0.02,0.0,79,0.03,0.01,63
4.71,0.31,2024-11-13 20:56:33.075,0.501,2.64,2.07,0.16,0.14,46.08000000000001,33592,34216,0.0,0.0,63,0.01,0.0,63,0.01,0.0,63
6.5,0.57,2024-11-13 20:56:33.185,0.611,3.57,2.93,0.31,0.25,57.52000000000001,32968,34008,0.0,0.0,56,0.02,0.0,73,0.02,0.01,63
6.75,0.62,2024-11-13 20:56:33.275,0.701,3.68,3.07,0.33,0.29,90.34999999999997,33280,34320,0.01,0.01,21,0.02,0.01,90,0.03,0.01,58
5.25,0.42,2024-11-13 20:56:33.376,0.802,2.91,2.34,0.24,0.18,41.010000000000005,33280,33696,0.0,0.0,73,0.0,0.0,53,0.01,0.0,64
4.94,0.39,2024-11-13 20:56:33.476,0.902,2.76,2.18,0.21,0.18,45.37000000000001,33488,34320,0.0,0.0,70,0.0,0.0,61,0.01,0.0,67
4.85,0.33,2024-11-13 20:56:33.576,1.002,2.7,2.15,0.17,0.16,46.27000000000001,33384,34112,0.0,0.0,65,0.0,0.0,61,0.01,0.0,63
4.7,0.36,2024-11-13 20:56:33.676,1.102,2.66,2.04,0.21,0.15,42.029999999999994,33072,33800,0.0,0.0,69,0.0,0.0,60,0.01,0.0,66
