time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:53:52.543869
",nearestNeighbors,99.93,0.17890625,96.0,0.19%,0.0,0.0,0.00035572052001953125,0.0
"2024-11-13 20:53:54.190058
",nearestNeighbors,100.04,0.375390625,96.0,0.39%,0.0,0.0,0.00035572052001953125,0.0
"2024-11-13 20:53:56.199090
",nearestNeighbors,99.87,0.5857421875,96.0,0.61%,0.0,0.0,0.00035572052001953125,0.0
"2024-11-13 20:53:58.208250
",nearestNeighbors,99.63,0.65,96.0,0.68%,0.0,0.0,0.00035572052001953125,0.0
"2024-11-13 20:54:00.217606
",nearestNeighbors,99.77,0.70498046875,96.0,0.73%,0.0,0.0,0.00035572052001953125,0.0
"2024-11-13 20:54:02.225802
",nearestNeighbors,99.71,0.7484375,96.0,0.78%,0.0,0.0,0.00048065185546875,0.0
"2024-11-13 20:54:04.234398
",nearestNeighbors,99.73,0.79208984375,96.0,0.83%,0.0,0.0,0.00048065185546875,0.0
"2024-11-13 20:54:06.242219
",nearestNeighbors,99.61,0.83115234375,96.0,0.87%,0.0,0.0,0.00048065185546875,0.0
"2024-11-13 20:54:08.250317
",nearestNeighbors,100.03,0.86787109375,96.0,0.90%,0.0,0.0,0.00048065185546875,0.0
"2024-11-13 20:54:10.260535
",nearestNeighbors,99.72,0.91611328125,96.0,0.95%,0.0,0.0,0.00048065185546875,0.0
"2024-11-13 20:54:12.267385
",nearestNeighbors,99.78,0.9705078125,96.0,1.01%,0.0,0.0,0.00048065185546875,0.0
"2024-11-13 20:54:14.276017
",nearestNeighbors,99.82,1.041,96.0,1.08%,0.0,0.0,0.0005512237548828125,0.0
"2024-11-13 20:54:16.287857
",nearestNeighbors,99.47,1.04,96.0,1.08%,0.0,0.0,0.0006761550903320312,0.0
"2024-11-13 20:54:18.294160
",nearestNeighbors,99.85,1.041,96.0,1.08%,0.0,0.0,0.0006761550903320312,0.0
"2024-11-13 20:54:20.302645
",nearestNeighbors,93.96,1.048,96.0,1.09%,0.0,0.0,0.0006761550903320312,0.03310546875
"2024-11-13 20:54:22.311769
",nearestNeighbors,99.56,0.318359375,96.0,0.33%,0.0,0.0,0.0006799697875976562,0.07666015625
"2024-11-13 20:54:24.321063
",nearestNeighbors,99.70,0.19404296875,96.0,0.20%,0.0,0.0,0.0007228851318359375,0.1171875
"2024-11-13 20:54:26.326826
",nearestNeighbors,99.65,0.34208984375,96.0,0.36%,0.0,0.0,0.0007228851318359375,0.1171875
"2024-11-13 20:54:28.335334
",nearestNeighbors,99.97,0.3890625,96.0,0.41%,0.0,0.0,0.0007228851318359375,0.1171875
"2024-11-13 20:54:30.344080
",nearestNeighbors,99.93,0.4126953125,96.0,0.43%,0.0,0.0,0.0007228851318359375,0.1171875
"2024-11-13 20:54:32.350308
",nearestNeighbors,1068.35,2.609,96.0,2.72%,0.0,0.0,0.04619140625,0.1376953125
"2024-11-13 20:54:34.360530
",nearestNeighbors,505.73,2.608,96.0,2.72%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:36.368694
",nearestNeighbors,4793.10,15.47,96.0,16.12%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:38.375438
",nearestNeighbors,4802.38,36.39,96.0,37.91%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:40.382511
",nearestNeighbors,4368.36,51.44,96.0,53.58%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:42.390748
",nearestNeighbors,4791.27,52.35,96.0,54.53%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:44.396710
",nearestNeighbors,4809.28,52.35,96.0,54.53%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:46.404711
",nearestNeighbors,4795.34,52.36,96.0,54.54%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:48.410503
",nearestNeighbors,4793.47,52.36,96.0,54.54%,0.0,0.0,0.181640625,0.1376953125
"2024-11-13 20:54:50.416814
",nearestNeighbors,4789.18,52.36,96.0,54.54%,0.0,0.0,0.181640625,0.1376953125
