Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.89,0.75,2024-11-13 20:53:34.231,0.0,4.29,3.6,0.41,0.35,109.66000000000003,33176,34112,0.01,0.02,19,0.03,0.01,89,0.04,0.02,48
5.18,0.43,2024-11-13 20:53:34.331,0.1,2.89,2.29,0.25,0.18,59.53,31512,32968,0.01,0.01,77,0.01,0.0,31,0.01,0.01,62
5.38,0.45,2024-11-13 20:53:34.430,0.199,3.01,2.37,0.26,0.19,57.819999999999965,32864,33072,0.0,0.0,74,0.01,0.0,52,0.01,0.0,67
4.83,0.33,2024-11-13 20:53:34.531,0.3,2.72,2.11,0.19,0.14,53.55000000000002,32864,33280,0.0,0.0,68,0.01,0.0,52,0.01,0.0,63
6.21,0.51,2024-11-13 20:53:34.631,0.4,3.45,2.76,0.28,0.23,67.32000000000001,33280,33072,0.01,0.01,86,0.01,0.0,23,0.02,0.01,68
6.74,0.57,2024-11-13 20:53:34.731,0.5,3.72,3.02,0.31,0.26,72.39999999999995,33072,33696,0.01,0.0,70,0.01,0.0,69,0.02,0.01,70
6.75,0.59,2024-11-13 20:53:34.840,0.609,3.74,3.01,0.31,0.28,71.70999999999998,33176,33176,0.01,0.01,30,0.02,0.0,87,0.03,0.01,54
7.11,0.66,2024-11-13 20:53:34.932,0.701,3.9,3.21,0.35,0.31,86.62000000000003,34112,33800,0.0,0.0,26,0.02,0.0,88,0.02,0.01,59
5.18,0.42,2024-11-13 20:53:35.032,0.801,2.88,2.3,0.25,0.17,46.910000000000004,33592,33696,0.0,0.0,59,0.01,0.0,65,0.01,0.0,61
4.99,0.4,2024-11-13 20:53:35.132,0.901,2.8,2.19,0.23,0.17,57.980000000000004,33280,33904,0.0,0.0,59,0.01,0.0,67,0.01,0.0,63
5.94,0.5,2024-11-13 20:53:35.233,1.002,3.29,2.65,0.28,0.22,57.54999999999998,33176,34112,0.0,0.0,67,0.01,0.0,64,0.01,0.0,66
4.9,0.38,2024-11-13 20:53:35.332,1.101,2.74,2.16,0.23,0.15,56.03000000000001,33488,34424,0.0,0.0,67,0.01,0.0,63,0.01,0.0,66
5.85,0.5,2024-11-13 20:53:35.433,1.202,3.26,2.59,0.28,0.22,63.27999999999998,34008,34008,0.0,0.0,52,0.01,0.0,76,0.02,0.0,64
6.84,0.58,2024-11-13 20:53:35.533,1.302,3.74,3.11,0.31,0.27,83.52000000000002,33280,33904,0.01,0.0,17,0.01,0.0,95,0.02,0.01,62
6.4,0.55,2024-11-13 20:53:35.634,1.403,3.54,2.86,0.31,0.24,53.489999999999995,32552,33696,0.0,0.0,73,0.01,0.0,61,0.01,0.0,69
6.18,0.48,2024-11-13 20:53:35.742,1.511,3.47,2.71,0.27,0.21,49.649999999999984,32344,33904,0.01,0.0,85,0.01,0.0,38,0.01,0.0,72
5.81,0.49,2024-11-13 20:53:35.834,1.603,3.22,2.59,0.27,0.21,47.52999999999999,32032,33176,0.0,0.0,68,0.01,0.0,68,0.01,0.0,68
4.74,0.34,2024-11-13 20:53:35.934,1.703,2.67,2.08,0.21,0.13,48.75000000000003,32656,33280,0.0,0.0,67,0.0,0.0,64,0.01,0.0,66
5.59,0.44,2024-11-13 20:53:36.034,1.803,3.09,2.5,0.23,0.21,55.439999999999976,33072,33800,0.0,0.0,50,0.01,0.0,82,0.02,0.0,69
6.91,0.6,2024-11-13 20:53:36.135,1.904,3.82,3.09,0.31,0.29,87.52999999999999,32656,34944,0.01,0.0,36,0.02,0.01,87,0.02,0.01,65
5.55,0.46,2024-11-13 20:53:36.235,2.004,3.07,2.48,0.26,0.2,43.26999999999998,33176,35048,0.0,0.0,77,0.01,0.0,61,0.01,0.0,70
4.92,0.34,2024-11-13 20:53:36.335,2.104,2.77,2.15,0.2,0.14,42.65999999999999,33176,34840,0.0,0.0,63,0.01,0.0,65,0.01,0.0,64
4.77,0.35,2024-11-13 20:53:36.435,2.204,2.69,2.08,0.21,0.15,50.779999999999994,33904,34840,0.0,0.0,65,0.0,0.0,65,0.01,0.0,65
4.98,0.36,2024-11-13 20:53:36.545,2.314,2.76,2.22,0.2,0.16,37.82,33904,34216,0.0,0.0,68,0.01,0.0,62,0.01,0.0,65
7.07,0.64,2024-11-13 20:53:36.636,2.405,3.93,3.15,0.35,0.29,66.61000000000003,33280,33800,0.01,0.0,71,0.01,0.0,74,0.02,0.0,72
7.07,0.65,2024-11-13 20:53:36.736,2.505,3.93,3.14,0.36,0.29,68.97,33176,34840,0.01,0.0,54,0.01,0.0,68,0.02,0.01,60
6.3,0.54,2024-11-13 20:53:36.836,2.605,3.46,2.84,0.29,0.25,81.77,33072,35360,0.0,0.0,63,0.01,0.0,84,0.02,0.01,76
6.08,0.54,2024-11-13 20:53:36.937,2.706,3.38,2.71,0.3,0.24,47.12,33176,35776,0.0,0.0,78,0.01,0.0,73,0.01,0.0,75
5.23,0.43,2024-11-13 20:53:37.040,2.809,2.96,2.27,0.25,0.18,43.029999999999994,32344,34528,0.0,0.0,73,0.01,0.0,60,0.01,0.0,69
5.02,0.38,2024-11-13 20:53:37.137,2.906,2.78,2.24,0.22,0.16,49.85999999999998,32968,35048,0.0,0.0,73,0.01,0.0,73,0.01,0.0,73
5.16,0.39,2024-11-13 20:53:37.238,3.007,2.87,2.28,0.23,0.16,36.62,33384,34736,0.0,0.0,70,0.0,0.0,63,0.01,0.0,67
6.09,0.51,2024-11-13 20:53:37.337,3.106,3.36,2.73,0.28,0.22,51.970000000000006,33592,34944,0.0,0.0,75,0.01,0.0,59,0.01,0.0,67
7.22,0.67,2024-11-13 20:53:37.446,3.215,3.95,3.26,0.36,0.31,81.62000000000002,34632,35152,0.01,0.0,48,0.02,0.0,82,0.03,0.01,66
5.38,0.4,2024-11-13 20:53:37.538,3.307,3.01,2.37,0.22,0.18,43.65,33280,34840,0.0,0.0,70,0.01,0.0,77,0.01,0.0,73
6.6,0.57,2024-11-13 20:53:37.638,3.407,3.66,2.94,0.32,0.26,54.65,33488,34840,0.0,0.0,72,0.01,0.0,62,0.01,0.0,69
6.12,0.5,2024-11-13 20:53:37.739,3.508,3.4,2.72,0.28,0.22,67.47,34320,35048,0.0,0.0,69,0.01,0.0,68,0.01,0.0,69
5.3,0.42,2024-11-13 20:53:37.839,3.608,2.96,2.35,0.25,0.17,44.09,34424,34944,0.0,0.0,74,0.0,0.0,61,0.01,0.0,68
