time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 01:30:26.811402
",nBody,100.45,0.2908203125,96.0,0.30%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:26.811402
",nearestNeighbors,100.42,0.1763671875,96.0,0.18%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:29.471959
",nBody,99.78,0.36416015625,96.0,0.38%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:29.471959
",nearestNeighbors,100.15,0.41279296875,96.0,0.43%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:31.486627
",nBody,100.42,0.41220703125,96.0,0.43%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:31.486627
",nearestNeighbors,100.12,0.63076171875,96.0,0.66%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:33.502472
",nBody,96.34,0.039140625,96.0,0.04%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:33.502472
",nearestNeighbors,100.14,0.6826171875,96.0,0.71%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:35.516512
",nBody,99.73,0.2978515625,96.0,0.31%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:35.516512
",nearestNeighbors,99.84,0.727734375,96.0,0.76%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:37.531439
",nBody,100.12,0.46787109375,96.0,0.49%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:37.531439
",nearestNeighbors,99.76,0.7578125,96.0,0.79%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:39.544578
",nBody,99.17,0.47734375,96.0,0.50%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:39.544578
",nearestNeighbors,99.29,0.79560546875,96.0,0.83%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:41.558887
",nBody,99.89,0.516015625,96.0,0.54%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:41.558887
",nearestNeighbors,99.52,0.83427734375,96.0,0.87%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:43.573234
",nBody,99.30,0.5685546875,96.0,0.59%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:43.573234
",nearestNeighbors,99.72,0.8697265625,96.0,0.91%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:45.587655
",nBody,99.44,0.6171875,96.0,0.64%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:45.587655
",nearestNeighbors,99.61,0.916015625,96.0,0.95%,0.0,0.0,0.0,0.0
"2024-11-14 01:30:47.600832
",nBody,99.70,0.6724609375,96.0,0.70%,0.0,0.0,0.0,0.01884765625
"2024-11-14 01:30:47.600832
",nearestNeighbors,99.75,0.9662109375,96.0,1.01%,0.0,0.0,0.0,0.0
