Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.75,0.48,2024-11-14 01:30:08.471,0.0,3.22,2.53,0.28,0.21,68.96,33592,34528,0.01,0.01,31,0.02,0.0,79,0.03,0.02,48
9.23,0.89,2024-11-14 01:30:08.571,0.1,4.97,4.26,0.45,0.43,95.45000000000002,32864,36920,0.01,0.01,54,0.02,0.01,67,0.03,0.02,60
5.01,0.41,2024-11-14 01:30:08.672,0.201,2.81,2.21,0.23,0.18,58.53999999999999,32032,36088,0.0,0.0,75,0.01,0.0,53,0.01,0.0,69
6.99,0.62,2024-11-14 01:30:08.772,0.301,3.83,3.15,0.33,0.29,54.670000000000016,31616,36296,0.0,0.0,76,0.01,0.0,50,0.01,0.0,68
7.1,0.6,2024-11-14 01:30:08.872,0.401,3.89,3.21,0.32,0.28,66.41999999999999,31824,35464,0.0,0.0,48,0.02,0.0,76,0.02,0.01,63
6.42,0.54,2024-11-14 01:30:08.972,0.501,3.53,2.89,0.29,0.25,67.57000000000002,31824,35360,0.0,0.0,64,0.01,0.0,73,0.01,0.0,68
6.3,0.52,2024-11-14 01:30:09.081,0.61,3.28,3.02,0.26,0.26,67.66999999999999,31928,34320,0.0,0.0,52,0.02,0.0,79,0.02,0.0,66
8.59,0.82,2024-11-14 01:30:09.173,0.702,4.83,3.76,0.44,0.38,87.29,32344,34424,0.01,0.01,19,0.02,0.01,93,0.03,0.01,58
5.47,0.44,2024-11-14 01:30:09.273,0.802,3.06,2.42,0.26,0.18,44.23999999999999,32136,34528,0.0,0.0,87,0.0,0.0,49,0.01,0.0,78
5.78,0.44,2024-11-14 01:30:09.373,0.902,3.22,2.56,0.25,0.2,44.050000000000004,32344,34424,0.0,0.0,67,0.01,0.0,59,0.01,0.0,64
