time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-15 00:31:57.460534
",nearestNeighbors,100.27,0.29423828125,96.0,0.31%,0.0,0.0,0.01748046875,0.0
"2024-11-15 00:31:57.460534
",nearestNeighbors,81.24,0.1404296875,96.0,0.15%,0.0,0.0,0.01806640625,0.0
"2024-11-15 00:32:00.115655
",nearestNeighbors,99.89,0.38671875,96.0,0.40%,0.0,0.0,0.01748046875,0.0
"2024-11-15 00:32:00.115655
",nearestNeighbors,99.86,0.3873046875,96.0,0.40%,0.0,0.0,0.01806640625,0.0
"2024-11-15 00:32:02.128977
",nearestNeighbors,100.28,0.63505859375,96.0,0.66%,0.0,0.0,0.018359375,0.0
"2024-11-15 00:32:02.128977
",nearestNeighbors,100.11,0.63564453125,96.0,0.66%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:04.144401
",nearestNeighbors,100.10,0.67822265625,96.0,0.71%,0.0,0.0,0.01923828125,0.0
"2024-11-15 00:32:04.144401
",nearestNeighbors,100.13,0.6529296875,96.0,0.68%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:06.159217
",nearestNeighbors,100.01,0.72138671875,96.0,0.75%,0.0,0.0,0.01923828125,0.0
"2024-11-15 00:32:06.159217
",nearestNeighbors,99.77,0.70263671875,96.0,0.73%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:08.174591
",nearestNeighbors,99.53,0.77060546875,96.0,0.80%,0.0,0.0,0.026953125,0.0
"2024-11-15 00:32:08.174591
",nearestNeighbors,99.70,0.74677734375,96.0,0.78%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:10.189752
",nearestNeighbors,98.62,0.8072265625,96.0,0.84%,0.0,0.0,0.0271484375,0.0
"2024-11-15 00:32:10.189752
",nearestNeighbors,99.01,0.7884765625,96.0,0.82%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:12.204408
",nearestNeighbors,100.03,0.846484375,96.0,0.88%,0.0,0.0,0.0271484375,0.0
"2024-11-15 00:32:12.204408
",nearestNeighbors,100.12,0.8265625,96.0,0.86%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:14.223457
",nearestNeighbors,99.62,0.88623046875,96.0,0.92%,0.0,0.0,0.0271484375,0.0
"2024-11-15 00:32:14.223457
",nearestNeighbors,99.80,0.86279296875,96.0,0.90%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:16.238411
",nearestNeighbors,99.74,0.93740234375,96.0,0.98%,0.0,0.0,0.0271484375,0.0
"2024-11-15 00:32:16.238411
",nearestNeighbors,99.80,0.905078125,96.0,0.94%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:18.251135
",nearestNeighbors,100.20,0.994140625,96.0,1.04%,0.0,0.0,0.0271484375,0.0
"2024-11-15 00:32:18.251135
",nearestNeighbors,100.19,0.9560546875,96.0,1.00%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:20.266083
",nearestNeighbors,100.43,1.063,96.0,1.11%,0.0,0.0,0.0271484375,0.0
"2024-11-15 00:32:20.266083
",nearestNeighbors,100.14,1.028,96.0,1.07%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:22.278948
",nearestNeighbors,100.02,1.045,96.0,1.09%,0.0,0.0,0.02724609375,0.0
"2024-11-15 00:32:22.278948
",nearestNeighbors,100.19,1.045,96.0,1.09%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:24.294446
",nearestNeighbors,100.24,1.047,96.0,1.09%,0.0,0.0,0.02724609375,0.0
"2024-11-15 00:32:24.294446
",nearestNeighbors,100.31,1.046,96.0,1.09%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:26.307842
",nearestNeighbors,82.84,0.126171875,96.0,0.13%,0.0,0.0,0.02939453125,0.0775390625
"2024-11-15 00:32:26.307842
",nearestNeighbors,100.20,1.048,96.0,1.09%,0.0,0.0,0.01904296875,0.0
"2024-11-15 00:32:28.320607
",nearestNeighbors,90.30,0.3521484375,96.0,0.37%,0.0,0.0,0.03193359375,0.1181640625
"2024-11-15 00:32:28.320607
",nearestNeighbors,98.31,0.21552734375,96.0,0.22%,0.0,0.0,0.01904296875,0.07236328125
"2024-11-15 00:32:30.334955
",nearestNeighbors,99.85,0.31591796875,96.0,0.33%,0.0,0.0,0.0328125,0.1181640625
"2024-11-15 00:32:30.334955
",nearestNeighbors,91.87,0.06525390625,96.0,0.07%,0.0,0.0,0.01904296875,0.1123046875
"2024-11-15 00:32:32.348249
",nearestNeighbors,99.46,0.38251953125,96.0,0.40%,0.0,0.0,0.0328125,0.1181640625
"2024-11-15 00:32:32.348249
",nearestNeighbors,99.55,0.31220703125,96.0,0.33%,0.0,0.0,0.01904296875,0.1123046875
"2024-11-15 00:32:34.360600
",nearestNeighbors,99.43,0.42841796875,96.0,0.45%,0.0,0.0,0.0328125,0.1181640625
"2024-11-15 00:32:34.360600
",nearestNeighbors,99.57,0.3806640625,96.0,0.40%,0.0,0.0,0.01904296875,0.1123046875
"2024-11-15 00:32:36.373635
",nearestNeighbors,95.30,0.05296875,96.0,0.06%,0.0,0.0,0.0328125,0.1376953125
"2024-11-15 00:32:36.373635
",nearestNeighbors,100.21,0.42734375,96.0,0.45%,0.0,0.0,0.01904296875,0.1123046875
"2024-11-15 00:32:38.386413
",nearestNeighbors,31.15,2.636,96.0,2.75%,0.0,0.0,0.58984375,0.1376953125
"2024-11-15 00:32:38.386413
",nearestNeighbors,94.06,0.096240234375,96.0,0.10%,0.0,0.0,0.01904296875,0.1328125
"2024-11-15 00:32:40.399403
",nearestNeighbors,34.47,3.655,96.0,3.81%,0.0,0.0,1.3,0.1376953125
"2024-11-15 00:32:40.399403
",nearestNeighbors,33.95,2.805,96.0,2.92%,0.0,0.0,0.2333984375,0.1328125
"2024-11-15 00:32:42.416259
",nearestNeighbors,31.01,3.934,96.0,4.10%,0.0,0.0,1.63,0.1376953125
