Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.3,0.42,2024-11-15 00:31:39.114,0.0,2.92,2.38,0.23,0.19,67.99000000000001,32448,34112,0.01,0.01,19,0.01,0.0,91,0.02,0.01,47
6.67,0.6,2024-11-15 00:31:39.214,0.1,3.64,3.04,0.32,0.28,92.18,31408,32656,0.01,0.01,24,0.02,0.0,81,0.02,0.02,44
4.9,0.36,2024-11-15 00:31:39.314,0.2,2.74,2.16,0.21,0.16,43.18000000000001,31616,32656,0.0,0.0,56,0.0,0.0,61,0.01,0.0,58
4.5,0.3,2024-11-15 00:31:39.414,0.3,2.52,1.98,0.16,0.13,45.829999999999984,32344,31720,0.0,0.0,63,0.01,0.0,56,0.01,0.0,61
7.93,0.74,2024-11-15 00:31:39.515,0.401,4.32,3.6,0.39,0.35,68.10999999999999,31720,31616,0.0,0.0,53,0.02,0.0,70,0.02,0.01,62
4.49,0.33,2024-11-15 00:31:39.614,0.5,2.51,1.98,0.2,0.13,41.120000000000005,31928,31720,0.0,0.0,59,0.0,0.0,62,0.01,0.0,60
6.58,0.56,2024-11-15 00:31:39.724,0.61,3.63,2.96,0.31,0.26,60.97999999999998,30160,31408,0.01,0.01,70,0.01,0.0,49,0.02,0.01,62
7.66,0.73,2024-11-15 00:31:39.815,0.701,4.14,3.52,0.39,0.33,100.79999999999998,32864,34840,0.01,0.01,14,0.02,0.01,95,0.03,0.01,54
5.29,0.43,2024-11-15 00:31:39.915,0.801,2.95,2.34,0.22,0.21,37.990000000000016,32448,34632,0.0,0.0,66,0.01,0.0,58,0.01,0.0,62
4.61,0.3,2024-11-15 00:31:40.015,0.901,2.58,2.03,0.18,0.13,41.91,32448,34632,0.0,0.0,65,0.0,0.0,67,0.01,0.0,66
4.75,0.38,2024-11-15 00:31:40.116,1.002,2.67,2.08,0.21,0.17,43.67999999999999,32240,34216,0.0,0.0,63,0.0,0.0,58,0.01,0.0,61
4.5,0.35,2024-11-15 00:31:40.216,1.102,2.51,1.99,0.2,0.15,39.85999999999997,32136,34112,0.0,0.0,63,0.0,0.0,66,0.01,0.0,64
5.45,0.45,2024-11-15 00:31:40.316,1.202,3.02,2.43,0.25,0.2,53.17999999999996,32032,34216,0.0,0.0,54,0.01,0.0,73,0.02,0.0,63
7.19,0.67,2024-11-15 00:31:40.416,1.302,3.9,3.29,0.36,0.31,82.78999999999999,32136,33800,0.01,0.0,15,0.02,0.01,95,0.03,0.01,64
8.35,0.79,2024-11-15 00:31:40.517,1.403,4.53,3.83,0.42,0.38,63.109999999999985,32240,34216,0.0,0.0,53,0.02,0.0,82,0.02,0.01,74
4.56,0.3,2024-11-15 00:31:40.625,1.511,2.58,1.98,0.16,0.13,30.099999999999994,32344,33800,0.0,0.0,59,0.0,0.0,65,0.0,0.0,61
5.23,0.41,2024-11-15 00:31:40.717,1.603,2.92,2.31,0.23,0.18,42.949999999999996,31616,33072,0.0,0.0,67,0.01,0.0,75,0.01,0.0,70
4.95,0.38,2024-11-15 00:31:40.818,1.704,2.78,2.17,0.2,0.17,48.809999999999995,31824,33384,0.0,0.0,68,0.0,0.0,63,0.01,0.0,65
6.16,0.55,2024-11-15 00:31:40.917,1.803,3.38,2.78,0.3,0.25,52.72,31408,33072,0.0,0.0,60,0.01,0.0,83,0.01,0.0,72
5.81,0.5,2024-11-15 00:31:41.018,1.904,3.22,2.59,0.27,0.23,55.40000000000001,32760,32344,0.01,0.0,22,0.01,0.0,93,0.02,0.01,63
6.17,0.56,2024-11-15 00:31:41.118,2.004,3.37,2.8,0.31,0.25,72.57999999999998,32864,34216,0.0,0.0,40,0.01,0.01,93,0.01,0.01,77
4.71,0.35,2024-11-15 00:31:41.218,2.104,2.65,2.06,0.19,0.16,37.5,32968,33800,0.0,0.0,67,0.0,0.0,71,0.01,0.0,69
4.87,0.39,2024-11-15 00:31:41.319,2.205,2.71,2.16,0.22,0.17,40.20000000000002,33488,33800,0.0,0.0,66,0.01,0.0,71,0.01,0.0,69
4.41,0.3,2024-11-15 00:31:41.428,2.314,2.49,1.93,0.16,0.14,34.57000000000001,32968,33280,0.0,0.0,59,0.0,0.0,69,0.01,0.0,63
8.77,0.83,2024-11-15 00:31:41.519,2.405,4.76,4.01,0.43,0.4,70.27999999999997,31720,33176,0.0,0.0,66,0.02,0.0,80,0.03,0.01,75
5.6,0.47,2024-11-15 00:31:41.619,2.505,3.09,2.51,0.25,0.22,51.86999999999997,31512,32968,0.0,0.0,54,0.01,0.0,80,0.02,0.0,68
7.36,0.7,2024-11-15 00:31:41.720,2.606,4.03,3.34,0.36,0.34,88.79999999999998,31824,35568,0.01,0.0,21,0.02,0.01,96,0.02,0.01,72
