time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-15 23:04:27.036227
",pgbench-100,0.01,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:28.666748
",pgbench-100,0.01,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:30.672780
",pgbench-100,0.01,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:32.680864
",pgbench-100,0.01,2.292,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:34.686992
",pgbench-100,0.01,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:36.694187
",pgbench-100,0.81,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:38.700966
",pgbench-100,0.00,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:40.709420
",pgbench-100,0.00,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:42.712976
",pgbench-100,0.00,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:44.718879
",pgbench-100,0.00,2.291,96.0,2.39%,1.0395050048828126e-06,0.0,1.84,31.3
"2025-02-15 23:04:46.726843
",pgbench-100,4486.92,6.019,96.0,6.27%,1.0395050048828126e-06,0.0,1.94,31.3
"2025-02-15 23:04:48.730782
",pgbench-100,4956.70,10.89,96.0,11.35%,1.0395050048828126e-06,0.0,2.14,31.3
"2025-02-15 23:04:50.737423
",pgbench-100,4984.35,13.05,96.0,13.59%,1.0395050048828126e-06,0.0,2.22,31.3
"2025-02-15 23:04:52.744350
",pgbench-100,4970.82,14.14,96.0,14.73%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:04:54.751585
",pgbench-100,4990.09,14.71,96.0,15.33%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:04:56.757802
",pgbench-100,4983.58,15.0,96.0,15.63%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:04:58.767085
",pgbench-100,4994.97,15.16,96.0,15.79%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:00.772376
",pgbench-100,5001.43,15.23,96.0,15.87%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:02.779286
",pgbench-100,4960.92,15.27,96.0,15.91%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:04.785646
",pgbench-100,5020.90,15.29,96.0,15.93%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:06.792656
",pgbench-100,4972.14,15.3,96.0,15.94%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:08.799031
",pgbench-100,5007.75,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:10.808840
",pgbench-100,5004.84,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:12.813014
",pgbench-100,5016.78,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:14.818480
",pgbench-100,4975.33,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:16.824041
",pgbench-100,4955.08,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:18.830233
",pgbench-100,4954.01,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:20.835205
",pgbench-100,4991.36,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:22.841560
",pgbench-100,4981.71,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:24.849321
",pgbench-100,5012.46,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:26.857011
",pgbench-100,4981.28,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:28.863470
",pgbench-100,4987.62,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:30.870055
",pgbench-100,4994.38,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:32.876120
",pgbench-100,4982.96,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:34.882401
",pgbench-100,4967.42,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:36.889061
",pgbench-100,4993.39,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:38.896227
",pgbench-100,5002.34,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:40.908169
",pgbench-100,4964.43,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:42.915018
",pgbench-100,5034.71,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:44.920239
",pgbench-100,4983.42,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:46.925017
",pgbench-100,4977.46,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:48.930251
",pgbench-100,4967.57,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:50.935563
",pgbench-100,5003.92,15.32,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:52.941977
",pgbench-100,5031.93,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:54.949979
",pgbench-100,4983.96,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:56.956777
",pgbench-100,4982.28,15.31,96.0,15.95%,1.0395050048828126e-06,0.0,2.24,31.3
"2025-02-15 23:05:58.963160
",pgbench-100,4998.40,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:00.970220
",pgbench-100,4992.22,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:02.976734
",pgbench-100,4972.42,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:04.983859
",pgbench-100,5029.58,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:06.989692
",pgbench-100,4967.60,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:08.996362
",pgbench-100,4967.91,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:11.002456
",pgbench-100,4984.82,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:13.008321
",pgbench-100,4988.97,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:15.015282
",pgbench-100,4991.94,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:17.020166
",pgbench-100,4973.91,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:19.025280
",pgbench-100,4987.60,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:21.031411
",pgbench-100,4990.03,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:23.035896
",pgbench-100,4975.66,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:25.043328
",pgbench-100,5003.01,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:27.049421
",pgbench-100,5010.80,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:29.055924
",pgbench-100,5031.51,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:31.061541
",pgbench-100,4986.19,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:33.068218
",pgbench-100,4961.87,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:35.075516
",pgbench-100,5028.13,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:37.082139
",pgbench-100,4999.59,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:39.089428
",pgbench-100,4971.85,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:41.093872
",pgbench-100,5009.51,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:43.100722
",pgbench-100,4957.55,15.32,96.0,15.96%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:45.106387
",pgbench-100,4988.03,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:47.112126
",pgbench-100,5007.59,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:49.117622
",pgbench-100,4981.94,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:51.121794
",pgbench-100,4954.83,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:53.127143
",pgbench-100,4983.47,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:55.132319
",pgbench-100,4960.75,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:57.142489
",pgbench-100,4971.46,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:06:59.149928
",pgbench-100,4994.47,15.31,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:01.156552
",pgbench-100,4961.91,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:03.163031
",pgbench-100,4996.65,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:05.170080
",pgbench-100,4987.32,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:07.176233
",pgbench-100,4984.21,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:09.182691
",pgbench-100,5004.28,15.31,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:11.189253
",pgbench-100,5003.50,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:13.196110
",pgbench-100,5018.28,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:15.203821
",pgbench-100,4964.46,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:17.208377
",pgbench-100,4970.15,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:19.214354
",pgbench-100,5009.57,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
"2025-02-15 23:07:21.220302
",pgbench-100,4964.56,15.32,96.0,15.95%,1.10626220703125e-06,0.0,2.24,31.3
