Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.84,1.43,2025-02-16 23:35:29.705,0.0,5.06,4.78,0.73,0.7,18.62000000000001,35672,34112,0.0,0.0,78,0.0,0.0,50,0.01,0.0,70
9.74,1.43,2025-02-16 23:35:29.806,0.101,5.05,4.69,0.73,0.7,19.109999999999985,36400,34112,0.0,0.0,85,0.0,0.0,34,0.01,0.0,73
9.56,1.4,2025-02-16 23:35:29.906,0.201,4.93,4.63,0.71,0.69,21.65999999999997,36088,34008,0.0,0.0,85,0.0,0.0,39,0.01,0.0,73
9.68,1.41,2025-02-16 23:35:30.006,0.301,4.98,4.7,0.72,0.69,19.639999999999965,36400,34008,0.0,0.0,70,0.0,0.0,51,0.0,0.0,64
9.79,1.44,2025-02-16 23:35:30.107,0.402,5.07,4.72,0.73,0.71,51.680000000000014,36712,33592,0.01,0.01,69,0.02,0.01,18,0.03,0.03,45
9.73,1.41,2025-02-16 23:35:30.207,0.502,4.98,4.75,0.72,0.69,23.129999999999956,36400,33592,0.0,0.0,78,0.0,0.0,49,0.01,0.0,68
9.86,1.41,2025-02-16 23:35:30.307,0.602,4.96,4.89,0.72,0.69,32.540000000000006,35984,33696,0.0,0.0,59,0.01,0.0,64,0.01,0.0,61
9.64,1.41,2025-02-16 23:35:30.408,0.703,4.99,4.65,0.72,0.69,29.00999999999999,34840,33592,0.01,0.0,90,0.0,0.0,38,0.01,0.0,79
9.55,1.39,2025-02-16 23:35:30.507,0.802,4.95,4.6,0.71,0.68,20.579999999999963,34736,33696,0.0,0.0,74,0.0,0.0,48,0.0,0.0,64
9.5,1.39,2025-02-16 23:35:30.606,0.901,4.94,4.56,0.71,0.68,26.589999999999975,34216,33800,0.01,0.0,90,0.0,0.0,28,0.01,0.0,77
9.82,1.41,2025-02-16 23:35:30.706,1.001,5.14,4.67,0.72,0.69,44.31999999999998,32240,33384,0.01,0.02,94,0.01,0.0,9,0.02,0.02,77
9.63,1.4,2025-02-16 23:35:30.806,1.101,4.99,4.64,0.72,0.68,19.579999999999984,32136,33280,0.0,0.0,65,0.0,0.0,49,0.01,0.0,59
9.68,1.4,2025-02-16 23:35:30.906,1.201,5.0,4.68,0.72,0.69,23.66999999999999,31928,33280,0.0,0.0,84,0.0,0.0,30,0.01,0.0,65
9.6,1.4,2025-02-16 23:35:31.007,1.302,4.98,4.62,0.72,0.69,18.129999999999985,32032,33280,0.0,0.0,65,0.0,0.0,48,0.0,0.0,57
9.68,1.4,2025-02-16 23:35:31.107,1.402,4.98,4.7,0.72,0.69,27.89999999999997,32240,33696,0.0,0.0,24,0.0,0.0,71,0.01,0.0,39
9.63,1.4,2025-02-16 23:35:31.207,1.502,4.98,4.65,0.71,0.69,19.69999999999997,32032,33696,0.0,0.0,74,0.0,0.0,47,0.01,0.0,63
9.74,1.41,2025-02-16 23:35:31.308,1.603,4.99,4.75,0.72,0.69,32.25000000000002,31720,33592,0.0,0.0,52,0.0,0.0,61,0.01,0.0,57
9.64,1.4,2025-02-16 23:35:31.408,1.703,4.97,4.67,0.72,0.69,18.40999999999999,31512,33592,0.0,0.0,64,0.0,0.0,48,0.0,0.0,57
9.66,1.4,2025-02-16 23:35:31.508,1.803,4.98,4.68,0.71,0.69,18.779999999999973,31096,33592,0.0,0.0,64,0.0,0.0,47,0.0,0.0,57
9.53,1.39,2025-02-16 23:35:31.608,1.903,4.92,4.61,0.71,0.68,18.329999999999977,30992,33592,0.0,0.0,61,0.0,0.0,50,0.0,0.0,56
9.57,1.39,2025-02-16 23:35:31.707,2.002,4.93,4.63,0.71,0.68,19.399999999999977,31096,33592,0.0,0.0,65,0.0,0.0,48,0.0,0.0,57
9.54,1.39,2025-02-16 23:35:31.806,2.101,4.92,4.62,0.7,0.68,18.649999999999988,31200,33592,0.0,0.0,68,0.0,0.0,50,0.0,0.0,60
9.66,1.4,2025-02-16 23:35:31.917,2.212,4.98,4.68,0.71,0.69,29.71999999999997,31304,35568,0.0,0.0,18,0.0,0.0,77,0.01,0.0,42
9.61,1.41,2025-02-16 23:35:32.007,2.302,4.92,4.69,0.71,0.69,31.02999999999998,31824,34216,0.01,0.01,11,0.01,0.0,88,0.02,0.01,42
9.65,1.41,2025-02-16 23:35:32.107,2.402,5.02,4.63,0.72,0.69,30.989999999999977,31616,34112,0.0,0.0,48,0.0,0.0,63,0.01,0.0,53
9.6,1.4,2025-02-16 23:35:32.207,2.502,4.97,4.62,0.72,0.69,18.88999999999998,31616,34112,0.0,0.0,62,0.0,0.0,51,0.0,0.0,58
9.61,1.41,2025-02-16 23:35:32.308,2.603,4.98,4.63,0.72,0.69,33.230000000000025,31616,34008,0.0,0.0,48,0.0,0.0,61,0.01,0.0,55
9.6,1.41,2025-02-16 23:35:32.408,2.703,4.98,4.61,0.72,0.69,18.37999999999999,31720,34008,0.0,0.0,70,0.0,0.0,47,0.0,0.0,59
9.6,1.4,2025-02-16 23:35:32.508,2.803,4.97,4.63,0.72,0.68,19.519999999999975,31200,34008,0.0,0.0,77,0.0,0.0,42,0.01,0.0,64
