time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 00:09:06.595132
",pgbench-100,0.00,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:09.084343
",pgbench-100,0.00,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:11.088214
",pgbench-100,0.00,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:13.093959
",pgbench-100,0.00,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:15.100235
",pgbench-100,0.12,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:17.105488
",pgbench-100,0.01,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:19.111361
",pgbench-100,0.01,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:21.118072
",pgbench-100,0.01,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:23.125739
",pgbench-100,0.03,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:25.131588
",pgbench-100,0.01,15.18,96.0,15.82%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:27.138329
",minSpanningForest,4895.72,18.18,155.0,11.73%,0.0,0.0,0.0021875,0.0
"2025-02-17 00:09:27.138329
",pgbench-100,3614.07,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:29.151880
",minSpanningForest,4833.29,37.63,155.0,24.28%,0.0,0.0,0.0021875,0.0
"2025-02-17 00:09:29.151880
",pgbench-100,3923.48,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:31.162484
",minSpanningForest,45.43,40.5,155.0,26.13%,0.0,0.0,0.8759765625,0.0
"2025-02-17 00:09:31.162484
",pgbench-100,5054.74,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:33.172945
",minSpanningForest,47.71,40.5,155.0,26.13%,0.0,0.0,1.95,0.0
"2025-02-17 00:09:33.172945
",pgbench-100,4982.45,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:35.184088
",minSpanningForest,31.03,40.5,155.0,26.13%,0.0,0.0,2.69,0.0
"2025-02-17 00:09:35.184088
",pgbench-100,4979.62,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:37.195910
",minSpanningForest,31.95,40.5,155.0,26.13%,0.0,0.0,3.38,0.0
"2025-02-17 00:09:37.195910
",pgbench-100,5029.25,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:39.206083
",minSpanningForest,32.59,40.5,155.0,26.13%,0.0,0.0,4.06,0.0
"2025-02-17 00:09:39.206083
",pgbench-100,5009.86,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:41.215434
",minSpanningForest,40.80,40.51,155.0,26.13%,0.0,0.0,4.74,0.0
"2025-02-17 00:09:41.215434
",pgbench-100,4964.60,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:43.221779
",minSpanningForest,37.45,40.51,155.0,26.13%,0.0,0.0,5.13,0.0
"2025-02-17 00:09:43.221779
",pgbench-100,4954.70,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:45.228758
",minSpanningForest,37.87,40.51,155.0,26.14%,0.0,0.0,5.84,0.0
"2025-02-17 00:09:45.228758
",pgbench-100,4960.80,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:47.237276
",minSpanningForest,39.41,40.51,155.0,26.14%,0.0,0.0,6.55,0.0
"2025-02-17 00:09:47.237276
",pgbench-100,4959.92,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:49.247521
",minSpanningForest,42.93,40.52,155.0,26.14%,0.0,0.0,7.56,0.0
"2025-02-17 00:09:49.247521
",pgbench-100,5003.60,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:51.256154
",minSpanningForest,42.44,40.52,155.0,26.14%,0.0,0.0,8.53,0.0
"2025-02-17 00:09:51.256154
",pgbench-100,5021.16,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:53.267040
",minSpanningForest,45.34,40.52,155.0,26.14%,0.0,0.0,9.52,0.0
"2025-02-17 00:09:53.267040
",pgbench-100,4991.79,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:55.278234
",minSpanningForest,48.51,40.52,155.0,26.14%,0.0,0.0,10.5,0.0
"2025-02-17 00:09:55.278234
",pgbench-100,4985.34,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:57.288403
",minSpanningForest,47.70,40.53,155.0,26.15%,0.0,0.0,11.6,0.0
"2025-02-17 00:09:57.288403
",pgbench-100,4997.39,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:09:59.301232
",minSpanningForest,42.98,40.53,155.0,26.15%,0.0,0.0,12.6,0.0
"2025-02-17 00:09:59.301232
",pgbench-100,5001.70,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:01.310900
",minSpanningForest,44.60,40.53,155.0,26.15%,0.0,0.0,13.5,0.0
"2025-02-17 00:10:01.310900
",pgbench-100,5004.20,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:03.319106
",minSpanningForest,35.10,40.53,155.0,26.15%,0.0,0.0,14.4,0.0
"2025-02-17 00:10:03.319106
",pgbench-100,4971.06,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:05.326240
",minSpanningForest,45.36,40.53,155.0,26.15%,0.0,0.0,15.4,0.0
"2025-02-17 00:10:05.326240
",pgbench-100,5001.81,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:07.333151
",minSpanningForest,45.07,40.53,155.0,26.15%,0.0,0.0,16.4,0.0
"2025-02-17 00:10:07.333151
",pgbench-100,4968.88,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:09.343188
",minSpanningForest,40.97,40.54,155.0,26.15%,0.0,0.0,17.4,0.0
"2025-02-17 00:10:09.343188
",pgbench-100,4990.36,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:11.352649
",minSpanningForest,44.89,40.54,155.0,26.15%,0.0,0.0,18.4,0.0
"2025-02-17 00:10:11.352649
",pgbench-100,4958.06,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:13.363130
",minSpanningForest,30.32,40.54,155.0,26.15%,0.0,0.0,19.1,0.0
"2025-02-17 00:10:13.363130
",pgbench-100,5000.25,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:15.372854
",minSpanningForest,30.08,40.54,155.0,26.16%,0.0,0.0,19.7,0.0
"2025-02-17 00:10:15.372854
",pgbench-100,5002.24,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:17.387488
",minSpanningForest,44.04,40.54,155.0,26.16%,0.0,0.0,20.6,0.0
"2025-02-17 00:10:17.387488
",pgbench-100,4972.33,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:19.398459
",minSpanningForest,32.38,40.69,155.0,26.25%,0.0,0.0,21.3,0.0
"2025-02-17 00:10:19.398459
",pgbench-100,4980.55,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:21.408355
",minSpanningForest,32.48,40.87,155.0,26.37%,0.0,0.0,21.9,0.0
"2025-02-17 00:10:21.408355
",pgbench-100,4984.51,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:23.417474
",minSpanningForest,33.50,41.0,155.0,26.45%,0.0,0.0,22.6,0.0
"2025-02-17 00:10:23.417474
",pgbench-100,4987.62,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:25.425008
",minSpanningForest,33.52,41.06,155.0,26.49%,0.0,0.0,23.4,0.0
"2025-02-17 00:10:25.425008
",pgbench-100,5008.87,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:27.431926
",minSpanningForest,34.37,41.14,155.0,26.54%,0.0,0.0,24.1,0.0
"2025-02-17 00:10:27.431926
",pgbench-100,4963.21,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:29.441708
",minSpanningForest,34.80,41.2,155.0,26.58%,0.0,0.0,24.8,0.0
"2025-02-17 00:10:29.441708
",pgbench-100,4982.76,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:31.451885
",minSpanningForest,31.59,41.27,155.0,26.63%,0.0,0.0,25.5,0.0
"2025-02-17 00:10:31.451885
",pgbench-100,5023.66,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:33.461641
",minSpanningForest,32.83,41.34,155.0,26.67%,0.0,0.0,26.1,0.0
"2025-02-17 00:10:33.461641
",pgbench-100,4995.70,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:35.471609
",minSpanningForest,30.75,41.4,155.0,26.71%,0.0,0.0,26.8,0.0
"2025-02-17 00:10:35.471609
",pgbench-100,5012.28,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:37.483434
",minSpanningForest,34.33,41.47,155.0,26.76%,0.0,0.0,27.5,0.0
"2025-02-17 00:10:37.483434
",pgbench-100,5014.19,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:39.492646
",minSpanningForest,34.78,41.6,155.0,26.84%,0.0,0.0,28.2,0.0
"2025-02-17 00:10:39.492646
",pgbench-100,5005.58,15.35,96.0,15.99%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:41.504155
",minSpanningForest,104.31,41.66,155.0,26.88%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:41.504155
",pgbench-100,5011.61,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:43.515054
",minSpanningForest,103.71,41.66,155.0,26.87%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:43.515054
",pgbench-100,4960.39,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:45.523423
",minSpanningForest,4814.78,41.66,155.0,26.87%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:45.523423
",pgbench-100,4285.26,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:47.541572
",minSpanningForest,4747.46,43.62,155.0,28.14%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:47.541572
",pgbench-100,4318.01,15.36,96.0,16.00%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:49.552209
",minSpanningForest,4789.75,56.68,155.0,36.57%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:49.552209
",pgbench-100,4257.36,15.34,96.0,15.98%,1.506805419921875e-06,4.023313522338867e-07,1.01,31.9
"2025-02-17 00:10:51.566119
",minSpanningForest,4822.76,66.91,155.0,43.17%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:51.566119
",pgbench-100,3994.73,13.24,96.0,13.80%,1.506805419921875e-06,4.023313522338867e-07,1.07,31.9
"2025-02-17 00:10:53.596431
",minSpanningForest,4815.78,76.35,155.0,49.26%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:53.596431
",pgbench-100,3647.96,11.87,96.0,12.37%,1.506805419921875e-06,4.023313522338867e-07,1.34,31.9
"2025-02-17 00:10:55.595588
",minSpanningForest,4763.67,81.97,155.0,52.88%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:55.595588
",pgbench-100,3668.59,11.92,96.0,12.42%,1.506805419921875e-06,4.023313522338867e-07,1.86,31.9
"2025-02-17 00:10:57.609557
",minSpanningForest,4822.86,90.41,155.0,58.33%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:57.609557
",pgbench-100,2781.95,11.19,96.0,11.65%,1.506805419921875e-06,4.023313522338867e-07,2.29,31.9
"2025-02-17 00:10:59.621602
",minSpanningForest,4823.51,100.9,155.0,65.07%,0.0,0.0,28.3,0.0
"2025-02-17 00:10:59.621602
",pgbench-100,1653.09,10.19,96.0,10.62%,1.506805419921875e-06,4.023313522338867e-07,2.74,31.9
"2025-02-17 00:11:01.631316
",minSpanningForest,704.63,105.9,155.0,68.33%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:01.631316
",pgbench-100,301.04,9.624,96.0,10.03%,1.506805419921875e-06,4.023313522338867e-07,2.88,31.9
"2025-02-17 00:11:03.642015
",minSpanningForest,704.38,107.5,155.0,69.38%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:03.642015
",pgbench-100,225.33,9.289,96.0,9.68%,1.506805419921875e-06,4.023313522338867e-07,2.95,31.9
"2025-02-17 00:11:05.654322
",minSpanningForest,660.63,109.6,155.0,70.73%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:05.654322
",pgbench-100,598.53,9.508,96.0,9.90%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:07.688587
",minSpanningForest,4446.67,124.5,155.0,80.34%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:07.688587
",pgbench-100,0.00,9.151,96.0,9.53%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:09.698352
",minSpanningForest,99.12,123.4,155.0,79.60%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:09.698352
",pgbench-100,0.00,9.132,96.0,9.51%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:11.707838
",minSpanningForest,99.16,107.8,155.0,69.54%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:11.707838
",pgbench-100,0.00,9.132,96.0,9.51%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:13.719198
",minSpanningForest,99.82,88.35,155.0,57.00%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:13.719198
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:15.732121
",minSpanningForest,295.65,66.27,155.0,42.75%,0.0,0.0,28.3,0.0
"2025-02-17 00:11:15.732121
",pgbench-100,0.00,9.134,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:17.742840
",minSpanningForest,3070.22,69.84,155.0,45.06%,0.0,0.0,28.8,0.0
"2025-02-17 00:11:17.742840
",pgbench-100,0.00,9.134,96.0,9.51%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:19.759247
",minSpanningForest,2898.52,73.12,155.0,47.18%,0.0,0.0,29.4,0.0
"2025-02-17 00:11:19.759247
",pgbench-100,0.00,9.134,96.0,9.51%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:21.769830
",minSpanningForest,2688.82,76.33,155.0,49.25%,0.0,0.0,30.0,0.0
"2025-02-17 00:11:21.769830
",pgbench-100,0.00,9.134,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:23.780726
",minSpanningForest,4279.05,80.05,155.0,51.65%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:23.780726
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:25.792057
",minSpanningForest,99.57,68.36,155.0,44.11%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:25.792057
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:27.804076
",minSpanningForest,99.51,45.47,155.0,29.34%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:27.804076
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:29.812667
",minSpanningForest,98.21,24.34,155.0,15.70%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:29.812667
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:31.824993
",minSpanningForest,3703.14,19.51,155.0,12.59%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:31.824993
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:33.838955
",minSpanningForest,4801.33,20.69,155.0,13.35%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:33.838955
",pgbench-100,0.01,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:35.848058
",minSpanningForest,4808.38,21.81,155.0,14.07%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:35.848058
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:37.859764
",minSpanningForest,4788.25,26.61,155.0,17.17%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:37.859764
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:39.871581
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:39.871581
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:41.879164
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:41.879164
",pgbench-100,0.65,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:43.888456
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:43.888456
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:45.897690
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:45.897690
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:47.909146
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:47.909146
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:49.918309
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:49.918309
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:51.928844
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:51.928844
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:53.937411
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:53.937411
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:55.946849
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:55.946849
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:57.961431
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:57.961431
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:11:59.967687
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:11:59.967687
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:01.977659
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:01.977659
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:03.987252
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:03.987252
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:05.998895
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:05.998895
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:08.007518
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:08.007518
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:10.018499
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:10.018499
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:12.026966
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:12.026966
",pgbench-100,0.54,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:14.037666
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:14.037666
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:16.047573
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:16.047573
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:18.058086
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:18.058086
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:20.072018
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:20.072018
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:22.081811
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:22.081811
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:24.094736
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:24.094736
",pgbench-100,0.00,9.135,96.0,9.52%,1.506805419921875e-06,4.023313522338867e-07,3.14,31.9
"2025-02-17 00:12:26.103297
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:26.103297
",pgbench-100,0.00,9.135,96.0,9.52%,1.5735626220703124e-06,4.7124922275543213e-07,3.14,31.9
"2025-02-17 00:12:28.114232
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:28.114232
",pgbench-100,0.00,9.135,96.0,9.52%,1.5735626220703124e-06,5.401670932769775e-07,3.14,31.9
"2025-02-17 00:12:30.123299
",minSpanningForest,0.00,27.08,155.0,17.47%,0.0,0.0,30.4,0.0
"2025-02-17 00:12:30.123299
",pgbench-100,0.00,9.135,96.0,9.52%,1.5735626220703124e-06,6.09084963798523e-07,3.14,31.9
