time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 00:42:38.199391
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:40.332125
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:42.336519
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:44.342764
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:46.349020
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:48.354440
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:50.360495
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:52.365994
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:54.373832
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:56.376879
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:42:58.382324
",nearestNeighbors,39.53,2.606,96.0,2.71%,0.0,0.0,0.4892578125,0.0
"2025-02-17 00:42:58.382324
",pgbench-100,5013.71,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:00.394951
",nearestNeighbors,39.68,2.609,96.0,2.72%,0.0,0.0,1.36,0.0
"2025-02-17 00:43:00.394951
",pgbench-100,5024.88,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:02.408344
",nearestNeighbors,38.78,2.611,96.0,2.72%,0.0,0.0,2.21,0.0
"2025-02-17 00:43:02.408344
",pgbench-100,4992.26,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:04.418401
",nearestNeighbors,1305.74,3.314,96.0,3.45%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:04.418401
",pgbench-100,4636.38,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:06.432613
",nearestNeighbors,4846.12,11.98,96.0,12.48%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:06.432613
",pgbench-100,4350.06,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:08.443696
",nearestNeighbors,4828.95,32.09,96.0,33.43%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:08.443696
",pgbench-100,4467.80,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:10.454479
",nearestNeighbors,4808.21,48.89,96.0,50.93%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:10.454479
",pgbench-100,4541.14,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:12.466091
",nearestNeighbors,3896.24,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:12.466091
",pgbench-100,4606.40,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:14.479482
",nearestNeighbors,4858.54,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:14.479482
",pgbench-100,4199.85,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:16.491875
",nearestNeighbors,4888.27,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:16.491875
",pgbench-100,4024.42,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:18.502527
",nearestNeighbors,4882.91,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:18.502527
",pgbench-100,3811.22,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:20.514653
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:20.514653
",pgbench-100,4969.95,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:22.520302
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:22.520302
",pgbench-100,4951.32,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:24.526008
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:24.526008
",pgbench-100,4966.34,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:26.532374
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:26.532374
",pgbench-100,4971.50,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:28.541675
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:28.541675
",pgbench-100,4998.97,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:30.551422
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:30.551422
",pgbench-100,4971.80,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:32.559447
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:32.559447
",pgbench-100,4985.42,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:34.568606
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:34.568606
",pgbench-100,4998.48,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:36.578729
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:36.578729
",pgbench-100,4999.72,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:38.588828
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:38.588828
",pgbench-100,5022.05,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:40.598293
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:40.598293
",pgbench-100,4966.91,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:42.606708
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:42.606708
",pgbench-100,5011.07,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:44.617363
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:44.617363
",pgbench-100,4959.73,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:46.624964
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:46.624964
",pgbench-100,4972.58,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:48.633699
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:48.633699
",pgbench-100,4999.99,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:50.644960
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:50.644960
",pgbench-100,4955.83,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:52.654871
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:52.654871
",pgbench-100,4975.85,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:54.664519
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:54.664519
",pgbench-100,4999.76,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:56.673393
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:56.673393
",pgbench-100,4989.95,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:43:58.685211
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:43:58.685211
",pgbench-100,4954.25,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:00.694957
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:00.694957
",pgbench-100,5010.86,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:02.704695
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:02.704695
",pgbench-100,5033.56,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:04.716462
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:04.716462
",pgbench-100,4965.51,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:06.722566
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:06.722566
",pgbench-100,4959.23,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:08.730461
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:08.730461
",pgbench-100,4965.15,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:10.737178
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:10.737178
",pgbench-100,4998.32,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:12.746891
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:12.746891
",pgbench-100,4992.60,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:14.756600
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:14.756600
",pgbench-100,5002.37,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:16.765890
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:16.765890
",pgbench-100,4980.24,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:18.775487
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:18.775487
",pgbench-100,4970.92,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:20.784687
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:20.784687
",pgbench-100,4997.86,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:22.795186
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:22.795186
",pgbench-100,4994.12,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:24.806011
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:24.806011
",pgbench-100,4976.39,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:26.817770
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:26.817770
",pgbench-100,4956.19,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:28.824776
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:28.824776
",pgbench-100,4976.77,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:30.832587
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:30.832587
",pgbench-100,4969.04,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:32.838928
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:32.838928
",pgbench-100,4980.63,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:34.848537
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:34.848537
",pgbench-100,4976.38,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:36.857052
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:36.857052
",pgbench-100,4969.84,15.17,96.0,15.80%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:38.867378
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
"2025-02-17 00:44:38.867378
",pgbench-100,0.00,15.0,96.0,15.62%,1.7833709716796876e-06,1.3256072998046874e-06,8.42,31.9
"2025-02-17 00:44:40.877752
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.76,0.0
