Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.16,1.41,2025-02-16 23:10:47.931,0.0,4.68,4.48,0.72,0.69,11.239999999999995,34944,34632,0.0,0.0,69,0.0,0.0,51,0.0,0.0,62
8.94,1.38,2025-02-16 23:10:48.031,0.1,4.56,4.38,0.7,0.68,17.319999999999983,34840,34632,0.0,0.0,64,0.0,0.0,41,0.01,0.0,57
9.14,1.41,2025-02-16 23:10:48.132,0.201,4.66,4.48,0.72,0.69,18.329999999999995,34944,34944,0.0,0.0,61,0.0,0.0,48,0.0,0.0,55
9.02,1.39,2025-02-16 23:10:48.232,0.301,4.61,4.41,0.71,0.68,21.38999999999998,34840,34944,0.0,0.0,67,0.0,0.0,45,0.0,0.0,57
9.02,1.39,2025-02-16 23:10:48.333,0.402,4.61,4.42,0.71,0.68,17.83,34840,34736,0.0,0.0,49,0.0,0.0,55,0.0,0.0,51
9.19,1.4,2025-02-16 23:10:48.433,0.502,4.61,4.58,0.71,0.68,28.870000000000008,35152,34632,0.0,0.0,42,0.01,0.0,73,0.01,0.0,61
9.0,1.39,2025-02-16 23:10:48.533,0.602,4.57,4.43,0.7,0.68,16.63,34008,34320,0.0,0.0,45,0.0,0.0,54,0.0,0.0,48
9.09,1.41,2025-02-16 23:10:48.633,0.702,4.68,4.41,0.72,0.68,37.730000000000004,33488,34632,0.01,0.01,74,0.0,0.0,47,0.01,0.01,69
9.02,1.39,2025-02-16 23:10:48.734,0.803,4.6,4.42,0.71,0.68,15.700000000000005,33592,34632,0.0,0.0,58,0.0,0.0,48,0.0,0.0,54
8.94,1.37,2025-02-16 23:10:48.833,0.902,4.57,4.37,0.7,0.67,18.3,33488,34632,0.0,0.0,52,0.0,0.0,53,0.0,0.0,52
