Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.69,1.42,2025-02-17 00:18:04.591,0.0,5.04,4.65,0.72,0.69,12.72,35464,36504,0.0,0.0,59,0.0,0.0,53,0.0,0.0,57
9.6,1.4,2025-02-17 00:18:04.691,0.1,4.98,4.61,0.71,0.68,14.819999999999999,35568,36608,0.0,0.0,65,0.0,0.0,41,0.0,0.0,56
9.58,1.4,2025-02-17 00:18:04.792,0.201,4.97,4.61,0.72,0.69,29.060000000000006,35152,35984,0.01,0.01,18,0.01,0.0,85,0.01,0.01,43
9.57,1.4,2025-02-17 00:18:04.892,0.301,4.96,4.6,0.71,0.69,17.14,35048,35880,0.0,0.0,55,0.0,0.0,57,0.0,0.0,56
9.57,1.4,2025-02-17 00:18:04.992,0.401,4.97,4.6,0.71,0.69,16.73,35048,35880,0.0,0.0,63,0.0,0.0,46,0.0,0.0,55
9.72,1.41,2025-02-17 00:18:05.093,0.502,4.98,4.75,0.72,0.69,26.650000000000006,34736,35880,0.0,0.0,32,0.0,0.0,73,0.01,0.0,55
9.48,1.39,2025-02-17 00:18:05.192,0.601,4.92,4.56,0.71,0.68,17.129999999999992,34528,35880,0.0,0.0,59,0.0,0.0,47,0.0,0.0,53
9.43,1.38,2025-02-17 00:18:05.291,0.7,4.91,4.52,0.71,0.67,22.40999999999998,34424,35464,0.0,0.0,24,0.01,0.0,83,0.01,0.0,55
9.76,1.4,2025-02-17 00:18:05.390,0.799,4.93,4.83,0.71,0.68,48.34000000000002,34112,35048,0.01,0.02,5,0.01,0.0,92,0.02,0.02,34
9.47,1.38,2025-02-17 00:18:05.490,0.899,4.92,4.55,0.71,0.68,19.079999999999977,34008,34840,0.0,0.0,55,0.0,0.0,53,0.0,0.0,54
9.52,1.39,2025-02-17 00:18:05.589,0.998,4.91,4.61,0.7,0.69,18.33999999999999,34008,34840,0.0,0.0,59,0.0,0.0,51,0.0,0.0,55
9.53,1.39,2025-02-17 00:18:05.689,1.098,4.98,4.55,0.71,0.68,17.949999999999996,34008,34736,0.0,0.0,53,0.0,0.0,59,0.0,0.0,56
9.64,1.41,2025-02-17 00:18:05.790,1.199,4.96,4.68,0.71,0.7,27.24,34632,34632,0.0,0.0,22,0.0,0.0,83,0.01,0.0,50
9.52,1.39,2025-02-17 00:18:05.890,1.299,4.96,4.56,0.71,0.68,16.470000000000006,34528,34632,0.0,0.0,50,0.0,0.0,56,0.0,0.0,52
9.58,1.4,2025-02-17 00:18:05.990,1.399,4.96,4.62,0.71,0.69,18.859999999999985,34632,34424,0.0,0.0,42,0.0,0.0,59,0.0,0.0,49
9.66,1.4,2025-02-17 00:18:06.091,1.5,4.98,4.69,0.71,0.69,28.02000000000001,34632,34944,0.0,0.0,42,0.0,0.0,69,0.01,0.0,58
9.57,1.39,2025-02-17 00:18:06.191,1.6,4.95,4.62,0.71,0.68,15.609999999999996,34736,34944,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.56,1.39,2025-02-17 00:18:06.291,1.7,4.97,4.6,0.71,0.68,16.530000000000005,34736,34944,0.0,0.0,61,0.0,0.0,52,0.0,0.0,57
9.51,1.39,2025-02-17 00:18:06.392,1.801,4.9,4.61,0.7,0.69,17.559999999999995,34840,35048,0.0,0.0,59,0.0,0.0,46,0.0,0.0,53
