time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-16 23:17:16.507130
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:18.502221
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:20.508263
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:22.514483
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:24.520472
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:26.526459
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:28.532778
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:30.538862
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:32.544093
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:34.549586
",pgbench-100,0.00,15.27,96.0,15.90%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:36.554574
",pgbench-100,4926.08,15.43,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:36.554574
",x265,1450.07,0.9892578125,96.0,1.03%,0.0,0.0,0.3984375,0.0
"2025-02-16 23:17:38.569819
",x265,2799.72,2.621,96.0,2.73%,0.0,0.0,0.7275390625,0.0
"2025-02-16 23:17:38.569819
",pgbench-100,5029.71,15.43,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:40.587393
",x265,2938.34,2.888,96.0,3.01%,0.0,0.0,0.873046875,0.0
"2025-02-16 23:17:40.587393
",pgbench-100,5019.32,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:42.596759
",x265,2812.65,2.89,96.0,3.01%,0.0,0.0,1.07,0.0
"2025-02-16 23:17:42.596759
",pgbench-100,5116.66,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:44.615104
",x265,2986.59,2.892,96.0,3.01%,0.0,0.0,1.25,0.0
"2025-02-16 23:17:44.615104
",pgbench-100,4978.14,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:46.628474
",x265,2982.70,2.893,96.0,3.01%,0.0,0.0,1.44,0.0
"2025-02-16 23:17:46.628474
",pgbench-100,4993.12,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:48.641017
",x265,2739.53,2.894,96.0,3.02%,0.0,0.0,1.62,0.0
"2025-02-16 23:17:48.641017
",pgbench-100,5019.53,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:50.664761
",x265,2893.57,2.896,96.0,3.02%,0.0,0.0,1.77,0.0
"2025-02-16 23:17:50.664761
",pgbench-100,5040.29,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:52.676321
",x265,2899.32,2.896,96.0,3.02%,0.0,0.0,1.94,0.0
"2025-02-16 23:17:52.676321
",pgbench-100,5068.94,15.44,96.0,16.08%,1.373291015625e-06,4.023313522338867e-07,0.0564453125,31.9
"2025-02-16 23:17:54.693397
",x265,2899.69,2.896,96.0,3.02%,0.0,0.0,2.13,0.0
