Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
10.5,1.48,2025-02-16 23:17:18.147,0.0,5.07,5.43,0.73,0.75,118.14999999999996,34216,35880,0.0,0.01,18,0.06,0.05,99,0.06,0.05,94
10.28,1.45,2025-02-16 23:17:18.246,0.099,4.92,5.37,0.72,0.74,121.64,34632,34320,0.0,0.01,17,0.06,0.05,99,0.07,0.06,90
10.28,1.47,2025-02-16 23:17:18.346,0.199,5.0,5.28,0.73,0.74,119.05999999999997,33904,34008,0.0,0.01,11,0.06,0.05,99,0.07,0.06,89
10.46,1.46,2025-02-16 23:17:18.446,0.299,5.22,5.23,0.72,0.74,135.85000000000008,32968,35360,0.01,0.01,53,0.07,0.05,98,0.07,0.06,92
10.62,1.48,2025-02-16 23:17:18.557,0.41,5.34,5.28,0.73,0.75,153.00000000000017,32344,36400,0.02,0.02,87,0.07,0.05,94,0.09,0.07,92
10.34,1.47,2025-02-16 23:17:18.647,0.5,5.0,5.34,0.72,0.75,120.83000000000006,32344,36504,0.0,0.0,42,0.06,0.04,99,0.07,0.05,98
10.26,1.46,2025-02-16 23:17:18.747,0.6,4.98,5.27,0.72,0.75,119.24999999999994,32656,36296,0.0,0.0,71,0.07,0.04,99,0.07,0.05,98
10.18,1.45,2025-02-16 23:17:18.847,0.7,4.93,5.25,0.71,0.74,118.91999999999997,32344,36296,0.0,0.0,14,0.06,0.04,99,0.07,0.04,95
10.2,1.45,2025-02-16 23:17:18.946,0.799,4.93,5.27,0.71,0.74,126.31000000000002,33072,37024,0.0,0.0,41,0.07,0.05,99,0.07,0.05,96
9.66,1.39,2025-02-16 23:17:19.045,0.898,4.93,4.73,0.71,0.68,20.580000000000002,32968,36816,0.0,0.0,48,0.01,0.0,87,0.01,0.01,77
9.76,1.4,2025-02-16 23:17:19.146,0.999,5.0,4.77,0.71,0.68,21.609999999999967,33280,36816,0.0,0.0,71,0.0,0.0,56,0.0,0.0,64
9.77,1.4,2025-02-16 23:17:19.246,1.099,4.99,4.78,0.72,0.69,17.56,33280,36816,0.0,0.0,71,0.0,0.0,53,0.0,0.0,60
9.68,1.39,2025-02-16 23:17:19.346,1.199,4.97,4.71,0.71,0.68,17.559999999999995,33280,36816,0.0,0.0,59,0.0,0.0,49,0.0,0.0,53
