time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 03:51:02.177541
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:04.442428
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:06.446342
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:08.452803
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:10.458878
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:12.464695
",pgbench-10,0.01,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:14.469862
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:16.475874
",pgbench-10,0.01,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:18.481097
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:20.486514
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:22.493710
",breadthFirstSearch,103.65,0.029189453125,96.0,0.03%,0.0,0.0,0.638671875,0.0
"2025-02-17 03:51:22.493710
",pgbench-10,5011.91,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:24.507513
",breadthFirstSearch,127.91,0.03939453125,96.0,0.04%,0.0,0.0,1.64,0.0
"2025-02-17 03:51:24.507513
",pgbench-10,4994.02,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:26.517651
",breadthFirstSearch,126.45,0.051708984375,96.0,0.05%,0.0,0.0,2.62,0.0
"2025-02-17 03:51:26.517651
",pgbench-10,5008.72,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:28.524768
",breadthFirstSearch,127.31,0.06212890625,96.0,0.06%,0.0,0.0,3.59,0.0
"2025-02-17 03:51:28.524768
",pgbench-10,4946.54,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:30.532278
",breadthFirstSearch,128.79,0.0739453125,96.0,0.08%,0.0,0.0,4.58,0.0
"2025-02-17 03:51:30.532278
",pgbench-10,4985.71,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:32.539750
",breadthFirstSearch,103.76,0.083544921875,96.0,0.09%,0.0,0.0,5.45,0.0
"2025-02-17 03:51:32.539750
",pgbench-10,5009.45,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:34.551096
",breadthFirstSearch,126.93,0.095869140625,96.0,0.10%,0.0,0.0,6.44,0.0
"2025-02-17 03:51:34.551096
",pgbench-10,4983.85,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:51:36.561694
",breadthFirstSearch,128.23,0.10595703125,96.0,0.11%,0.0,0.0,7.43,0.0
