Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.21,1.38,2025-02-17 03:51:03.542,0.0,4.71,4.5,0.7,0.69,13.160000000000007,34632,34840,0.0,0.0,60,0.0,0.0,54,0.0,0.0,57
8.9,1.34,2025-02-17 03:51:03.641,0.099,4.53,4.37,0.67,0.67,17.58,34840,34736,0.0,0.0,65,0.0,0.0,47,0.0,0.0,59
9.07,1.37,2025-02-17 03:51:03.741,0.199,4.66,4.42,0.69,0.68,17.689999999999994,34632,34840,0.0,0.0,66,0.0,0.0,49,0.0,0.0,58
9.01,1.36,2025-02-17 03:51:03.842,0.3,4.58,4.43,0.68,0.68,28.01999999999998,34736,34736,0.01,0.01,17,0.01,0.0,86,0.01,0.01,42
9.05,1.37,2025-02-17 03:51:03.942,0.4,4.63,4.42,0.68,0.68,16.289999999999992,34840,34736,0.0,0.0,70,0.0,0.0,49,0.0,0.0,63
9.16,1.36,2025-02-17 03:51:04.042,0.5,4.61,4.56,0.68,0.68,27.01,34840,34944,0.0,0.0,41,0.0,0.0,73,0.01,0.0,59
9.05,1.35,2025-02-17 03:51:04.143,0.601,4.64,4.41,0.68,0.68,15.780000000000005,34736,34840,0.0,0.0,57,0.0,0.0,47,0.0,0.0,52
9.02,1.36,2025-02-17 03:51:04.243,0.701,4.61,4.41,0.68,0.68,17.279999999999998,34528,34840,0.0,0.0,62,0.0,0.0,47,0.0,0.0,54
9.05,1.36,2025-02-17 03:51:04.343,0.801,4.62,4.43,0.68,0.68,24.58999999999999,34424,34320,0.0,0.0,17,0.0,0.0,93,0.01,0.0,54
8.99,1.35,2025-02-17 03:51:04.443,0.901,4.61,4.38,0.68,0.67,17.679999999999996,33904,33904,0.0,0.0,28,0.0,0.0,79,0.01,0.0,48
9.35,1.38,2025-02-17 03:51:04.544,1.002,4.63,4.72,0.69,0.69,44.05999999999998,33696,36192,0.01,0.01,2,0.01,0.0,94,0.02,0.02,35
9.02,1.36,2025-02-17 03:51:04.644,1.102,4.61,4.41,0.68,0.68,16.63000000000001,33800,36296,0.0,0.0,56,0.0,0.0,54,0.0,0.0,55
8.98,1.36,2025-02-17 03:51:04.744,1.202,4.61,4.37,0.69,0.67,16.859999999999996,33696,36296,0.0,0.0,66,0.0,0.0,28,0.0,0.0,48
9.0,1.36,2025-02-17 03:51:04.845,1.303,4.57,4.42,0.68,0.68,22.889999999999958,33696,36504,0.0,0.0,47,0.0,0.0,66,0.01,0.0,54
8.99,1.36,2025-02-17 03:51:04.944,1.402,4.62,4.37,0.69,0.67,16.779999999999998,33800,36400,0.0,0.0,71,0.0,0.0,51,0.0,0.0,63
9.06,1.36,2025-02-17 03:51:05.043,1.501,4.56,4.49,0.68,0.67,27.400000000000002,33696,36608,0.0,0.0,43,0.0,0.0,70,0.01,0.0,61
8.94,1.36,2025-02-17 03:51:05.143,1.601,4.57,4.37,0.68,0.68,17.0,33696,36608,0.0,0.0,57,0.0,0.0,50,0.0,0.0,53
8.99,1.36,2025-02-17 03:51:05.243,1.701,4.62,4.37,0.69,0.67,15.949999999999998,33800,36504,0.0,0.0,58,0.0,0.0,52,0.0,0.0,55
9.0,1.36,2025-02-17 03:51:05.343,1.801,4.57,4.43,0.68,0.68,17.159999999999993,33696,36296,0.0,0.0,51,0.0,0.0,54,0.0,0.0,52
9.02,1.37,2025-02-17 03:51:05.444,1.902,4.62,4.4,0.69,0.68,15.7,33696,36296,0.0,0.0,54,0.0,0.0,49,0.0,0.0,51
9.02,1.36,2025-02-17 03:51:05.544,2.002,4.61,4.41,0.68,0.68,22.550000000000004,34008,36400,0.0,0.0,52,0.0,0.0,58,0.0,0.0,54
9.11,1.37,2025-02-17 03:51:05.644,2.102,4.64,4.47,0.68,0.69,18.620000000000008,34216,36400,0.0,0.0,67,0.0,0.0,57,0.0,0.0,62
8.99,1.36,2025-02-17 03:51:05.744,2.202,4.61,4.38,0.68,0.67,15.680000000000001,34112,36296,0.0,0.0,55,0.0,0.0,51,0.0,0.0,53
9.06,1.37,2025-02-17 03:51:05.845,2.303,4.63,4.44,0.69,0.68,24.829999999999973,33904,36192,0.0,0.0,45,0.0,0.0,61,0.01,0.0,52
9.03,1.37,2025-02-17 03:51:05.945,2.403,4.61,4.42,0.69,0.68,16.35,33800,36088,0.0,0.0,60,0.0,0.0,49,0.0,0.0,55
9.07,1.37,2025-02-17 03:51:06.045,2.503,4.61,4.45,0.69,0.68,29.860000000000017,33696,35776,0.0,0.0,46,0.0,0.0,62,0.01,0.0,57
9.03,1.37,2025-02-17 03:51:06.146,2.604,4.62,4.41,0.69,0.68,16.120000000000005,33800,35776,0.0,0.0,54,0.0,0.0,48,0.0,0.0,51
9.03,1.37,2025-02-17 03:51:06.246,2.704,4.6,4.42,0.69,0.68,18.829999999999995,33800,35776,0.0,0.0,54,0.0,0.0,51,0.0,0.0,52
8.95,1.36,2025-02-17 03:51:06.345,2.803,4.57,4.38,0.68,0.67,23.22999999999999,32656,35672,0.0,0.0,43,0.0,0.0,71,0.0,0.0,58
8.95,1.36,2025-02-17 03:51:06.445,2.903,4.57,4.38,0.68,0.67,19.509999999999987,32656,35880,0.0,0.0,58,0.0,0.0,65,0.01,0.0,61
9.25,1.38,2025-02-17 03:51:06.545,3.003,4.64,4.62,0.7,0.68,50.1,32136,34112,0.01,0.01,21,0.01,0.0,88,0.02,0.01,53
9.03,1.37,2025-02-17 03:51:06.645,3.103,4.61,4.42,0.69,0.68,18.92999999999999,32032,34008,0.0,0.0,66,0.0,0.0,54,0.0,0.0,61
9.04,1.37,2025-02-17 03:51:06.746,3.204,4.6,4.43,0.69,0.68,16.16,32136,34008,0.0,0.0,60,0.0,0.0,38,0.01,0.0,49
9.04,1.37,2025-02-17 03:51:06.846,3.304,4.62,4.42,0.69,0.68,31.439999999999987,31720,34112,0.0,0.0,39,0.0,0.0,73,0.01,0.0,52
9.06,1.36,2025-02-17 03:51:06.946,3.404,4.63,4.43,0.68,0.68,18.610000000000007,32032,34112,0.0,0.0,52,0.0,0.0,59,0.0,0.0,55
