time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 04:21:29.339250
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:31.085927
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:33.089961
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:35.095955
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:37.103988
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:39.107928
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:41.114050
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:43.119330
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:45.125531
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:47.129699
",pgbench-10,0.58,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:49.136846
",pgbench-10,4307.73,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:49.136846
",convexHull,4856.71,14.16,96.0,14.75%,0.0,0.0,0.000308990478515625,0.0
"2025-02-17 04:21:51.154088
",convexHull,2742.64,34.54,96.0,35.98%,0.0,0.0,0.2373046875,0.0
"2025-02-17 04:21:51.154088
",pgbench-10,4696.09,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:53.168439
",convexHull,41.66,34.55,96.0,35.99%,0.0,0.0,1.24,0.0
"2025-02-17 04:21:53.168439
",pgbench-10,5013.91,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:55.178810
",convexHull,42.11,34.55,96.0,35.99%,0.0,0.0,2.19,0.0
"2025-02-17 04:21:55.178810
",pgbench-10,5011.32,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:57.188909
",convexHull,29.35,34.55,96.0,35.99%,0.0,0.0,2.85,0.0
"2025-02-17 04:21:57.188909
",pgbench-10,4988.92,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:21:59.199852
",convexHull,29.68,34.55,96.0,35.99%,0.0,0.0,3.51,0.0
"2025-02-17 04:21:59.199852
",pgbench-10,5019.33,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:01.213562
",convexHull,30.10,34.55,96.0,35.99%,0.0,0.0,4.19,0.0
"2025-02-17 04:22:01.213562
",pgbench-10,4955.11,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:03.221856
",convexHull,42.64,34.55,96.0,35.99%,0.0,0.0,5.08,0.0
"2025-02-17 04:22:03.221856
",pgbench-10,4979.96,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:05.229528
",convexHull,47.12,34.56,96.0,36.00%,0.0,0.0,6.14,0.0
"2025-02-17 04:22:05.229528
",pgbench-10,4996.00,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:07.237352
",convexHull,29.38,34.56,96.0,36.00%,0.0,0.0,6.91,0.0
"2025-02-17 04:22:07.237352
",pgbench-10,4991.59,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:09.246435
",convexHull,29.52,34.56,96.0,36.00%,0.0,0.0,7.57,0.0
"2025-02-17 04:22:09.246435
",pgbench-10,4995.07,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:11.256805
",convexHull,29.62,34.56,96.0,36.00%,0.0,0.0,8.24,0.0
"2025-02-17 04:22:11.256805
",pgbench-10,5008.20,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:13.267237
",convexHull,42.57,34.56,96.0,36.00%,0.0,0.0,9.06,0.0
"2025-02-17 04:22:13.267237
",pgbench-10,5002.24,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:15.277044
",convexHull,46.42,34.57,96.0,36.01%,0.0,0.0,10.1,0.0
"2025-02-17 04:22:15.277044
",pgbench-10,4969.41,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:17.286600
",convexHull,33.67,34.57,96.0,36.01%,0.0,0.0,11.0,0.0
"2025-02-17 04:22:17.286600
",pgbench-10,5000.75,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:19.297001
",convexHull,30.39,34.57,96.0,36.01%,0.0,0.0,11.7,0.0
"2025-02-17 04:22:19.297001
",pgbench-10,4999.35,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:21.307155
",convexHull,29.56,34.57,96.0,36.01%,0.0,0.0,12.4,0.0
"2025-02-17 04:22:21.307155
",pgbench-10,4998.45,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:23.316246
",convexHull,37.12,34.57,96.0,36.01%,0.0,0.0,13.1,0.0
"2025-02-17 04:22:23.316246
",pgbench-10,5004.66,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:25.323024
",convexHull,46.59,34.57,96.0,36.02%,0.0,0.0,14.2,0.0
"2025-02-17 04:22:25.323024
",pgbench-10,4955.57,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:27.331386
",convexHull,39.11,34.58,96.0,36.02%,0.0,0.0,15.1,0.0
"2025-02-17 04:22:27.331386
",pgbench-10,4956.58,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:29.340981
",convexHull,29.83,34.58,96.0,36.02%,0.0,0.0,15.8,0.0
"2025-02-17 04:22:29.340981
",pgbench-10,4981.22,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:31.351135
",convexHull,30.12,34.58,96.0,36.02%,0.0,0.0,16.5,0.0
"2025-02-17 04:22:31.351135
",pgbench-10,5003.20,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:33.364306
",convexHull,30.02,34.58,96.0,36.02%,0.0,0.0,17.2,0.0
"2025-02-17 04:22:33.364306
",pgbench-10,5003.65,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:22:35.373703
",convexHull,46.73,34.58,96.0,36.02%,0.0,0.0,18.2,0.0
