Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.38,1.4,2025-02-17 04:21:30.708,0.0,4.8,4.58,0.71,0.69,13.42,35880,35776,0.0,0.0,47,0.0,0.0,63,0.0,0.0,53
9.44,1.41,2025-02-17 04:21:30.808,0.1,4.86,4.58,0.72,0.69,15.839999999999996,35672,35776,0.0,0.0,76,0.0,0.0,37,0.0,0.0,58
9.37,1.39,2025-02-17 04:21:30.909,0.201,4.82,4.55,0.71,0.68,18.72999999999998,35672,35672,0.0,0.0,61,0.0,0.0,52,0.0,0.0,58
9.42,1.39,2025-02-17 04:21:31.009,0.301,4.83,4.58,0.71,0.69,46.23999999999999,35568,35048,0.0,0.01,20,0.02,0.0,88,0.02,0.01,58
9.49,1.4,2025-02-17 04:21:31.109,0.401,4.81,4.68,0.71,0.68,47.11000000000001,35776,30888,0.01,0.01,7,0.01,0.0,95,0.02,0.02,40
9.36,1.4,2025-02-17 04:21:31.209,0.501,4.8,4.56,0.71,0.68,27.49000000000002,35776,30992,0.0,0.0,43,0.0,0.0,74,0.01,0.0,63
9.36,1.4,2025-02-17 04:21:31.310,0.602,4.81,4.56,0.71,0.69,16.65,35776,30992,0.0,0.0,74,0.0,0.0,43,0.0,0.0,61
9.33,1.38,2025-02-17 04:21:31.410,0.702,4.81,4.53,0.71,0.67,17.84999999999999,35464,30784,0.0,0.0,79,0.0,0.0,26,0.01,0.0,53
9.38,1.39,2025-02-17 04:21:31.510,0.802,4.8,4.58,0.71,0.68,23.529999999999966,35256,31304,0.0,0.0,38,0.0,0.0,69,0.01,0.01,51
9.42,1.39,2025-02-17 04:21:31.611,0.903,4.81,4.61,0.71,0.68,18.629999999999978,35256,31304,0.0,0.0,54,0.0,0.0,57,0.0,0.0,55
9.26,1.37,2025-02-17 04:21:31.710,1.002,4.75,4.51,0.7,0.67,16.24,35256,31304,0.0,0.0,52,0.0,0.0,54,0.0,0.0,53
9.29,1.37,2025-02-17 04:21:31.809,1.101,4.76,4.53,0.7,0.67,17.719999999999995,35464,31304,0.0,0.0,63,0.0,0.0,51,0.0,0.0,57
9.28,1.37,2025-02-17 04:21:31.909,1.201,4.76,4.52,0.69,0.67,16.909999999999997,35360,31096,0.0,0.0,61,0.0,0.0,49,0.0,0.0,56
9.3,1.38,2025-02-17 04:21:32.009,1.301,4.76,4.54,0.7,0.68,17.360000000000003,35464,31096,0.0,0.0,62,0.0,0.0,52,0.0,0.0,57
9.35,1.39,2025-02-17 04:21:32.109,1.401,4.8,4.56,0.71,0.68,16.800000000000004,35464,31096,0.0,0.0,53,0.0,0.0,54,0.0,0.0,54
9.46,1.39,2025-02-17 04:21:32.209,1.501,4.8,4.65,0.71,0.68,27.23,35464,30888,0.0,0.0,45,0.0,0.0,63,0.01,0.0,55
9.31,1.38,2025-02-17 04:21:32.310,1.602,4.83,4.48,0.7,0.68,17.269999999999996,35464,30888,0.0,0.0,70,0.0,0.0,49,0.0,0.0,62
9.34,1.38,2025-02-17 04:21:32.410,1.702,4.79,4.55,0.7,0.68,16.330000000000002,35360,30888,0.0,0.0,67,0.0,0.0,50,0.0,0.0,59
9.37,1.38,2025-02-17 04:21:32.510,1.802,4.81,4.55,0.7,0.68,30.039999999999974,35152,31304,0.0,0.0,31,0.01,0.0,82,0.01,0.0,53
9.3,1.38,2025-02-17 04:21:32.611,1.903,4.82,4.48,0.7,0.68,16.779999999999998,35152,31200,0.0,0.0,59,0.0,0.0,52,0.0,0.0,55
9.32,1.38,2025-02-17 04:21:32.711,2.003,4.79,4.53,0.7,0.68,17.580000000000002,34944,31200,0.0,0.0,54,0.0,0.0,51,0.0,0.0,52
9.33,1.38,2025-02-17 04:21:32.811,2.103,4.8,4.54,0.7,0.68,16.26,35048,31200,0.0,0.0,57,0.0,0.0,53,0.0,0.0,55
9.34,1.39,2025-02-17 04:21:32.911,2.203,4.82,4.52,0.71,0.68,16.309999999999995,35048,30992,0.0,0.0,53,0.0,0.0,52,0.0,0.0,53
9.3,1.39,2025-02-17 04:21:33.012,2.304,4.8,4.51,0.71,0.68,22.869999999999973,35048,30368,0.0,0.0,27,0.0,0.0,82,0.01,0.0,57
9.34,1.39,2025-02-17 04:21:33.112,2.404,4.81,4.54,0.71,0.68,43.84999999999999,34944,33176,0.01,0.01,13,0.01,0.0,93,0.02,0.01,49
9.38,1.38,2025-02-17 04:21:33.212,2.504,4.81,4.57,0.7,0.68,28.940000000000012,34944,32864,0.0,0.0,46,0.0,0.0,67,0.01,0.0,59
