mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 03:31:37.500377,2025-02-17 03:31:38.398929,0 days 00:00:00.898552
IVF,64,2025-02-17 03:31:38.402029,2025-02-17 03:31:40.045510,0 days 00:00:01.643481
IVF,64,2025-02-17 03:31:40.046403,2025-02-17 03:31:41.286160,0 days 00:00:01.239757
IVF,64,2025-02-17 03:31:41.286209,2025-02-17 03:31:42.741290,0 days 00:00:01.455081
IVF,64,2025-02-17 03:31:42.741343,2025-02-17 03:31:44.107657,0 days 00:00:01.366314
IVF,64,2025-02-17 03:31:44.107755,2025-02-17 03:31:45.241868,0 days 00:00:01.134113
IVF,64,2025-02-17 03:31:45.241918,2025-02-17 03:31:46.421704,0 days 00:00:01.179786
IVF,64,2025-02-17 03:31:46.421754,2025-02-17 03:31:47.656460,0 days 00:00:01.234706
IVF,64,2025-02-17 03:31:47.656511,2025-02-17 03:31:48.831298,0 days 00:00:01.174787
IVF,64,2025-02-17 03:31:48.831351,2025-02-17 03:31:50.098180,0 days 00:00:01.266829
IVF,64,2025-02-17 03:31:50.098229,2025-02-17 03:31:51.175127,0 days 00:00:01.076898
IVF,64,2025-02-17 03:31:51.175206,2025-02-17 03:31:52.277581,0 days 00:00:01.102375
IVF,64,2025-02-17 03:31:52.277628,2025-02-17 03:31:53.344304,0 days 00:00:01.066676
IVF,64,2025-02-17 03:31:53.344363,2025-02-17 03:31:54.618079,0 days 00:00:01.273716
IVF,64,2025-02-17 03:31:54.618128,2025-02-17 03:31:55.697089,0 days 00:00:01.078961
IVF,64,2025-02-17 03:31:55.697141,2025-02-17 03:31:56.833371,0 days 00:00:01.136230
IVF,64,2025-02-17 03:31:56.833423,2025-02-17 03:31:57.879998,0 days 00:00:01.046575
IVF,64,2025-02-17 03:31:57.880057,2025-02-17 03:31:59.025566,0 days 00:00:01.145509
IVF,64,2025-02-17 03:31:59.025628,2025-02-17 03:32:00.185616,0 days 00:00:01.159988
IVF,64,2025-02-17 03:32:00.185670,2025-02-17 03:32:01.304344,0 days 00:00:01.118674
IVF,64,2025-02-17 03:32:01.304400,2025-02-17 03:32:02.340285,0 days 00:00:01.035885
IVF,64,2025-02-17 03:32:02.340339,2025-02-17 03:32:03.420708,0 days 00:00:01.080369
