Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.49,1.4,2025-02-17 03:58:53.628,0.0,4.82,4.68,0.71,0.69,17.250000000000004,34632,34008,0.0,0.0,61,0.0,0.0,56,0.01,0.0,59
9.48,1.39,2025-02-17 03:58:53.728,0.1,4.86,4.62,0.72,0.67,15.629999999999999,34424,34008,0.0,0.0,73,0.0,0.0,39,0.0,0.0,59
9.28,1.39,2025-02-17 03:58:53.828,0.2,4.75,4.53,0.7,0.68,17.829999999999988,34320,34008,0.0,0.0,62,0.0,0.0,47,0.0,0.0,57
9.32,1.38,2025-02-17 03:58:53.927,0.299,4.76,4.56,0.7,0.68,18.699999999999992,34424,34008,0.0,0.0,67,0.0,0.0,49,0.0,0.0,58
9.27,1.37,2025-02-17 03:58:54.026,0.398,4.72,4.55,0.69,0.67,18.809999999999977,34736,34008,0.0,0.0,76,0.0,0.0,47,0.0,0.0,65
9.54,1.38,2025-02-17 03:58:54.126,0.498,4.79,4.75,0.71,0.67,27.459999999999994,34632,33800,0.0,0.0,40,0.01,0.0,69,0.01,0.0,57
9.45,1.39,2025-02-17 03:58:54.226,0.598,4.82,4.63,0.71,0.68,29.679999999999996,35256,33696,0.01,0.0,86,0.0,0.0,32,0.01,0.01,67
9.4,1.39,2025-02-17 03:58:54.327,0.699,4.8,4.6,0.71,0.68,18.049999999999986,35256,33696,0.0,0.0,58,0.0,0.0,53,0.0,0.0,57
9.4,1.39,2025-02-17 03:58:54.427,0.799,4.81,4.59,0.71,0.68,17.440000000000005,34528,33592,0.0,0.0,64,0.0,0.0,45,0.0,0.0,55
9.31,1.38,2025-02-17 03:58:54.527,0.899,4.76,4.54,0.7,0.68,17.929999999999996,34424,33592,0.0,0.0,70,0.0,0.0,48,0.0,0.0,60
9.3,1.38,2025-02-17 03:58:54.626,0.998,4.75,4.56,0.7,0.68,16.999999999999996,34424,33592,0.0,0.0,67,0.0,0.0,46,0.0,0.0,57
9.42,1.39,2025-02-17 03:58:54.726,1.098,4.8,4.62,0.71,0.68,22.419999999999984,34424,34112,0.0,0.0,18,0.01,0.0,86,0.01,0.0,55
9.58,1.4,2025-02-17 03:58:54.827,1.199,4.81,4.78,0.71,0.69,46.449999999999996,35464,34320,0.01,0.02,8,0.01,0.0,93,0.02,0.02,40
9.41,1.39,2025-02-17 03:58:54.927,1.299,4.81,4.6,0.71,0.68,16.43,35672,34112,0.0,0.0,59,0.0,0.0,57,0.0,0.0,59
9.42,1.39,2025-02-17 03:58:55.027,1.399,4.81,4.61,0.71,0.68,16.069999999999997,35568,33904,0.0,0.0,59,0.0,0.0,47,0.0,0.0,53
9.54,1.39,2025-02-17 03:58:55.128,1.5,4.82,4.72,0.71,0.68,31.12999999999998,35256,33800,0.0,0.0,46,0.0,0.0,66,0.01,0.0,58
9.3,1.38,2025-02-17 03:58:55.227,1.599,4.76,4.54,0.71,0.67,26.259999999999984,35152,33904,0.0,0.0,88,0.0,0.0,22,0.01,0.0,62
9.4,1.39,2025-02-17 03:58:55.328,1.7,4.79,4.6,0.71,0.68,15.719999999999999,35152,33904,0.0,0.0,59,0.0,0.0,55,0.0,0.0,57
9.4,1.39,2025-02-17 03:58:55.428,1.8,4.8,4.6,0.71,0.68,17.639999999999997,34216,33904,0.0,0.0,54,0.0,0.0,50,0.0,0.0,52
9.42,1.39,2025-02-17 03:58:55.528,1.9,4.82,4.6,0.71,0.68,18.22999999999998,34320,33800,0.0,0.0,60,0.0,0.0,52,0.0,0.0,56
9.4,1.39,2025-02-17 03:58:55.629,2.001,4.78,4.62,0.71,0.68,16.47,34424,33800,0.0,0.0,58,0.0,0.0,47,0.0,0.0,52
9.41,1.39,2025-02-17 03:58:55.729,2.101,4.82,4.59,0.71,0.68,16.369999999999997,34424,33592,0.0,0.0,61,0.0,0.0,55,0.0,0.0,58
9.29,1.38,2025-02-17 03:58:55.829,2.201,4.74,4.55,0.7,0.68,17.04,34320,33904,0.0,0.0,51,0.0,0.0,53,0.0,0.0,52
9.33,1.38,2025-02-17 03:58:55.928,2.3,4.77,4.56,0.7,0.67,16.940000000000005,34216,33904,0.0,0.0,63,0.0,0.0,50,0.0,0.0,56
9.41,1.39,2025-02-17 03:58:56.028,2.4,4.8,4.6,0.71,0.68,17.929999999999993,34216,33904,0.0,0.0,66,0.0,0.0,50,0.0,0.0,59
9.43,1.39,2025-02-17 03:58:56.129,2.501,4.8,4.63,0.71,0.68,28.89000000000001,34216,33800,0.0,0.0,52,0.0,0.0,56,0.01,0.0,54
9.44,1.39,2025-02-17 03:58:56.229,2.601,4.83,4.61,0.71,0.68,28.930000000000007,34008,33384,0.0,0.0,74,0.0,0.0,43,0.01,0.0,64
9.41,1.39,2025-02-17 03:58:56.330,2.702,4.8,4.61,0.71,0.68,16.030000000000005,34216,33488,0.0,0.0,55,0.0,0.0,60,0.0,0.0,57
9.31,1.39,2025-02-17 03:58:56.429,2.801,4.73,4.58,0.7,0.68,14.740000000000006,34216,33072,0.0,0.0,54,0.0,0.0,47,0.0,0.0,51
9.42,1.4,2025-02-17 03:58:56.530,2.902,4.83,4.6,0.71,0.68,27.19999999999999,33488,33280,0.0,0.0,86,0.0,0.0,34,0.0,0.0,67
9.38,1.4,2025-02-17 03:58:56.630,3.002,4.78,4.6,0.71,0.68,14.310000000000011,33488,33176,0.0,0.0,57,0.0,0.0,47,0.0,0.0,52
9.46,1.4,2025-02-17 03:58:56.730,3.102,4.85,4.61,0.72,0.69,22.919999999999995,33592,33176,0.0,0.0,30,0.0,0.0,75,0.0,0.0,54
9.46,1.4,2025-02-17 03:58:56.831,3.203,4.75,4.71,0.71,0.69,44.60000000000001,33592,33280,0.0,0.01,7,0.01,0.0,91,0.01,0.01,42
9.33,1.38,2025-02-17 03:58:56.930,3.302,4.78,4.55,0.7,0.68,21.289999999999978,33176,33280,0.0,0.0,93,0.0,0.0,31,0.01,0.0,83
9.32,1.39,2025-02-17 03:58:57.030,3.402,4.78,4.54,0.71,0.68,13.730000000000015,33176,33280,0.0,0.0,73,0.0,0.0,47,0.0,0.0,62
9.42,1.4,2025-02-17 03:58:57.130,3.502,4.8,4.62,0.71,0.68,28.110000000000014,33488,33280,0.0,0.0,56,0.0,0.0,64,0.0,0.0,61
9.44,1.4,2025-02-17 03:58:57.230,3.602,4.82,4.62,0.71,0.69,74.30999999999999,32656,34320,0.01,0.01,57,0.01,0.01,48,0.03,0.02,53
9.38,1.39,2025-02-17 03:58:57.331,3.703,4.79,4.59,0.7,0.68,14.820000000000013,32864,34112,0.0,0.0,71,0.0,0.0,51,0.0,0.0,61
9.31,1.38,2025-02-17 03:58:57.430,3.802,4.75,4.56,0.7,0.68,17.17,32656,33904,0.0,0.0,75,0.0,0.0,41,0.0,0.0,63
9.37,1.39,2025-02-17 03:58:57.531,3.903,4.79,4.59,0.71,0.68,14.160000000000013,32448,34008,0.0,0.0,59,0.0,0.0,50,0.0,0.0,55
9.4,1.39,2025-02-17 03:58:57.631,4.003,4.8,4.6,0.71,0.69,18.579999999999984,32760,34008,0.0,0.0,71,0.0,0.0,62,0.0,0.0,66
9.4,1.39,2025-02-17 03:58:57.732,4.104,4.81,4.58,0.71,0.68,13.99000000000001,32656,34008,0.0,0.0,52,0.0,0.0,49,0.0,0.0,51
9.44,1.4,2025-02-17 03:58:57.832,4.204,4.8,4.65,0.71,0.69,17.799999999999994,32344,34008,0.0,0.0,63,0.0,0.0,50,0.0,0.0,57
9.25,1.37,2025-02-17 03:58:57.932,4.304,4.74,4.51,0.7,0.67,14.000000000000014,32552,34112,0.0,0.0,51,0.0,0.0,61,0.0,0.0,54
9.36,1.38,2025-02-17 03:58:58.031,4.403,4.76,4.6,0.7,0.68,15.340000000000016,32240,34112,0.0,0.0,64,0.0,0.0,48,0.0,0.0,57
9.38,1.39,2025-02-17 03:58:58.131,4.503,4.78,4.6,0.7,0.68,27.890000000000008,31928,33696,0.0,0.0,51,0.0,0.0,62,0.0,0.0,59
9.4,1.39,2025-02-17 03:58:58.232,4.604,4.8,4.6,0.71,0.68,22.24999999999997,32552,33592,0.0,0.0,77,0.0,0.0,45,0.0,0.0,64
9.53,1.38,2025-02-17 03:58:58.332,4.704,4.8,4.73,0.7,0.68,22.14999999999999,32448,33592,0.0,0.0,28,0.0,0.0,76,0.0,0.0,60
9.4,1.39,2025-02-17 03:58:58.433,4.805,4.81,4.58,0.7,0.69,14.88000000000001,32552,33592,0.0,0.0,55,0.0,0.0,45,0.0,0.0,50
9.3,1.37,2025-02-17 03:58:58.532,4.904,4.74,4.55,0.7,0.67,17.849999999999998,32344,33904,0.0,0.0,22,0.0,0.0,78,0.0,0.0,47
9.27,1.37,2025-02-17 03:58:58.631,5.003,4.73,4.54,0.69,0.67,14.590000000000014,31720,33904,0.0,0.0,66,0.0,0.0,44,0.0,0.0,55
9.43,1.38,2025-02-17 03:58:58.732,5.104,4.8,4.63,0.7,0.68,21.629999999999985,31616,33488,0.0,0.0,33,0.0,0.0,80,0.0,0.0,59
