time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 03:44:32.906240
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:35.351186
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:37.356007
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:39.362494
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:41.367891
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:43.375989
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:45.383323
",pgbench-10,0.55,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:47.389535
",pgbench-10,0.01,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:49.397928
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:51.404442
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:53.410577
",removeDuplicates,164.25,0.031015625,96.0,0.03%,0.0,0.0,0.783203125,0.0
"2025-02-17 03:44:53.410577
",pgbench-10,5000.44,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:55.420171
",removeDuplicates,159.07,0.042841796875,96.0,0.04%,0.0,0.0,1.74,0.0
"2025-02-17 03:44:55.420171
",pgbench-10,4971.52,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:57.430156
",removeDuplicates,155.40,0.053564453125,96.0,0.06%,0.0,0.0,2.67,0.0
"2025-02-17 03:44:57.430156
",pgbench-10,4959.66,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:44:59.438000
",removeDuplicates,154.91,0.063828125,96.0,0.07%,0.0,0.0,3.59,0.0
"2025-02-17 03:44:59.438000
",pgbench-10,4988.56,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:01.449272
",removeDuplicates,156.08,0.074296875,96.0,0.08%,0.0,0.0,4.52,0.0
"2025-02-17 03:45:01.449272
",pgbench-10,5006.52,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:03.463618
",removeDuplicates,155.74,0.083837890625,96.0,0.09%,0.0,0.0,5.35,0.0
"2025-02-17 03:45:03.463618
",pgbench-10,4974.80,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:05.473179
",removeDuplicates,155.14,0.0936328125,96.0,0.10%,0.0,0.0,6.25,0.0
"2025-02-17 03:45:05.473179
",pgbench-10,4993.43,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:07.485046
",removeDuplicates,156.97,0.1052734375,96.0,0.11%,0.0,0.0,7.16,0.0
"2025-02-17 03:45:07.485046
",pgbench-10,4997.42,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:09.497532
",removeDuplicates,156.77,0.11611328125,96.0,0.12%,0.0,0.0,8.1,0.0
"2025-02-17 03:45:09.497532
",pgbench-10,4989.66,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:11.508688
",removeDuplicates,157.55,0.1267578125,96.0,0.13%,0.0,0.0,9.04,0.0
"2025-02-17 03:45:11.508688
",pgbench-10,4994.29,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:13.520279
",removeDuplicates,162.40,0.138671875,96.0,0.14%,0.0,0.0,9.91,0.0
"2025-02-17 03:45:13.520279
",pgbench-10,4949.30,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:15.529303
",removeDuplicates,160.98,0.14892578125,96.0,0.16%,0.0,0.0,10.9,0.0
"2025-02-17 03:45:15.529303
",pgbench-10,4973.25,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:17.539264
",removeDuplicates,160.75,0.1591796875,96.0,0.17%,0.0,0.0,11.8,0.0
"2025-02-17 03:45:17.539264
",pgbench-10,4985.07,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:19.550322
",removeDuplicates,161.64,0.17080078125,96.0,0.18%,0.0,0.0,12.8,0.0
"2025-02-17 03:45:19.550322
",pgbench-10,5014.32,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:21.562050
",removeDuplicates,154.44,0.18251953125,96.0,0.19%,0.0,0.0,13.8,0.0
"2025-02-17 03:45:21.562050
",pgbench-10,4994.19,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:23.574013
",removeDuplicates,161.76,0.1916015625,96.0,0.20%,0.0,0.0,14.7,0.0
"2025-02-17 03:45:23.574013
",pgbench-10,5011.56,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:25.584375
",removeDuplicates,161.90,0.2033203125,96.0,0.21%,0.0,0.0,15.7,0.0
"2025-02-17 03:45:25.584375
",pgbench-10,4985.27,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:27.594694
",removeDuplicates,161.22,0.21435546875,96.0,0.22%,0.0,0.0,16.6,0.0
"2025-02-17 03:45:27.594694
",pgbench-10,4979.78,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:29.605613
",removeDuplicates,159.04,0.225390625,96.0,0.23%,0.0,0.0,17.6,0.0
"2025-02-17 03:45:29.605613
",pgbench-10,5001.76,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:31.615188
",removeDuplicates,142.51,0.233984375,96.0,0.24%,0.0,0.0,18.4,0.0
"2025-02-17 03:45:31.615188
",pgbench-10,5045.75,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:33.624022
",removeDuplicates,159.81,0.244921875,96.0,0.26%,0.0,0.0,19.3,0.0
"2025-02-17 03:45:33.624022
",pgbench-10,4982.12,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:35.632048
",removeDuplicates,159.95,0.25517578125,96.0,0.27%,0.0,0.0,20.2,0.0
"2025-02-17 03:45:35.632048
",pgbench-10,4967.91,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:37.641563
",removeDuplicates,4843.08,8.653,96.0,9.01%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:37.641563
",pgbench-10,4410.09,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:39.676771
",removeDuplicates,4821.52,20.17,96.0,21.01%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:39.676771
",pgbench-10,4253.61,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:41.691946
",removeDuplicates,3843.95,30.11,96.0,31.37%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:41.691946
",pgbench-10,4565.94,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:43.703056
",removeDuplicates,4788.56,37.55,96.0,39.11%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:43.703056
",pgbench-10,4319.52,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:45.717175
",removeDuplicates,4814.89,43.9,96.0,45.73%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:45.717175
",pgbench-10,4174.94,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:47.735415
",removeDuplicates,4557.26,45.22,96.0,47.10%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:47.735415
",pgbench-10,4257.02,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:49.749086
",removeDuplicates,2278.42,47.97,96.0,49.96%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:49.749086
",pgbench-10,5037.76,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:51.761196
",removeDuplicates,3725.21,54.7,96.0,56.98%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:51.761196
",pgbench-10,4563.85,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:53.776043
",removeDuplicates,33.17,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:53.776043
",pgbench-10,4996.95,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:55.786650
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:55.786650
",pgbench-10,5004.14,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:57.795569
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:57.795569
",pgbench-10,4971.36,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:45:59.806161
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:45:59.806161
",pgbench-10,4986.37,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:01.816354
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:01.816354
",pgbench-10,4970.70,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:03.824172
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:03.824172
",pgbench-10,4958.16,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:05.832775
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:05.832775
",pgbench-10,4970.19,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:07.843213
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:07.843213
",pgbench-10,5029.79,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:09.853053
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:09.853053
",pgbench-10,4986.11,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:11.862276
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:11.862276
",pgbench-10,4982.60,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:13.874324
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:13.874324
",pgbench-10,4967.96,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:15.884009
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:15.884009
",pgbench-10,4964.25,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:17.893716
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:17.893716
",pgbench-10,5033.25,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:19.904744
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:19.904744
",pgbench-10,5001.86,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:21.916799
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:21.916799
",pgbench-10,5009.32,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:23.924161
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:23.924161
",pgbench-10,4996.89,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:25.931354
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:25.931354
",pgbench-10,4964.33,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:27.939028
",removeDuplicates,0.04,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:27.939028
",pgbench-10,4979.58,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:29.951400
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:29.951400
",pgbench-10,4969.20,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:31.962842
",removeDuplicates,0.08,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:31.962842
",pgbench-10,3441.32,15.1,96.0,15.73%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:33.973406
",removeDuplicates,0.08,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:33.973406
",pgbench-10,0.00,15.1,96.0,15.73%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:35.985109
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:35.985109
",pgbench-10,0.00,15.1,96.0,15.73%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:37.998279
",removeDuplicates,0.08,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:37.998279
",pgbench-10,0.00,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:40.009336
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:40.009336
",pgbench-10,0.00,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:42.021385
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:42.021385
",pgbench-10,0.00,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:44.028718
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:44.028718
",pgbench-10,0.00,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:46.039778
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:46.039778
",pgbench-10,0.54,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:48.050458
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:48.050458
",pgbench-10,0.00,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:50.059400
",removeDuplicates,0.07,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:50.059400
",pgbench-10,0.00,15.1,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:52.069839
",removeDuplicates,2830.00,47.65,96.0,49.64%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:52.069839
",pgbench-10,994.94,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:54.084229
",removeDuplicates,4833.82,49.91,96.0,51.99%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:54.084229
",pgbench-10,998.25,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:56.097731
",removeDuplicates,4818.46,54.65,96.0,56.93%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:56.097731
",pgbench-10,1005.03,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:46:58.106270
",removeDuplicates,3346.81,47.34,96.0,49.32%,0.0,0.0,20.5,0.0
"2025-02-17 03:46:58.106270
",pgbench-10,1000.06,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:00.121725
",removeDuplicates,4833.29,49.98,96.0,52.07%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:00.121725
",pgbench-10,1002.73,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:02.134869
",removeDuplicates,3961.06,53.1,96.0,55.31%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:02.134869
",pgbench-10,1005.64,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:04.146206
",removeDuplicates,4417.72,48.24,96.0,50.25%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:04.146206
",pgbench-10,1002.26,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:06.162682
",removeDuplicates,4685.09,49.98,96.0,52.07%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:06.162682
",pgbench-10,1003.59,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:08.173812
",removeDuplicates,2640.48,50.83,96.0,52.95%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:08.173812
",pgbench-10,1004.44,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:10.184875
",removeDuplicates,4817.77,47.54,96.0,49.52%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:10.184875
",pgbench-10,1009.42,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:12.199950
",removeDuplicates,4533.89,49.99,96.0,52.07%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:12.199950
",pgbench-10,1011.99,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:14.210419
",removeDuplicates,1596.99,49.08,96.0,51.13%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:14.210419
",pgbench-10,994.83,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:16.221925
",removeDuplicates,4833.50,47.67,96.0,49.66%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:16.221925
",pgbench-10,1003.54,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:18.239679
",removeDuplicates,4656.97,49.99,96.0,52.07%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:18.239679
",pgbench-10,1008.96,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:20.250496
",removeDuplicates,100.60,46.66,96.0,48.61%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:20.250496
",pgbench-10,1000.17,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:22.259902
",removeDuplicates,4840.18,48.88,96.0,50.92%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:22.259902
",pgbench-10,997.18,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:24.276836
",removeDuplicates,4711.20,49.99,96.0,52.07%,0.0,0.0,20.5,0.0
"2025-02-17 03:47:24.276836
",pgbench-10,998.84,15.11,96.0,15.74%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:47:26.286496
",removeDuplicates,100.28,45.56,96.0,47.46%,0.0,0.0,20.5,0.0
