Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.42,1.39,2025-02-17 03:44:34.273,0.0,4.8,4.63,0.7,0.7,12.449999999999992,36504,34320,0.0,0.0,60,0.0,0.0,53,0.0,0.0,57
9.19,1.38,2025-02-17 03:44:34.373,0.1,4.77,4.42,0.7,0.67,16.970000000000002,35984,33904,0.0,0.0,79,0.0,0.0,35,0.0,0.0,60
9.07,1.36,2025-02-17 03:44:34.472,0.199,4.65,4.41,0.69,0.68,17.72,35984,33904,0.0,0.0,67,0.0,0.0,53,0.0,0.0,61
9.27,1.37,2025-02-17 03:44:34.572,0.299,4.78,4.5,0.7,0.67,17.919999999999995,35984,33904,0.0,0.0,57,0.0,0.0,47,0.0,0.0,52
9.16,1.36,2025-02-17 03:44:34.671,0.398,4.73,4.43,0.69,0.67,17.75999999999999,35880,34008,0.0,0.0,49,0.0,0.0,52,0.0,0.0,50
9.46,1.38,2025-02-17 03:44:34.771,0.498,4.74,4.72,0.7,0.69,45.980000000000025,35360,34528,0.01,0.01,48,0.01,0.0,70,0.02,0.01,59
9.21,1.37,2025-02-17 03:44:34.872,0.599,4.78,4.43,0.7,0.67,16.570000000000004,35048,34528,0.0,0.0,72,0.0,0.0,39,0.0,0.0,58
9.33,1.38,2025-02-17 03:44:34.972,0.699,4.78,4.55,0.7,0.68,17.089999999999996,34944,34528,0.0,0.0,61,0.0,0.0,52,0.0,0.0,56
9.3,1.38,2025-02-17 03:44:35.072,0.799,4.77,4.54,0.7,0.68,17.139999999999997,34736,34632,0.0,0.0,55,0.0,0.0,51,0.0,0.0,53
9.35,1.38,2025-02-17 03:44:35.172,0.899,4.8,4.55,0.7,0.68,17.290000000000003,34840,34632,0.0,0.0,57,0.0,0.0,54,0.0,0.0,56
9.34,1.39,2025-02-17 03:44:35.273,1.0,4.77,4.57,0.71,0.68,22.959999999999987,35048,33800,0.0,0.0,21,0.01,0.0,86,0.01,0.0,55
9.53,1.4,2025-02-17 03:44:35.373,1.1,4.78,4.74,0.71,0.69,45.799999999999976,35256,34216,0.01,0.01,9,0.01,0.0,93,0.02,0.02,41
9.3,1.39,2025-02-17 03:44:35.473,1.2,4.78,4.51,0.7,0.68,15.719999999999986,34736,34112,0.0,0.0,64,0.0,0.0,50,0.0,0.0,57
9.25,1.38,2025-02-17 03:44:35.574,1.301,4.78,4.47,0.7,0.68,15.910000000000009,34736,34216,0.0,0.0,59,0.0,0.0,47,0.0,0.0,52
9.23,1.38,2025-02-17 03:44:35.674,1.401,4.74,4.49,0.7,0.68,15.190000000000012,35048,34112,0.0,0.0,59,0.0,0.0,57,0.0,0.0,58
9.34,1.39,2025-02-17 03:44:35.774,1.501,4.77,4.57,0.71,0.68,32.54000000000001,34528,33696,0.0,0.0,45,0.01,0.0,70,0.01,0.01,59
9.2,1.38,2025-02-17 03:44:35.875,1.602,4.77,4.43,0.7,0.68,14.340000000000018,34736,33592,0.0,0.0,67,0.0,0.0,49,0.0,0.0,58
9.16,1.37,2025-02-17 03:44:35.974,1.701,4.73,4.43,0.69,0.67,14.530000000000008,34528,33800,0.0,0.0,58,0.0,0.0,52,0.0,0.0,55
9.18,1.36,2025-02-17 03:44:36.073,1.8,4.73,4.45,0.69,0.67,15.900000000000015,34528,33904,0.0,0.0,55,0.0,0.0,59,0.0,0.0,57
9.15,1.36,2025-02-17 03:44:36.173,1.9,4.73,4.43,0.69,0.67,14.780000000000014,34528,34008,0.0,0.0,55,0.0,0.0,59,0.0,0.0,56
9.23,1.38,2025-02-17 03:44:36.273,2.0,4.75,4.48,0.7,0.68,14.540000000000013,34528,33904,0.0,0.0,57,0.0,0.0,50,0.0,0.0,53
9.23,1.37,2025-02-17 03:44:36.373,2.1,4.76,4.47,0.69,0.68,15.28000000000001,34736,33904,0.0,0.0,60,0.0,0.0,45,0.0,0.0,53
9.2,1.38,2025-02-17 03:44:36.473,2.2,4.76,4.44,0.7,0.68,21.519999999999964,34320,33800,0.0,0.0,83,0.0,0.0,40,0.0,0.0,66
9.22,1.38,2025-02-17 03:44:36.574,2.301,4.77,4.45,0.7,0.68,13.84000000000002,34112,33800,0.0,0.0,52,0.0,0.0,52,0.0,0.0,52
9.26,1.38,2025-02-17 03:44:36.674,2.401,4.77,4.49,0.7,0.68,13.970000000000018,34216,33384,0.0,0.0,59,0.0,0.0,53,0.0,0.0,57
9.3,1.38,2025-02-17 03:44:36.774,2.501,4.77,4.53,0.7,0.68,33.33000000000002,34008,32864,0.0,0.0,52,0.0,0.0,59,0.01,0.0,56
9.19,1.37,2025-02-17 03:44:36.875,2.602,4.78,4.42,0.69,0.68,13.870000000000015,34112,32864,0.0,0.0,65,0.0,0.0,48,0.0,0.0,56
9.2,1.37,2025-02-17 03:44:36.975,2.702,4.74,4.46,0.69,0.68,13.790000000000015,33800,33176,0.0,0.0,61,0.0,0.0,50,0.0,0.0,56
9.21,1.37,2025-02-17 03:44:37.075,2.802,4.77,4.44,0.7,0.67,15.860000000000017,34008,33176,0.0,0.0,45,0.0,0.0,61,0.0,0.0,50
9.32,1.4,2025-02-17 03:44:37.176,2.903,4.81,4.51,0.71,0.69,14.450000000000014,33592,33176,0.0,0.0,55,0.0,0.0,60,0.0,0.0,57
9.07,1.36,2025-02-17 03:44:37.275,3.002,4.63,4.44,0.69,0.67,20.77999999999999,33904,32968,0.0,0.0,36,0.0,0.0,68,0.0,0.0,53
9.28,1.37,2025-02-17 03:44:37.374,3.101,4.74,4.55,0.7,0.67,44.120000000000005,34008,33592,0.0,0.01,6,0.01,0.0,93,0.01,0.01,48
9.14,1.36,2025-02-17 03:44:37.474,3.201,4.71,4.44,0.69,0.67,15.190000000000001,34008,33592,0.0,0.0,57,0.0,0.0,49,0.0,0.0,53
9.22,1.37,2025-02-17 03:44:37.574,3.301,4.77,4.46,0.69,0.68,14.60000000000001,33488,33592,0.0,0.0,53,0.0,0.0,50,0.0,0.0,51
9.16,1.38,2025-02-17 03:44:37.674,3.401,4.72,4.44,0.7,0.68,18.749999999999982,33592,33696,0.0,0.0,60,0.0,0.0,64,0.0,0.0,62
9.24,1.38,2025-02-17 03:44:37.775,3.502,4.76,4.48,0.7,0.68,34.76999999999999,33488,33176,0.0,0.0,40,0.0,0.0,71,0.01,0.0,57
9.24,1.37,2025-02-17 03:44:37.875,3.602,4.77,4.47,0.69,0.68,14.41000000000001,33280,33176,0.0,0.0,61,0.0,0.0,49,0.0,0.0,55
9.22,1.37,2025-02-17 03:44:37.975,3.702,4.77,4.45,0.69,0.68,16.45000000000001,33176,33072,0.0,0.0,91,0.0,0.0,23,0.0,0.0,61
9.22,1.37,2025-02-17 03:44:38.076,3.803,4.75,4.46,0.69,0.68,14.290000000000012,33384,33072,0.0,0.0,50,0.0,0.0,46,0.0,0.0,48
9.13,1.37,2025-02-17 03:44:38.176,3.903,4.71,4.42,0.69,0.68,17.190000000000005,33176,33280,0.0,0.0,66,0.0,0.0,55,0.0,0.0,60
9.21,1.37,2025-02-17 03:44:38.276,4.003,4.76,4.45,0.69,0.68,14.580000000000013,33384,33384,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
9.21,1.37,2025-02-17 03:44:38.377,4.104,4.72,4.48,0.69,0.68,16.660000000000018,33384,33176,0.0,0.0,68,0.0,0.0,53,0.0,0.0,59
9.08,1.35,2025-02-17 03:44:38.476,4.203,4.7,4.38,0.68,0.67,14.960000000000012,33592,33176,0.0,0.0,60,0.0,0.0,47,0.0,0.0,53
9.18,1.36,2025-02-17 03:44:38.576,4.303,4.75,4.43,0.69,0.68,14.190000000000015,33488,33176,0.0,0.0,56,0.0,0.0,50,0.0,0.0,53
9.24,1.37,2025-02-17 03:44:38.677,4.404,4.78,4.47,0.69,0.68,14.270000000000014,33592,33176,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
9.27,1.37,2025-02-17 03:44:38.777,4.504,4.78,4.49,0.69,0.68,45.48,33592,33072,0.01,0.0,59,0.01,0.0,54,0.01,0.01,57
9.21,1.37,2025-02-17 03:44:38.877,4.604,4.77,4.44,0.69,0.68,14.480000000000011,33592,33176,0.0,0.0,51,0.0,0.0,50,0.0,0.0,50
9.51,1.38,2025-02-17 03:44:38.977,4.704,4.74,4.77,0.7,0.68,24.140000000000004,33488,33384,0.0,0.0,33,0.0,0.0,75,0.0,0.0,60
9.21,1.37,2025-02-17 03:44:39.078,4.805,4.75,4.45,0.69,0.68,13.370000000000019,33592,33488,0.0,0.0,48,0.0,0.0,47,0.0,0.0,47
9.14,1.37,2025-02-17 03:44:39.178,4.905,4.71,4.43,0.69,0.68,17.30000000000001,33488,33592,0.0,0.0,63,0.0,0.0,55,0.0,0.0,59
