time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 03:37:14.762328
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:16.766694
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:18.773462
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:20.779436
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:22.786310
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:24.790911
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:26.796957
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:28.803049
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:30.808396
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:32.814197
",pgbench-10,0.00,15.09,96.0,15.72%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:34.819739
",pgbench-10,4966.11,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:34.819739
",spark,172.82,0.1291015625,96.0,0.13%,0.0,0.0,0.050390625,3.1280517578125e-05
"2025-02-17 03:37:36.829013
",spark,135.40,0.29453125,96.0,0.31%,0.0,0.0,0.07490234375,3.1280517578125e-05
"2025-02-17 03:37:36.829013
",pgbench-10,4952.09,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:38.836355
",spark,278.92,0.4416015625,96.0,0.46%,0.0,0.0,0.09033203125,3.1280517578125e-05
"2025-02-17 03:37:38.836355
",pgbench-10,5017.74,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:40.848444
",spark,346.08,0.63828125,96.0,0.66%,0.0,0.0,0.10546875,3.1280517578125e-05
"2025-02-17 03:37:40.848444
",pgbench-10,4974.58,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:42.858857
",spark,164.34,0.75556640625,96.0,0.79%,0.0,0.0,0.1142578125,3.1280517578125e-05
"2025-02-17 03:37:42.858857
",pgbench-10,5016.25,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:44.868373
",spark,297.42,0.9833984375,96.0,1.02%,0.0,0.0,0.119140625,3.1280517578125e-05
"2025-02-17 03:37:44.868373
",pgbench-10,5011.26,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:46.880919
",spark,459.39,1.101,96.0,1.15%,0.0,0.0,0.123046875,3.1280517578125e-05
"2025-02-17 03:37:46.880919
",pgbench-10,5025.54,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:48.892151
",spark,842.42,2.397,96.0,2.50%,0.0,0.0,0.783203125,3.1280517578125e-05
"2025-02-17 03:37:48.892151
",pgbench-10,4970.73,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:50.900184
",spark,943.52,2.499,96.0,2.60%,0.0,0.0,1.56,3.1280517578125e-05
"2025-02-17 03:37:50.900184
",pgbench-10,4980.18,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:52.911818
",spark,846.97,2.531,96.0,2.64%,0.0,0.0,2.35,3.1280517578125e-05
"2025-02-17 03:37:52.911818
",pgbench-10,4975.12,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:54.922699
",spark,810.80,2.547,96.0,2.65%,0.0,0.0,3.14,3.1280517578125e-05
"2025-02-17 03:37:54.922699
",pgbench-10,4963.33,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:56.930093
",spark,808.30,2.557,96.0,2.66%,0.0,0.0,3.9,3.1280517578125e-05
"2025-02-17 03:37:56.930093
",pgbench-10,4946.58,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:37:58.938580
",spark,820.16,2.562,96.0,2.67%,0.0,0.0,4.69,3.1280517578125e-05
"2025-02-17 03:37:58.938580
",pgbench-10,4990.13,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:00.949491
",spark,881.63,2.565,96.0,2.67%,0.0,0.0,5.38,3.1280517578125e-05
"2025-02-17 03:38:00.949491
",pgbench-10,4963.78,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:02.960221
",spark,826.19,2.575,96.0,2.68%,0.0,0.0,6.11,3.1280517578125e-05
"2025-02-17 03:38:02.960221
",pgbench-10,5000.44,15.27,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:04.969171
",spark,835.86,2.568,96.0,2.67%,0.0,0.0,6.87,3.1280517578125e-05
"2025-02-17 03:38:04.969171
",pgbench-10,5008.34,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:06.980508
",spark,841.36,2.569,96.0,2.68%,0.0,0.0,7.61,3.1280517578125e-05
"2025-02-17 03:38:06.980508
",pgbench-10,4998.95,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:08.990454
",spark,806.36,2.585,96.0,2.69%,0.0,0.0,8.38,3.1280517578125e-05
"2025-02-17 03:38:08.990454
",pgbench-10,4987.74,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:11.003086
",spark,821.00,2.578,96.0,2.69%,0.0,0.0,9.18,3.1280517578125e-05
"2025-02-17 03:38:11.003086
",pgbench-10,4993.52,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:13.013049
",spark,808.97,2.582,96.0,2.69%,0.0,0.0,9.98,3.1280517578125e-05
"2025-02-17 03:38:13.013049
",pgbench-10,4961.65,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:15.023725
",spark,810.42,2.581,96.0,2.69%,0.0,0.0,10.8,3.1280517578125e-05
"2025-02-17 03:38:15.023725
",pgbench-10,4949.94,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:17.031138
",spark,824.51,2.587,96.0,2.70%,0.0,0.0,11.5,3.1280517578125e-05
"2025-02-17 03:38:17.031138
",pgbench-10,4960.93,15.26,96.0,15.90%,1.4781951904296875e-06,4.414469003677368e-07,5.81,32.4
"2025-02-17 03:38:19.042308
",spark,813.19,2.59,96.0,2.70%,0.0,0.0,12.3,3.1280517578125e-05
