time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 04:13:52.167632
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:13:54.363069
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:13:56.369294
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:13:58.375525
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:00.381955
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:02.388241
",pgbench-10,0.01,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:04.392567
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:06.399559
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:08.404994
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:10.412014
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:12.417799
",suffixArray,2785.58,7.665,96.0,7.98%,0.0,0.0,0.000507354736328125,0.0
"2025-02-17 04:14:12.417799
",pgbench-10,4400.53,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:14.428833
",suffixArray,4781.25,19.03,96.0,19.82%,0.0,0.0,0.000507354736328125,0.0
"2025-02-17 04:14:14.428833
",pgbench-10,3990.18,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:16.440655
",suffixArray,4594.08,28.22,96.0,29.39%,0.0,0.0,0.000507354736328125,0.0
"2025-02-17 04:14:16.440655
",pgbench-10,3784.94,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:18.469589
",suffixArray,103.52,19.79,96.0,20.62%,0.0,0.0,0.000507354736328125,0.0
"2025-02-17 04:14:18.469589
",pgbench-10,5019.93,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:14:20.472267
",suffixArray,1128.61,20.58,96.0,21.44%,0.0,0.0,0.0005159378051757812,0.0
"2025-02-17 04:14:20.472267
",pgbench-10,4680.41,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
