time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 04:07:22.262537
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:24.499459
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:26.503502
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:28.509476
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:30.517777
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:32.521931
",pgbench-10,0.01,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:34.528290
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:36.534617
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:38.538734
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:40.546235
",pgbench-10,0.00,15.01,96.0,15.63%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:42.552222
",wordCounts,162.10,0.55087890625,96.0,0.57%,0.0,0.0,0.349609375,0.0
"2025-02-17 04:07:42.552222
",pgbench-10,5044.91,15.17,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:44.566133
",wordCounts,190.37,1.404,96.0,1.46%,0.0,0.0,0.896484375,0.0
"2025-02-17 04:07:44.566133
",pgbench-10,5044.44,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:46.578662
",wordCounts,4475.07,8.38,96.0,8.73%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:46.578662
",pgbench-10,4614.30,15.17,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:48.596134
",wordCounts,1846.69,14.46,96.0,15.06%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:48.596134
",pgbench-10,5028.04,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:50.607814
",wordCounts,35.01,4.949,96.0,5.15%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:50.607814
",pgbench-10,4984.35,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:52.621895
",wordCounts,0.00,4.948,96.0,5.15%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:52.621895
",pgbench-10,4992.89,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:54.627573
",wordCounts,0.00,4.948,96.0,5.15%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:54.627573
",pgbench-10,5005.85,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:56.635745
",wordCounts,0.00,4.948,96.0,5.15%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:56.635745
",pgbench-10,4975.46,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:07:58.644377
",wordCounts,0.00,4.948,96.0,5.15%,0.0,0.0,1.14,0.0
"2025-02-17 04:07:58.644377
",pgbench-10,5018.36,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:08:00.656298
",wordCounts,0.00,4.948,96.0,5.15%,0.0,0.0,1.14,0.0
"2025-02-17 04:08:00.656298
",pgbench-10,4978.14,15.18,96.0,15.81%,1.544952392578125e-06,4.414469003677368e-07,8.7,32.4
"2025-02-17 04:08:02.667251
",wordCounts,0.00,4.948,96.0,5.15%,0.0,0.0,1.14,0.0
