Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.14,1.39,2025-02-15 23:13:28.609,0.0,4.63,4.51,0.71,0.69,34.450000000000024,33592,32136,0.0,0.01,40,0.01,0.0,62,0.01,0.01,50
9.14,1.39,2025-02-15 23:13:28.709,0.1,4.67,4.47,0.71,0.69,21.44,34008,32032,0.0,0.0,33,0.0,0.0,64,0.01,0.0,43
8.96,1.37,2025-02-15 23:13:28.809,0.2,4.59,4.36,0.7,0.67,26.399999999999988,33176,31824,0.01,0.0,87,0.0,0.0,36,0.01,0.01,78
9.06,1.38,2025-02-15 23:13:28.908,0.299,4.68,4.38,0.71,0.67,47.39999999999998,35256,31512,0.02,0.02,91,0.0,0.0,43,0.02,0.02,88
8.94,1.37,2025-02-15 23:13:29.007,0.398,4.57,4.37,0.69,0.67,19.66999999999999,35152,31928,0.0,0.0,72,0.0,0.0,42,0.01,0.0,61
9.05,1.38,2025-02-15 23:13:29.108,0.499,4.56,4.49,0.7,0.68,26.619999999999987,35256,32136,0.0,0.0,47,0.0,0.0,71,0.01,0.0,62
9.08,1.38,2025-02-15 23:13:29.208,0.599,4.66,4.42,0.7,0.68,20.920000000000005,35256,31928,0.0,0.0,46,0.0,0.0,63,0.01,0.0,55
9.01,1.38,2025-02-15 23:13:29.308,0.699,4.63,4.38,0.71,0.67,28.379999999999985,34632,31824,0.01,0.0,77,0.0,0.0,28,0.01,0.01,62
9.08,1.39,2025-02-15 23:13:29.409,0.8,4.63,4.46,0.7,0.69,16.959999999999997,35048,31928,0.0,0.0,59,0.0,0.0,51,0.0,0.0,56
9.03,1.38,2025-02-15 23:13:29.509,0.9,4.62,4.41,0.7,0.68,20.09999999999997,34736,31928,0.0,0.0,49,0.0,0.0,55,0.01,0.0,51
9.02,1.39,2025-02-15 23:13:29.610,1.001,4.61,4.42,0.71,0.68,20.239999999999995,34736,31928,0.0,0.0,60,0.0,0.0,54,0.0,0.0,57
8.94,1.38,2025-02-15 23:13:29.709,1.1,4.57,4.38,0.7,0.68,20.32000000000002,34736,31408,0.0,0.0,52,0.0,0.0,67,0.01,0.0,57
8.95,1.37,2025-02-15 23:13:29.808,1.199,4.57,4.37,0.7,0.67,18.63999999999997,34736,31304,0.0,0.0,46,0.0,0.0,57,0.0,0.0,50
