time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 01:37:26.278259
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:28.010251
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:30.015930
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:32.021548
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:34.027694
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:36.033357
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:38.040079
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:40.045495
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:42.051584
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:44.057243
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:46.063948
",pgbench-50,4866.70,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:46.063948
",faiss,75.34,0.063427734375,96.0,0.07%,0.0,0.0,0.0505859375,3.910064697265625e-06
"2025-02-17 01:37:48.076563
",faiss,91.78,0.09611328125,96.0,0.10%,0.0,0.0,0.07939453125,3.910064697265625e-06
"2025-02-17 01:37:48.076563
",pgbench-50,4979.59,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:50.086275
",faiss,56.55,0.965234375,96.0,1.01%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:37:50.086275
",pgbench-50,4978.32,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:52.097847
",faiss,103.69,4.51,96.0,4.70%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:37:52.097847
",pgbench-50,4986.46,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:54.107037
",faiss,104.06,8.084,96.0,8.42%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:37:54.107037
",pgbench-50,5010.33,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:56.117290
",faiss,103.68,11.65,96.0,12.13%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:37:56.117290
",pgbench-50,4966.13,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:37:58.123358
",faiss,104.02,15.21,96.0,15.84%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:37:58.123358
",pgbench-50,4975.74,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:38:00.129965
",faiss,103.62,18.77,96.0,19.55%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:38:00.129965
",pgbench-50,4975.87,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:38:02.136994
",faiss,104.26,22.4,96.0,23.34%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:38:02.136994
",pgbench-50,4992.82,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:38:04.145618
",faiss,103.86,26.01,96.0,27.09%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:38:04.145618
",pgbench-50,5001.13,15.4,96.0,16.04%,1.6021728515625e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:38:06.155130
",faiss,104.07,29.61,96.0,30.85%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:38:06.155130
",pgbench-50,5009.54,15.4,96.0,16.04%,1.6021728515625e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:38:08.164714
",faiss,104.01,33.19,96.0,34.57%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:38:08.164714
",pgbench-50,5004.31,15.4,96.0,16.04%,1.6021728515625e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:38:10.176593
",faiss,104.07,36.75,96.0,38.28%,0.0,0.0,0.462890625,3.910064697265625e-06
"2025-02-17 01:38:10.176593
",pgbench-50,4996.88,15.4,96.0,16.04%,1.6021728515625e-06,8.437782526016235e-07,0.0232421875,31.9
