time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 01:27:54.766059
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:27:56.856527
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:27:58.862143
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:00.868273
",pgbench-50,0.61,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:02.874245
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:04.880883
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:06.886110
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:08.891064
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:10.897750
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:12.902626
",pgbench-50,0.00,15.23,96.0,15.86%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:14.909441
",llama,26.56,0.069248046875,96.0,0.07%,0.0,0.0,0.3876953125,0.0
"2025-02-17 01:28:14.909441
",pgbench-50,4962.41,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:16.918381
",llama,25.63,0.075478515625,96.0,0.08%,0.0,0.0,1.28,0.0
"2025-02-17 01:28:16.918381
",pgbench-50,5007.56,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:18.926507
",llama,22.35,0.075849609375,96.0,0.08%,0.0,0.0,2.17,0.0
"2025-02-17 01:28:18.926507
",pgbench-50,4957.44,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:20.934403
",llama,23.86,0.079765625,96.0,0.08%,0.0,0.0,3.12,0.0
"2025-02-17 01:28:20.934403
",pgbench-50,4993.99,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:22.943310
",llama,24.02,0.083271484375,96.0,0.09%,0.0,0.0,4.04,0.0
"2025-02-17 01:28:22.943310
",pgbench-50,4996.46,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:24.956675
",llama,30.52,0.089384765625,96.0,0.09%,0.0,0.0,4.93,0.0
"2025-02-17 01:28:24.956675
",pgbench-50,4995.70,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:26.966179
",llama,24.71,0.09271484375,96.0,0.10%,0.0,0.0,5.89,0.0
"2025-02-17 01:28:26.966179
",pgbench-50,4961.94,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:28.976506
",llama,24.38,0.097333984375,96.0,0.10%,0.0,0.0,6.83,0.0
"2025-02-17 01:28:28.976506
",pgbench-50,4998.95,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:30.986075
",llama,25.55,0.10126953125,96.0,0.11%,0.0,0.0,7.8,0.0
"2025-02-17 01:28:30.986075
",pgbench-50,4994.48,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:32.997655
",llama,25.84,0.10458984375,96.0,0.11%,0.0,0.0,8.8,0.0
"2025-02-17 01:28:32.997655
",pgbench-50,4973.57,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:35.008565
",llama,25.10,0.10869140625,96.0,0.11%,0.0,0.0,9.73,0.0
"2025-02-17 01:28:35.008565
",pgbench-50,5007.41,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:37.019533
",llama,23.42,0.11171875,96.0,0.12%,0.0,0.0,10.7,0.0
"2025-02-17 01:28:37.019533
",pgbench-50,4954.45,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:39.026784
",llama,4814.73,0.1421875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:39.026784
",pgbench-50,4178.05,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:41.046200
",llama,4790.99,0.1419921875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:41.046200
",pgbench-50,4443.85,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:43.061498
",llama,4366.53,0.140625,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:43.061498
",pgbench-50,4737.89,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:45.094271
",llama,4575.68,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:45.094271
",pgbench-50,4595.05,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:47.105768
",llama,4183.99,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:47.105768
",pgbench-50,4915.47,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:49.117757
",llama,4434.04,0.14052734375,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:49.117757
",pgbench-50,4764.49,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:51.132196
",llama,4089.12,0.140625,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:51.132196
",pgbench-50,4816.23,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:53.144853
",llama,4180.65,0.140625,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:53.144853
",pgbench-50,4835.78,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:55.159582
",llama,4178.08,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:55.159582
",pgbench-50,4918.93,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:57.172220
",llama,4257.77,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:57.172220
",pgbench-50,4842.78,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:28:59.187136
",llama,4188.63,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:28:59.187136
",pgbench-50,4898.56,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:01.197048
",llama,4492.66,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:01.197048
",pgbench-50,4706.75,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:03.212707
",llama,4250.56,0.1408203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:03.212707
",pgbench-50,4820.38,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:05.223479
",llama,4152.03,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:05.223479
",pgbench-50,4885.90,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:07.240256
",llama,4130.85,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:07.240256
",pgbench-50,4930.05,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:09.252748
",llama,4186.64,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:09.252748
",pgbench-50,4814.77,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:11.264411
",llama,4299.60,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:11.264411
",pgbench-50,4895.78,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:13.276499
",llama,4176.67,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:13.276499
",pgbench-50,4869.10,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:15.289055
",llama,4127.89,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:15.289055
",pgbench-50,4935.98,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:17.301942
",llama,4144.95,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:17.301942
",pgbench-50,4905.42,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:19.313553
",llama,4188.36,0.14033203125,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:19.313553
",pgbench-50,4899.40,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:21.328003
",llama,4111.57,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:21.328003
",pgbench-50,4810.18,15.4,96.0,16.04%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:23.340207
",llama,4126.07,0.14130859375,96.0,0.15%,0.0,0.0,10.8,0.0
"2025-02-17 01:29:23.340207
",pgbench-50,4890.13,15.4,96.0,16.05%,1.5354156494140626e-06,8.437782526016235e-07,0.0232421875,31.9
"2025-02-17 01:29:25.352664
",llama,4134.66,0.1404296875,96.0,0.15%,0.0,0.0,10.8,0.0
