Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.38,1.4,2025-02-17 01:27:56.113,0.0,4.79,4.6,0.72,0.68,12.730000000000006,36712,35360,0.0,0.0,69,0.0,0.0,49,0.0,0.0,61
9.47,1.4,2025-02-17 01:27:56.214,0.101,4.87,4.61,0.72,0.68,18.909999999999997,36504,35464,0.0,0.0,71,0.0,0.0,40,0.0,0.0,60
9.4,1.4,2025-02-17 01:27:56.314,0.201,4.8,4.61,0.72,0.68,28.059999999999974,36400,35672,0.01,0.01,61,0.01,0.0,46,0.01,0.01,56
9.41,1.39,2025-02-17 01:27:56.414,0.301,4.79,4.62,0.71,0.68,14.799999999999995,36400,35776,0.0,0.0,65,0.0,0.0,47,0.0,0.0,56
9.37,1.4,2025-02-17 01:27:56.515,0.402,4.79,4.58,0.72,0.68,26.559999999999988,35568,35568,0.0,0.0,86,0.0,0.0,33,0.0,0.0,67
9.41,1.4,2025-02-17 01:27:56.615,0.502,4.78,4.63,0.72,0.68,15.679999999999996,35464,35672,0.0,0.0,47,0.0,0.0,58,0.0,0.0,52
9.43,1.38,2025-02-17 01:27:56.714,0.601,4.75,4.68,0.71,0.68,23.430000000000017,35256,35984,0.0,0.0,38,0.0,0.0,70,0.0,0.0,59
9.27,1.38,2025-02-17 01:27:56.814,0.701,4.7,4.57,0.7,0.68,21.079999999999963,35256,35256,0.0,0.0,16,0.0,0.0,86,0.01,0.0,54
9.48,1.4,2025-02-17 01:27:56.913,0.8,4.79,4.7,0.72,0.68,43.76999999999995,35152,35880,0.01,0.01,1,0.01,0.0,97,0.02,0.02,34
9.38,1.4,2025-02-17 01:27:57.013,0.9,4.79,4.59,0.72,0.68,14.890000000000006,35152,35880,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.34,1.39,2025-02-17 01:27:57.114,1.001,4.75,4.59,0.71,0.68,14.950000000000014,35464,35880,0.0,0.0,63,0.0,0.0,48,0.0,0.0,56
9.4,1.4,2025-02-17 01:27:57.214,1.101,4.8,4.61,0.72,0.68,15.530000000000015,35360,35880,0.0,0.0,59,0.0,0.0,55,0.0,0.0,57
9.45,1.4,2025-02-17 01:27:57.314,1.201,4.84,4.6,0.72,0.68,22.439999999999962,35360,35672,0.0,0.0,56,0.0,0.0,44,0.01,0.0,52
9.38,1.4,2025-02-17 01:27:57.415,1.302,4.79,4.59,0.72,0.68,17.919999999999995,35360,35464,0.0,0.0,55,0.0,0.0,51,0.0,0.0,53
9.34,1.39,2025-02-17 01:27:57.515,1.402,4.74,4.6,0.71,0.68,16.16000000000001,35256,35568,0.0,0.0,50,0.0,0.0,63,0.0,0.0,55
9.38,1.4,2025-02-17 01:27:57.615,1.502,4.78,4.6,0.72,0.68,16.680000000000003,35256,35776,0.0,0.0,56,0.0,0.0,63,0.0,0.0,60
9.51,1.4,2025-02-17 01:27:57.716,1.603,4.82,4.7,0.72,0.68,23.900000000000006,35256,35672,0.0,0.0,47,0.0,0.0,67,0.0,0.0,61
