time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 02:50:26.770672
",pgbench-50,0.01,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:28.989711
",pgbench-50,0.01,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:30.994401
",pgbench-50,0.01,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:32.999898
",pgbench-50,0.66,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:35.008264
",pgbench-50,0.01,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:37.012611
",pgbench-50,0.01,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:39.018736
",pgbench-50,0.01,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:41.025108
",pgbench-50,0.00,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:43.030956
",pgbench-50,0.00,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:45.041041
",pgbench-50,0.00,15.14,96.0,15.77%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:47.047502
",nBody,1788.68,1.731,96.0,1.80%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:47.047502
",pgbench-50,4728.45,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:49.069065
",nBody,0.00,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:49.069065
",pgbench-50,4996.39,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:51.081750
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:51.081750
",pgbench-50,5011.05,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:53.094615
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:53.094615
",pgbench-50,4998.07,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:55.104555
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:55.104555
",pgbench-50,4982.11,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:57.114355
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:57.114355
",pgbench-50,4991.65,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:50:59.123324
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:50:59.123324
",pgbench-50,4968.17,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:51:01.129677
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:51:01.129677
",pgbench-50,4985.47,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
"2025-02-17 02:51:03.136924
",nBody,0.05,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 02:51:03.136924
",pgbench-50,4980.04,15.31,96.0,15.95%,1.6689300537109375e-06,8.437782526016235e-07,1.6,31.9
