Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.53,1.42,2025-02-17 02:50:28.137,0.0,4.87,4.66,0.72,0.69,13.619999999999994,35568,34736,0.0,0.0,60,0.0,0.0,55,0.0,0.0,58
9.45,1.4,2025-02-17 02:50:28.237,0.1,4.86,4.59,0.72,0.69,18.18,35464,34528,0.0,0.0,79,0.0,0.0,31,0.0,0.0,59
9.49,1.4,2025-02-17 02:50:28.337,0.2,4.86,4.62,0.71,0.69,15.630000000000004,35152,34424,0.0,0.0,70,0.0,0.0,44,0.0,0.0,58
9.31,1.39,2025-02-17 02:50:28.437,0.3,4.77,4.54,0.71,0.68,28.54999999999996,34528,34736,0.01,0.01,88,0.01,0.0,23,0.01,0.01,63
9.37,1.39,2025-02-17 02:50:28.537,0.4,4.82,4.55,0.71,0.68,15.600000000000007,34112,34736,0.0,0.0,63,0.0,0.0,43,0.0,0.0,54
9.73,1.4,2025-02-17 02:50:28.637,0.5,4.84,4.89,0.71,0.69,28.44000000000001,34216,34840,0.0,0.0,44,0.0,0.0,71,0.01,0.0,60
9.42,1.4,2025-02-17 02:50:28.737,0.6,4.81,4.6,0.71,0.69,14.230000000000015,34320,34944,0.0,0.0,69,0.0,0.0,44,0.0,0.0,57
9.42,1.39,2025-02-17 02:50:28.838,0.701,4.83,4.59,0.71,0.69,15.430000000000009,34424,35048,0.0,0.0,54,0.0,0.0,51,0.0,0.0,52
9.33,1.38,2025-02-17 02:50:28.937,0.8,4.76,4.57,0.7,0.68,24.529999999999966,34528,34840,0.0,0.0,22,0.0,0.0,87,0.01,0.0,56
9.67,1.41,2025-02-17 02:50:29.037,0.9,4.84,4.83,0.72,0.7,43.16000000000002,34216,36296,0.01,0.01,8,0.01,0.0,92,0.02,0.02,36
