Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.89,1.41,2025-02-17 02:43:52.238,0.0,5.02,4.87,0.72,0.69,11.990000000000004,35464,35984,0.0,0.0,79,0.0,0.0,24,0.01,0.0,57
9.78,1.39,2025-02-17 02:43:52.338,0.1,4.99,4.79,0.71,0.68,18.279999999999994,35464,35984,0.0,0.0,73,0.0,0.0,40,0.0,0.0,58
9.75,1.4,2025-02-17 02:43:52.439,0.201,4.98,4.78,0.71,0.68,28.530000000000005,35048,36192,0.0,0.0,14,0.01,0.0,83,0.01,0.01,40
9.74,1.39,2025-02-17 02:43:52.539,0.301,4.97,4.76,0.71,0.68,19.95,34944,36088,0.0,0.0,56,0.0,0.0,49,0.0,0.0,54
9.74,1.39,2025-02-17 02:43:52.639,0.401,4.97,4.78,0.71,0.68,15.590000000000002,34840,36088,0.0,0.0,60,0.0,0.0,46,0.0,0.0,53
9.96,1.4,2025-02-17 02:43:52.739,0.501,4.98,4.98,0.71,0.69,28.60000000000001,35048,35880,0.0,0.0,38,0.01,0.0,67,0.01,0.0,56
9.75,1.4,2025-02-17 02:43:52.840,0.602,4.97,4.78,0.71,0.68,21.959999999999997,34840,35880,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.76,1.4,2025-02-17 02:43:52.940,0.702,4.97,4.79,0.71,0.69,23.199999999999974,35048,35880,0.0,0.0,17,0.0,0.0,89,0.01,0.0,53
9.76,1.4,2025-02-17 02:43:53.040,0.802,4.93,4.83,0.71,0.68,44.830000000000005,34736,35256,0.01,0.01,3,0.01,0.01,94,0.02,0.02,35
9.75,1.39,2025-02-17 02:43:53.141,0.903,4.97,4.78,0.71,0.68,19.189999999999998,34944,35360,0.0,0.0,51,0.0,0.0,53,0.0,0.0,52
9.82,1.39,2025-02-17 02:43:53.241,1.003,4.99,4.83,0.71,0.68,20.159999999999993,35048,35464,0.0,0.0,61,0.0,0.0,49,0.0,0.0,55
9.68,1.39,2025-02-17 02:43:53.341,1.103,4.96,4.71,0.71,0.68,15.580000000000002,35568,35464,0.0,0.0,55,0.0,0.0,51,0.0,0.0,53
9.8,1.4,2025-02-17 02:43:53.442,1.204,4.98,4.82,0.71,0.69,23.959999999999983,35256,35776,0.0,0.0,19,0.0,0.0,85,0.01,0.0,52
9.73,1.39,2025-02-17 02:43:53.542,1.304,4.96,4.76,0.71,0.68,14.34000000000001,35360,35880,0.0,0.0,65,0.0,0.0,51,0.0,0.0,58
9.59,1.36,2025-02-17 02:43:53.641,1.403,4.93,4.67,0.7,0.67,19.389999999999993,35152,35776,0.0,0.0,54,0.0,0.0,59,0.0,0.0,56
