time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 01:03:16.028271
",pgbench-50,0.01,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:16.028271
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
"2025-02-17 01:03:18.664957
",pgbench-50,0.01,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:18.664957
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
"2025-02-17 01:03:20.675896
",pgbench-50,0.01,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:20.675896
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
"2025-02-17 01:03:22.685967
",pgbench-50,0.01,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:22.685967
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
"2025-02-17 01:03:24.696542
",pgbench-50,0.01,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:24.696542
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
"2025-02-17 01:03:26.706700
",pgbench-50,0.01,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:26.706700
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
"2025-02-17 01:03:28.718122
",pgbench-50,0.00,0.72353515625,96.0,0.75%,8.065253496170044e-07,0.0,0.0,32.2
"2025-02-17 01:03:28.718122
",pgbench-50,0.00,0.742578125,96.0,0.77%,1.10626220703125e-06,0.0,0.0232421875,31.9
