Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.67,1.4,2025-02-17 01:48:13.518,0.0,4.98,4.69,0.71,0.69,12.950000000000003,35880,35048,0.0,0.0,59,0.0,0.0,54,0.0,0.0,57
9.56,1.38,2025-02-17 01:48:13.618,0.1,5.01,4.55,0.71,0.67,19.64000000000001,36192,34944,0.0,0.0,70,0.0,0.0,47,0.0,0.0,60
9.58,1.39,2025-02-17 01:48:13.718,0.2,4.97,4.61,0.71,0.68,32.76999999999998,36400,35464,0.01,0.01,54,0.01,0.0,67,0.02,0.01,58
9.56,1.38,2025-02-17 01:48:13.818,0.3,4.97,4.59,0.7,0.68,16.640000000000004,36088,35464,0.0,0.0,68,0.0,0.0,50,0.0,0.0,60
9.58,1.39,2025-02-17 01:48:13.919,0.401,4.97,4.62,0.71,0.68,16.679999999999996,36504,35360,0.0,0.0,65,0.0,0.0,49,0.0,0.0,58
9.65,1.39,2025-02-17 01:48:14.019,0.501,4.97,4.68,0.71,0.68,23.299999999999986,36192,35256,0.0,0.0,42,0.0,0.0,67,0.01,0.0,55
9.62,1.39,2025-02-17 01:48:14.119,0.601,4.93,4.69,0.7,0.68,21.23000000000001,36088,34736,0.0,0.0,55,0.0,0.0,64,0.01,0.0,58
9.57,1.4,2025-02-17 01:48:14.219,0.701,4.98,4.6,0.72,0.68,21.659999999999986,36400,33800,0.0,0.0,75,0.0,0.0,32,0.01,0.01,55
9.77,1.4,2025-02-17 01:48:14.320,0.802,4.98,4.79,0.72,0.68,47.33999999999999,36296,33592,0.01,0.02,5,0.01,0.01,92,0.02,0.02,34
9.58,1.39,2025-02-17 01:48:14.420,0.902,4.98,4.61,0.71,0.68,21.090000000000014,35776,33592,0.0,0.0,62,0.0,0.0,54,0.0,0.0,58
9.57,1.39,2025-02-17 01:48:14.520,1.002,4.97,4.6,0.71,0.68,15.710000000000004,35880,33592,0.0,0.0,57,0.0,0.0,51,0.0,0.0,54
9.58,1.39,2025-02-17 01:48:14.620,1.102,4.96,4.62,0.71,0.68,16.26,35776,33592,0.0,0.0,53,0.0,0.0,58,0.0,0.0,55
9.58,1.39,2025-02-17 01:48:14.720,1.202,4.99,4.59,0.71,0.68,24.019999999999975,36400,33488,0.0,0.0,82,0.0,0.0,28,0.01,0.0,60
9.56,1.39,2025-02-17 01:48:14.821,1.303,4.96,4.6,0.71,0.68,22.29999999999999,36504,33696,0.0,0.0,63,0.0,0.0,55,0.01,0.0,59
9.57,1.39,2025-02-17 01:48:14.921,1.403,4.97,4.59,0.71,0.68,16.349999999999998,36920,33488,0.0,0.0,47,0.0,0.0,55,0.0,0.0,50
9.64,1.4,2025-02-17 01:48:15.021,1.503,4.98,4.65,0.72,0.68,25.569999999999993,36816,33488,0.0,0.0,45,0.0,0.0,70,0.01,0.0,59
9.48,1.38,2025-02-17 01:48:15.121,1.603,4.92,4.56,0.71,0.67,17.799999999999997,36816,33488,0.0,0.0,50,0.0,0.0,57,0.0,0.0,54
9.58,1.39,2025-02-17 01:48:15.222,1.704,4.98,4.6,0.71,0.68,16.409999999999997,36608,33488,0.0,0.0,61,0.0,0.0,50,0.0,0.0,55
