Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.77,1.43,2025-02-17 02:26:08.504,0.0,5.04,4.73,0.73,0.7,15.299999999999988,35256,34424,0.0,0.0,59,0.0,0.0,49,0.0,0.0,55
9.61,1.42,2025-02-17 02:26:08.605,0.101,4.98,4.63,0.72,0.7,16.099999999999998,34944,34320,0.0,0.0,70,0.0,0.0,42,0.0,0.0,59
9.59,1.4,2025-02-17 02:26:08.705,0.201,4.99,4.6,0.72,0.69,16.540000000000003,34944,34320,0.0,0.0,56,0.0,0.0,51,0.01,0.0,54
9.53,1.39,2025-02-17 02:26:08.805,0.301,4.98,4.55,0.72,0.68,23.95000000000001,35048,34216,0.0,0.0,69,0.0,0.0,52,0.0,0.0,62
9.57,1.4,2025-02-17 02:26:08.906,0.402,4.98,4.59,0.72,0.69,16.349999999999998,35048,34112,0.0,0.0,53,0.0,0.0,51,0.0,0.0,52
9.75,1.4,2025-02-17 02:26:09.005,0.501,4.93,4.82,0.71,0.69,29.430000000000025,35152,34112,0.0,0.0,50,0.0,0.0,69,0.01,0.0,61
9.5,1.39,2025-02-17 02:26:09.104,0.6,4.95,4.55,0.71,0.68,18.07999999999999,35256,34216,0.0,0.0,87,0.0,0.0,32,0.01,0.0,70
9.44,1.39,2025-02-17 02:26:09.204,0.7,4.94,4.5,0.71,0.67,23.59999999999996,35464,34736,0.0,0.0,76,0.0,0.0,43,0.01,0.01,66
9.5,1.39,2025-02-17 02:26:09.303,0.799,4.92,4.58,0.71,0.68,16.219999999999995,35360,34528,0.0,0.0,51,0.0,0.0,54,0.0,0.0,52
9.57,1.4,2025-02-17 02:26:09.403,0.899,4.98,4.59,0.72,0.68,16.009999999999998,34736,34008,0.0,0.0,58,0.0,0.0,50,0.0,0.0,55
9.57,1.4,2025-02-17 02:26:09.504,1.0,4.98,4.59,0.72,0.69,16.020000000000007,34840,33904,0.0,0.0,56,0.0,0.0,51,0.0,0.0,54
9.6,1.4,2025-02-17 02:26:09.604,1.1,4.98,4.61,0.72,0.69,16.61,34736,33904,0.0,0.0,58,0.0,0.0,50,0.0,0.0,53
