workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,357.4323013389177,386.1021782699937,481.2983857189493,418.81506538129753,317.9074309187881,417.6552885246464,493.6228683612364,389.6252486965644,338.537942333087,363.2958588912994,391.20564256224833,390.6243075194104,346.20058187787754,366.34985668187096,365.38144536468286,505.2521581121409
pgbench-50,371.3192963981293,387.2420822898236,439.5913429822272,402.6971199112292,269.0411595202243,399.2918848838774,458.33854470907227,357.72950678843154,338.0939130674125,358.5885698094212,345.54659016279896,375.8879813978105,348.15571413787166,330.756929358092,325.5715963979356,477.5773240371876
pgbench-10,452.72542271222994,455.75312625515375,587.1756955608494,430.6425202215767,382.247024256118,416.5141502685033,672.1685276434835,424.779041928586,357.0364311940632,426.4680106506022,461.39061105140337,432.2424502698791,435.0369756903717,415.78057715393015,413.3470017381809,778.0148359165458
x265,9453.178936793203,9785.604772859046,11500.571549006952,9219.075458131863,7394.777193978756,10429.49763355437,11710.295210945156,9488.988015542242,8448.237096937019,8831.60515898073,9515.231212532486,9795.091804972504,9123.690759206806,8789.081620285231,8558.262239316304,11508.79328680626
llama,9020.616705696291,9624.019808461157,9535.019587892712,9629.34773350904,10010.117144037717,7734.927210760829,9236.391155002057,9371.68132452853,9104.436001934657,9408.641247745603,8830.385034971498,10299.531732866304,8862.199081772273,8810.11579226719,10274.264903670848,9655.161651425606
faiss,171.2220572456439,205.149622545435,272.3811197059561,196.40407968991096,138.6860440113498,171.23403007955272,251.84284074515568,202.04542819579493,156.97121991652998,179.99244412818493,208.54281340418373,184.8868152472844,165.11093855943935,151.3216416170216,183.9145445676889,230.97398273214185
spark,4087.5197986035273,3994.3490666515977,5852.759006357468,4190.661621728325,3365.290059507784,3722.920866563,6356.405448719936,3604.712604779559,3187.0953418576046,3911.567177687624,4226.256619492436,3888.424342549061,3868.033418995885,3970.4435283320527,3824.842463152752,9117.685786682792
removeDuplicates,1046.4240696521197,1140.3968560535006,1209.3416029617804,1065.6713343632375,1036.947500264173,1331.6790000438368,1285.4831194266349,1193.5682677040363,974.9047769586366,1046.5164250829364,1072.249293052981,1091.2565541485612,1008.028401645099,999.7123244122512,894.2947419151639,1330.0855702132433
breadthFirstSearch,1548.881460968892,1659.7424209213675,1781.6388709848836,1686.9695106374966,1354.9022621330278,1868.7377204686552,1910.618380047707,1832.559545483152,1634.4957426435228,1701.1298393214893,1707.623310348711,1795.154216740449,1607.481876688944,1604.915874361291,1459.3430739754624,1959.0547844285927
minSpanningForest,1635.7830511940238,1702.8474199676357,2011.667052904074,1715.195844818773,1467.8455659894184,1816.9432607989831,2056.833449226418,1854.626445213972,1628.8726639697936,1776.467953088154,1797.7608047648318,1814.7886596491028,1586.2897455160098,1613.7296029184542,1533.2745290692485,2242.769878671236
wordCounts,475.4957798601061,471.2313469449229,557.7110926350435,477.09450405680576,409.56234920382497,544.6007290133183,588.7716306719309,503.5493928522413,425.03414574571065,451.7281572304217,475.0316958537113,524.0987049164839,473.0816815813584,475.6588821255979,444.1689891043585,613.9671879797312
suffixArray,7285.45777613744,7431.095077641183,8457.066532555371,7158.285081997999,6183.343049373134,8756.351797961855,8885.921026343634,8063.11132704914,6791.06619995344,7112.443202409383,7122.341611291091,7810.984207878936,7145.69168629361,6753.057353112409,6382.4709404950045,9261.954099375158
convexHull,8519.610100269154,8768.761007976851,9322.21463364995,8894.028100750285,7791.407814473425,8032.190510469984,9689.844864529625,9126.199906317022,8288.346072861135,8740.159242110785,8184.086660900133,8878.526392499703,8990.615674328192,8233.930957827459,7334.107282893642,9722.883053356652
nearestNeighbors,1507.924556278732,1510.0105818602815,1579.3855668632268,1501.691236033669,1264.3397962846748,1638.8360595605172,1626.3250174800785,1577.6050833378022,1422.4824088563928,1492.6586921287424,1434.039760266915,1602.8112589611092,1549.690063943062,1501.5814115676603,1342.3256172228505,1760.682070134824
nBody,5487.217922435774,5379.938864314244,5438.024577634096,5482.34180698555,4555.478622833585,5949.567886115073,5634.152451932025,4817.149655838112,4388.522043721207,4666.876308670893,4731.440809986255,4735.15777959524,5423.9693450595605,4949.627985746847,4912.289269646251,5559.271866037208
