workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,400.7679389322423,429.7757949832582,516.3434796601015,459.8518393935421,371.2450796843635,468.7755713773482,528.5896986390734,431.6328805578044,379.6065239593098,410.7961036172578,430.3857997619905,432.8339637299545,389.3954202587409,417.5449711403272,405.3220815187466,570.7413573328059
pgbench-50,419.75282706949264,434.0907569203647,472.7109837748744,450.5434278377009,318.70915021374765,456.487661357099,491.2471943466416,400.1656569678077,384.84308033757446,407.0118887677129,383.4922714033557,419.42263301959775,395.6305221761015,376.5854477618286,369.3428984978914,538.1336543447519
pgbench-10,619.8451391378508,606.9529401485028,714.3181433433911,578.9652292055039,582.3960569354763,587.2613085204991,802.8726265226051,566.3748701483855,497.6175924656585,584.3300396015587,594.83869330814,575.7916288262234,590.9551358839192,561.8798227124454,557.2555270236735,1027.926784268207
x265,10965.913350780504,11004.460272682943,12427.409359391952,10358.542251292563,8615.560521505256,11861.66465780357,12643.366756149557,10651.79742535744,9637.88895634422,10075.98468102313,10594.887624675186,10962.374156120504,10401.529603586108,10040.751764439432,9714.061352065004,13396.40395178866
llama,10033.913116524946,10769.608428072188,10395.732817820252,10841.079760064782,11418.890951644791,8716.542308133978,9974.218937615537,10588.961607163976,10366.245529760714,10653.526842581705,9912.8212633753,11638.442409451678,10053.439229039828,10018.245250112192,11703.724390356188,11143.736161647195
faiss,190.8181973198439,225.962296567335,293.9735868355561,218.0476723152109,155.9893904520498,191.40341166155272,270.7508649774557,223.23990565729497,175.40361804983,201.3343407784849,229.6447133007837,204.8909249008844,184.5502541925393,169.4777437031216,203.7128879886889,266.4473380067418
spark,5796.955308400744,5523.250926614622,7234.448655834466,5917.446126753504,4921.165259439453,5339.276632312636,7669.957459738816,4994.430055186833,4627.382319662023,5637.346611288913,5658.192594461014,5365.891377379055,5468.154269414224,5587.986677611558,5362.445516445865,11828.048331355709
removeDuplicates,1185.5004847280136,1276.9835346762393,1315.3189458587642,1196.5481736693885,1197.53454514578,1522.4441491216685,1392.0739142165176,1345.4234480626308,1112.7476855380507,1196.0705286981618,1200.316921227561,1224.2881225786523,1149.2074208102224,1138.0634284899277,1015.8582800521924,1526.900669470695
breadthFirstSearch,1738.531738132655,1834.9126614718723,1926.3649495445136,1863.201653683819,1541.9095946877417,2103.4689454345985,2057.996135135314,2031.984575890718,1840.023629069109,1905.959267029452,1875.1066052467595,1992.382626741772,1803.3877870316128,1794.1379406083597,1627.8468394780025,2231.0309288405665
minSpanningForest,1813.337449959608,1882.1318576152955,2160.6178192471293,1891.2648741500725,1661.3819564651972,2031.059522941754,2204.396811908788,2046.189724125236,1824.6475130908136,1990.76941255946,1967.5262774124767,1999.0607235675152,1775.2064276383248,1803.514234217804,1710.4985454042774,2526.2862064445408
wordCounts,547.7562172492999,536.8895718845941,610.8198441421727,544.8038312882979,483.3541727278872,630.9234833452286,641.8274702811823,571.4757765093109,492.71475022739696,524.8761967721227,539.9326958786364,592.7296137133875,547.7165541532177,545.2850843017369,509.9547091246877,706.5480710319082
suffixArray,8253.582291757235,8347.71271723293,9210.751203941349,8073.903220473167,7176.8321561361845,9967.027729570107,9638.472630477849,9062.200859434495,7754.749142295658,8145.155088709736,7990.80001285141,8819.680029321298,8112.379753273341,7680.200686186973,7249.1256756055955,10614.164294012417
convexHull,9489.16625088577,9702.340009162148,10013.377823582936,9824.09551496826,8835.530647090722,8989.368917628784,10376.280852822692,10074.119054246885,9296.28439225249,9778.269143473142,8975.612382838677,9819.701143462273,10069.08255772452,9210.19858775284,8197.312235356234,10963.435361973923
nearestNeighbors,1665.8603651061162,1670.414899367246,1694.33741510115,1658.7655454533626,1435.4345519315434,1832.472614337724,1741.2141187947248,1739.0470642133923,1589.546838308792,1667.688794582201,1578.253699904595,1767.6676738264484,1732.884969955452,1680.4964933357164,1501.2286723632533,1973.7058275569525
nBody,6246.582404956826,5990.422622348816,5856.890027950998,6109.357809790608,5197.62000683613,6767.529644945149,6053.705466808773,5335.888697037897,4927.105656445147,5239.8107767229,5228.987432275137,5248.589888314503,6089.750578155672,5561.627766296749,5522.43720001352,6270.445081881328
