workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,-0.33827809609786735,-0.33311725852523005,-0.46487215665795295,-0.37338103839120673,-0.18555045106209384,-0.219408948940532,-0.46606721880936935,-0.35855633659993713,-0.3728953458746275,-0.27468582161301225,-0.4017310080747044,-0.35547148670547746,-0.34042805691792244,-0.21826629325616068,-0.3901187275250649,0.0
pgbench-50,-0.20019046026450982,-0.22636206004231696,-0.45307714941719146,-0.2098875925363826,-0.17980514272809,-0.05549467441759679,-0.4565613624467168,-0.29922850404171036,-0.2280052798324474,-0.20035909190086804,-0.3733820882502051,-0.2810883453360576,-0.2160223745873263,-0.24320846109771674,-0.2771804057867722,0.0
pgbench-10,-0.33128560867982226,-0.39498765508966527,-0.49125102412616767,-0.40650012949674436,-0.19912179469818458,-0.3167707291380458,-0.47699940022394377,-0.43341713289932693,-0.43747723068535377,-0.36832940564801464,-0.46601959955529443,-0.42560097865208724,-0.3761076202161062,-0.41539711677597313,-0.4241630852999748,0.0
x265,-0.19859829039406018,-0.3542866002850941,-0.5089888886627786,-0.396344376359346,-0.35326529449446475,-0.2412804977118768,-0.5056864413228457,-0.3839781521757602,-0.36975782057350665,-0.34076473230034293,-0.42803013769115006,-0.38160852086577723,-0.3230389782782805,-0.3369023775006745,-0.3876919991022214,0.0
llama,-0.31928405070041604,-0.23041230939760074,-0.4217869350729282,-0.1859782508466004,-0.05360880632211992,-0.34056703871207367,-0.5043393679341952,-0.1822510231924903,-0.15233700485827567,-0.16370622613255378,-0.2728370525149797,-0.10054171464613934,-0.19974436006550458,-0.18839839756146365,-0.03971250557518407,0.0
faiss,-0.4475814333742646,-0.4132871316854963,-0.39130462956063083,-0.3898633930239618,-0.5122156811287113,-0.43142165645543296,-0.4669795375731283,-0.4025240269088421,-0.48038751929118595,-0.39836825456481584,-0.4051338044216639,-0.4360807006061943,-0.452002341401882,-0.48817635248898167,-0.44188128617266104,0.0
spark,-0.3692963647401977,-0.43590503677524417,-0.4902196194407125,-0.36289537780874054,-0.42595310616667703,-0.4036385394542501,-0.5153592962680947,-0.48725772751741453,-0.4685998813571151,-0.3632662032637578,-0.47168102002332557,-0.4548821382829828,-0.4096284817825212,-0.4032004491581,-0.4326946938094324,0.0
removeDuplicates,-0.2933651147670865,-0.306015244063815,-0.46153855422263135,-0.33502642937495314,-0.18407151947450506,-0.030739258331527318,-0.45842165976070587,-0.22843734585650696,-0.2996324514761783,-0.2401289119611943,-0.3492997810749486,-0.32407844249757417,-0.2826819705512098,-0.2970503553860926,-0.3823464835997544,0.0
breadthFirstSearch,-0.3026951772781518,-0.35593527539250996,-0.4678721588890251,-0.3520308796665049,-0.3124127376721458,-0.13694186130388583,-0.45812249303612473,-0.26675543239744837,-0.2443164937500387,-0.24688458191502533,-0.3841985838127228,-0.27483195106048314,-0.27969450862601053,-0.3042696202044599,-0.38044652457716943,0.0
minSpanningForest,-0.37374189289177884,-0.3676398144130438,-0.47463072933791095,-0.3789809895108357,-0.3173712710100879,-0.2447833116899901,-0.47952428757345106,-0.3243306993435854,-0.3094759280405245,-0.2441300959475699,-0.40121447684880135,-0.3500477896082477,-0.33366560012244056,-0.33060422731244465,-0.37490719590324995,0.0
wordCounts,-0.21948857035129954,-0.290801483253649,-0.42635293857374523,-0.26864677675052673,-0.20294750826178148,-0.06759633861711646,-0.42692445934707585,-0.2663022708609573,-0.26895702168294555,-0.20990125466316656,-0.2989805466821042,-0.25869243698805083,-0.1938414269628819,-0.2479419089478888,-0.28942436222763596,0.0
suffixArray,-0.2840428807153746,-0.3221337605447975,-0.4426275778906118,-0.32287292160166775,-0.26528500472549604,-0.10466883298936634,-0.4434655151109174,-0.26114332198673657,-0.2873275573841292,-0.2362785827262706,-0.35774896165955167,-0.2540391830776336,-0.2851051775725943,-0.3143496944842386,-0.35908282710212946,0.0
convexHull,-0.2184479897528135,-0.2474489026376721,-0.442858487198044,-0.25027956680469676,-0.15834034134273314,-0.2284255968007674,-0.4466690493219308,-0.2358894168788251,-0.1875084086419464,-0.16318732055769392,-0.3619569957345981,-0.2413260251705085,-0.13065585714930797,-0.2130379161411285,-0.30417690050915597,0.0
nearestNeighbors,-0.2586000231212803,-0.2470120729815748,-0.46038014900782154,-0.2626441702066368,-0.19682781997020743,-0.09100957977426107,-0.4606747026483905,-0.24214095728451426,-0.21574742895298776,-0.17835407387628455,-0.3230147595608074,-0.22611253852470897,-0.14002593781420153,-0.1601167685089818,-0.254059467059722,0.0
nBody,0.06776305069325902,-0.14158218499558536,-0.4110218987652196,-0.11833574600974224,-0.09706753615522092,0.1501582745340112,-0.41005509553848324,-0.2705869264436889,-0.24268293472684502,-0.19438126283767773,-0.30038616302735177,-0.27804914853289264,-0.06382690143094014,-0.1394504645067447,-0.14205440141181344,0.0
