time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:27:58.693688
",removeDuplicates,74.75,0.12197265625,96.0,0.13%,0.0,0.0,0.04189453125,0.0
"2024-11-13 20:28:00.348968
",removeDuplicates,98.28,0.3552734375,96.0,0.37%,0.0,0.0,0.04384765625,0.0
"2024-11-13 20:28:02.361428
",removeDuplicates,96.12,0.423046875,96.0,0.44%,0.0,0.0,0.0517578125,0.0
"2024-11-13 20:28:04.371214
",removeDuplicates,100.27,0.41865234375,96.0,0.44%,0.0,0.0,0.05224609375,0.0
"2024-11-13 20:28:06.381178
",removeDuplicates,99.90,0.4369140625,96.0,0.46%,0.0,0.0,0.05234375,0.0
"2024-11-13 20:28:08.391430
",removeDuplicates,99.69,0.49248046875,96.0,0.51%,0.0,0.0,0.0525390625,0.0
"2024-11-13 20:28:10.400964
",removeDuplicates,95.07,0.1240234375,96.0,0.13%,0.0,0.0,0.0587890625,0.03896484375
"2024-11-13 20:28:12.410342
",removeDuplicates,100.13,0.32177734375,96.0,0.34%,0.0,0.0,0.0587890625,0.03896484375
"2024-11-13 20:28:14.419971
",removeDuplicates,99.98,0.3515625,96.0,0.37%,0.0,0.0,0.0587890625,0.03896484375
"2024-11-13 20:28:16.429549
",removeDuplicates,152.07,0.0671484375,96.0,0.07%,0.0,0.0,0.2734375,0.05908203125
"2024-11-13 20:28:18.477578
",removeDuplicates,171.14,0.07744140625,96.0,0.08%,0.0,0.0,1.3,0.05908203125
"2024-11-13 20:28:20.474920
",removeDuplicates,146.56,0.087119140625,96.0,0.09%,0.0,0.0,2.32,0.05908203125
"2024-11-13 20:28:22.522832
",removeDuplicates,140.12,0.0994140625,96.0,0.10%,0.0,0.0,3.3,0.05908203125
"2024-11-13 20:28:24.648225
",removeDuplicates,140.87,0.1109375,96.0,0.12%,0.0,0.0,4.38,0.05908203125
"2024-11-13 20:28:26.837588
",removeDuplicates,166.17,0.12431640625,96.0,0.13%,0.0,0.0,5.47,0.05908203125
"2024-11-13 20:28:28.881422
",removeDuplicates,141.33,0.1357421875,96.0,0.14%,0.0,0.0,6.52,0.05908203125
"2024-11-13 20:28:31.074327
",removeDuplicates,151.05,0.1484375,96.0,0.15%,0.0,0.0,7.52,0.05908203125
"2024-11-13 20:28:33.109102
",removeDuplicates,169.39,0.16162109375,96.0,0.17%,0.0,0.0,8.55,0.05908203125
"2024-11-13 20:28:35.186894
",removeDuplicates,166.82,0.17275390625,96.0,0.18%,0.0,0.0,9.61,0.05908203125
"2024-11-13 20:28:37.255815
",removeDuplicates,174.65,0.18564453125,96.0,0.19%,0.0,0.0,10.7,0.05908203125
"2024-11-13 20:28:39.344996
",removeDuplicates,186.55,0.1974609375,96.0,0.21%,0.0,0.0,11.7,0.05908203125
"2024-11-13 20:28:41.399148
",removeDuplicates,162.81,0.2087890625,96.0,0.22%,0.0,0.0,12.7,0.05908203125
"2024-11-13 20:28:43.486051
",removeDuplicates,170.93,0.21923828125,96.0,0.23%,0.0,0.0,13.7,0.05908203125
"2024-11-13 20:28:45.579450
",removeDuplicates,174.55,0.2306640625,96.0,0.24%,0.0,0.0,14.7,0.05908203125
"2024-11-13 20:28:47.588098
",removeDuplicates,175.48,0.24248046875,96.0,0.25%,0.0,0.0,15.7,0.05908203125
"2024-11-13 20:28:49.667441
",removeDuplicates,180.03,0.25439453125,96.0,0.27%,0.0,0.0,16.7,0.05908203125
"2024-11-13 20:28:51.675896
",removeDuplicates,154.78,0.264453125,96.0,0.28%,0.0,0.0,17.6,0.05908203125
"2024-11-13 20:28:53.684640
",removeDuplicates,164.61,0.27578125,96.0,0.29%,0.0,0.0,18.7,0.05908203125
"2024-11-13 20:28:55.721105
",removeDuplicates,160.44,0.2875,96.0,0.30%,0.0,0.0,19.6,0.05908203125
"2024-11-13 20:28:57.728604
",removeDuplicates,160.25,0.2990234375,96.0,0.31%,0.0,0.0,20.7,0.05908203125
"2024-11-13 20:28:59.788203
",removeDuplicates,4801.72,10.78,96.0,11.23%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:01.795169
",removeDuplicates,4783.45,26.16,96.0,27.24%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:03.801261
",removeDuplicates,4788.79,37.6,96.0,39.17%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:05.809142
",removeDuplicates,4800.75,45.07,96.0,46.95%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:07.818875
",removeDuplicates,4504.81,49.98,96.0,52.07%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:09.823090
",removeDuplicates,1828.26,47.06,96.0,49.02%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:11.833982
",removeDuplicates,4794.08,50.03,96.0,52.11%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:13.840159
",removeDuplicates,4192.88,53.55,96.0,55.78%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:15.849755
",removeDuplicates,4723.34,48.03,96.0,50.03%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:17.858767
",removeDuplicates,4687.74,50.03,96.0,52.11%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:19.868261
",removeDuplicates,1410.20,48.39,96.0,50.40%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:21.874273
",removeDuplicates,4802.06,49.16,96.0,51.21%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:23.882192
",removeDuplicates,4693.08,50.03,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:25.886083
",removeDuplicates,833.65,43.68,96.0,45.50%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:27.894319
",removeDuplicates,4797.18,49.91,96.0,51.99%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:29.901876
",removeDuplicates,4777.22,53.59,96.0,55.82%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:31.910955
",removeDuplicates,3575.58,47.82,96.0,49.81%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:33.918455
",removeDuplicates,4707.32,50.03,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:35.922988
",removeDuplicates,2371.18,50.05,96.0,52.14%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:37.932167
",removeDuplicates,4801.49,48.83,96.0,50.86%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:39.939906
",removeDuplicates,4662.92,50.03,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:41.945148
",removeDuplicates,99.74,43.55,96.0,45.37%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:43.955550
",removeDuplicates,4795.34,49.74,96.0,51.82%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:45.964660
",removeDuplicates,4776.62,52.2,96.0,54.38%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:47.970400
",removeDuplicates,2848.24,47.28,96.0,49.25%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:49.981564
",removeDuplicates,4707.68,50.03,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:51.987268
",removeDuplicates,2926.36,51.03,96.0,53.15%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:53.998043
",removeDuplicates,4772.42,49.12,96.0,51.17%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:56.007231
",removeDuplicates,4685.60,50.04,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:29:58.014505
",removeDuplicates,99.04,43.14,96.0,44.93%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:00.026025
",removeDuplicates,4816.21,49.84,96.0,51.92%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:02.035680
",removeDuplicates,4749.95,52.08,96.0,54.25%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:04.044837
",removeDuplicates,2849.22,47.62,96.0,49.61%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:06.056570
",removeDuplicates,4765.62,50.03,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:08.064188
",removeDuplicates,3410.98,52.02,96.0,54.19%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:10.073925
",removeDuplicates,4795.03,48.28,96.0,50.29%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:12.083829
",removeDuplicates,4646.73,50.04,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:14.089571
",removeDuplicates,705.13,47.35,96.0,49.32%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:16.097731
",removeDuplicates,4807.42,49.76,96.0,51.84%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:18.107748
",removeDuplicates,4799.56,50.66,96.0,52.77%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:20.111537
",removeDuplicates,2113.36,47.18,96.0,49.15%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:22.122682
",removeDuplicates,4821.53,50.04,96.0,52.12%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:24.130296
",removeDuplicates,3587.44,52.43,96.0,54.61%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:26.140258
",removeDuplicates,4779.04,48.34,96.0,50.35%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:28.147963
",removeDuplicates,4671.41,50.04,96.0,52.13%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:30.154301
",removeDuplicates,970.80,47.81,96.0,49.80%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:32.162200
",removeDuplicates,4816.12,49.27,96.0,51.33%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:34.172932
",removeDuplicates,4798.55,50.04,96.0,52.13%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:36.177098
",removeDuplicates,1515.63,46.08,96.0,48.00%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:38.189407
",removeDuplicates,4815.42,49.96,96.0,52.04%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:40.194200
",removeDuplicates,4570.78,54.31,96.0,56.58%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:42.203964
",removeDuplicates,4219.07,47.5,96.0,49.48%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:44.212999
",removeDuplicates,4677.96,50.04,96.0,52.13%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:46.219184
",removeDuplicates,1595.38,48.88,96.0,50.91%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:48.228146
",removeDuplicates,4798.94,49.55,96.0,51.61%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:50.239498
",removeDuplicates,4678.09,50.05,96.0,52.13%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:52.244172
",removeDuplicates,633.86,43.04,96.0,44.83%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:54.253292
",removeDuplicates,4799.40,50.05,96.0,52.13%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:56.261898
",removeDuplicates,4800.46,53.94,96.0,56.19%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:30:58.268966
",removeDuplicates,3658.48,48.28,96.0,50.29%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:31:00.281248
",removeDuplicates,4651.16,50.05,96.0,52.13%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:31:02.285286
",removeDuplicates,2384.62,50.23,96.0,52.32%,0.0,0.0,21.0,0.05908203125
"2024-11-13 20:31:04.293592
",removeDuplicates,1350.67,21.09,96.0,21.97%,0.0,0.0,21.0,0.05908203125
