Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
4.59,0.32,2024-11-13 20:27:40.168,0.0,2.61,1.98,0.19,0.12,61.45,33072,33384,0.0,0.0,68,0.01,0.0,53,0.01,0.01,62
5.32,0.45,2024-11-13 20:27:40.268,0.1,2.95,2.37,0.26,0.19,76.05999999999999,32448,33280,0.0,0.01,29,0.02,0.0,82,0.03,0.01,57
6.71,0.66,2024-11-13 20:27:40.368,0.2,3.67,3.04,0.36,0.3,86.83999999999999,32240,34112,0.0,0.01,13,0.02,0.0,95,0.03,0.02,59
5.9,0.5,2024-11-13 20:27:40.468,0.3,3.27,2.63,0.27,0.22,44.61999999999997,32136,32968,0.0,0.0,52,0.01,0.0,67,0.01,0.0,57
4.56,0.3,2024-11-13 20:27:40.569,0.401,2.55,2.01,0.17,0.12,41.44,32760,33072,0.0,0.0,56,0.01,0.0,70,0.01,0.0,62
6.9,0.65,2024-11-13 20:27:40.669,0.501,3.81,3.09,0.35,0.3,63.95000000000002,33072,32656,0.0,0.0,56,0.02,0.0,71,0.02,0.01,64
5.39,0.4,2024-11-13 20:27:40.779,0.611,3.13,2.26,0.23,0.17,40.600000000000016,32344,32656,0.0,0.0,64,0.01,0.0,64,0.01,0.0,64
4.6,0.35,2024-11-13 20:27:40.869,0.701,2.58,2.02,0.2,0.15,44.59000000000001,32864,33072,0.0,0.0,45,0.01,0.0,78,0.01,0.0,62
5.55,0.47,2024-11-13 20:27:40.969,0.801,3.06,2.49,0.27,0.2,51.63,32136,32552,0.0,0.0,45,0.02,0.0,94,0.02,0.0,80
7.33,0.68,2024-11-13 20:27:41.070,0.902,4.02,3.31,0.36,0.32,82.41999999999996,32656,32864,0.0,0.0,26,0.02,0.0,78,0.02,0.01,56
4.26,0.29,2024-11-13 20:27:41.169,1.001,2.42,1.83,0.18,0.11,41.60000000000002,32344,33176,0.0,0.0,66,0.0,0.0,61,0.01,0.0,64
4.35,0.31,2024-11-13 20:27:41.270,1.102,2.51,1.83,0.19,0.12,39.74,32344,32760,0.0,0.0,63,0.0,0.0,61,0.01,0.0,62
4.32,0.33,2024-11-13 20:27:41.370,1.202,2.46,1.86,0.2,0.13,36.71,33488,33488,0.0,0.0,59,0.01,0.0,64,0.01,0.0,61
4.39,0.34,2024-11-13 20:27:41.471,1.303,2.51,1.88,0.2,0.13,31.869999999999983,33176,34112,0.0,0.0,67,0.01,0.0,59,0.01,0.0,63
5.65,0.44,2024-11-13 20:27:41.571,1.403,3.12,2.53,0.24,0.2,54.38999999999999,33176,34320,0.0,0.0,65,0.02,0.0,72,0.02,0.0,69
9.1,0.91,2024-11-13 20:27:41.680,1.512,4.88,4.22,0.47,0.43,91.43,33176,34008,0.0,0.0,26,0.03,0.01,93,0.03,0.01,76
4.63,0.35,2024-11-13 20:27:41.772,1.604,2.65,1.98,0.21,0.14,41.49999999999997,32032,33072,0.0,0.0,69,0.01,0.0,74,0.01,0.0,71
5.29,0.46,2024-11-13 20:27:41.872,1.704,3.02,2.27,0.26,0.2,51.18,32656,33280,0.0,0.0,86,0.01,0.0,36,0.01,0.0,64
4.25,0.29,2024-11-13 20:27:41.971,1.803,2.44,1.81,0.17,0.12,39.079999999999984,32136,32968,0.0,0.0,72,0.0,0.0,55,0.01,0.0,66
4.53,0.34,2024-11-13 20:27:42.072,1.904,2.62,1.91,0.2,0.15,37.10999999999999,32032,33176,0.0,0.0,78,0.01,0.0,53,0.01,0.0,67
4.95,0.36,2024-11-13 20:27:42.173,2.005,2.77,2.18,0.19,0.17,46.760000000000005,32240,32968,0.0,0.0,62,0.01,0.0,71,0.01,0.0,67
7.11,0.68,2024-11-13 20:27:42.272,2.104,3.87,3.24,0.36,0.32,85.96000000000001,32136,34216,0.0,0.0,35,0.02,0.0,96,0.02,0.01,82
4.44,0.3,2024-11-13 20:27:42.373,2.205,2.51,1.92,0.17,0.13,37.29999999999999,32448,33800,0.0,0.0,68,0.0,0.0,70,0.01,0.0,69
4.31,0.3,2024-11-13 20:27:42.482,2.314,2.41,1.9,0.18,0.12,29.200000000000017,32760,33592,0.0,0.0,62,0.01,0.0,58,0.01,0.0,60
5.42,0.42,2024-11-13 20:27:42.574,2.406,3.03,2.39,0.23,0.18,43.07000000000001,32240,32968,0.0,0.0,73,0.01,0.0,76,0.01,0.0,74
6.46,0.56,2024-11-13 20:27:42.673,2.505,3.6,2.87,0.29,0.27,55.370000000000026,31200,32864,0.0,0.0,59,0.02,0.0,78,0.02,0.0,72
4.56,0.37,2024-11-13 20:27:42.774,2.606,2.55,2.01,0.22,0.15,47.839999999999996,31512,33280,0.0,0.0,65,0.01,0.0,74,0.01,0.0,70
6.09,0.54,2024-11-13 20:27:42.874,2.706,3.38,2.71,0.29,0.25,54.650000000000006,31824,32344,0.0,0.0,54,0.02,0.0,93,0.02,0.0,85
7.14,0.7,2024-11-13 20:27:42.978,2.81,3.91,3.23,0.37,0.33,73.93,31096,31824,0.0,0.0,52,0.02,0.0,64,0.02,0.01,61
4.51,0.34,2024-11-13 20:27:43.075,2.907,2.56,1.95,0.2,0.14,48.51999999999999,31512,33384,0.0,0.0,76,0.01,0.0,71,0.01,0.0,74
4.42,0.26,2024-11-13 20:27:43.175,3.007,2.5,1.93,0.15,0.11,30.820000000000007,32240,33176,0.0,0.0,71,0.0,0.0,62,0.01,0.0,67
4.34,0.34,2024-11-13 20:27:43.274,3.106,2.48,1.85,0.2,0.14,33.96,32760,33072,0.0,0.0,75,0.0,0.0,59,0.01,0.0,67
4.14,0.32,2024-11-13 20:27:43.384,3.216,2.41,1.73,0.19,0.13,26.7,32552,32864,0.0,0.0,71,0.0,0.0,52,0.0,0.0,63
7.4,0.69,2024-11-13 20:27:43.476,3.308,4.07,3.33,0.37,0.33,52.26,32864,32968,0.0,0.0,71,0.02,0.0,74,0.02,0.0,72
