time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:59:39.616408
",breadthFirstSearch,100.12,0.2890625,96.0,0.30%,0.0,0.0,6.246566772460938e-05,0.0
"2024-11-13 20:59:39.616408
",removeDuplicates,100.40,0.17421875,96.0,0.18%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 20:59:42.271670
",breadthFirstSearch,100.13,0.355078125,96.0,0.37%,0.0,0.0,6.246566772460938e-05,0.0
"2024-11-13 20:59:42.271670
",removeDuplicates,100.26,0.39248046875,96.0,0.41%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 20:59:44.287612
",breadthFirstSearch,100.07,0.40009765625,96.0,0.42%,0.0,0.0,6.246566772460938e-05,0.0
"2024-11-13 20:59:44.287612
",removeDuplicates,100.00,0.41015625,96.0,0.43%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 20:59:46.302760
",breadthFirstSearch,99.70,0.10283203125,96.0,0.11%,0.0,0.0,7.419586181640625e-05,0.01767578125
"2024-11-13 20:59:46.302760
",removeDuplicates,99.45,0.4125,96.0,0.43%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 20:59:48.318461
",breadthFirstSearch,99.63,0.309375,96.0,0.32%,0.0,0.0,7.419586181640625e-05,0.01767578125
"2024-11-13 20:59:48.318461
",removeDuplicates,99.58,0.4548828125,96.0,0.47%,0.0,0.0,1.1730194091796876e-05,0.0
"2024-11-13 20:59:50.332232
",breadthFirstSearch,99.64,0.3427734375,96.0,0.36%,0.0,0.0,7.419586181640625e-05,0.01767578125
"2024-11-13 20:59:50.332232
",removeDuplicates,93.25,0.065556640625,96.0,0.07%,0.0,0.0,1.1730194091796876e-05,0.03076171875
"2024-11-13 20:59:52.346899
",breadthFirstSearch,96.02,0.04609375,96.0,0.05%,0.0,0.0,0.00013637542724609375,0.0353515625
"2024-11-13 20:59:52.346899
",removeDuplicates,99.80,0.2095703125,96.0,0.22%,0.0,0.0,2.7370452880859374e-05,0.04326171875
"2024-11-13 20:59:54.365009
",breadthFirstSearch,99.83,0.28095703125,96.0,0.29%,0.0,0.0,0.00014495849609375,0.0353515625
"2024-11-13 20:59:54.365009
",removeDuplicates,99.82,0.31435546875,96.0,0.33%,0.0,0.0,2.7370452880859374e-05,0.04326171875
"2024-11-13 20:59:56.378687
",breadthFirstSearch,99.37,0.3365234375,96.0,0.35%,0.0,0.0,0.00014495849609375,0.0353515625
"2024-11-13 20:59:56.378687
",removeDuplicates,99.25,0.35537109375,96.0,0.37%,0.0,0.0,2.7370452880859374e-05,0.04326171875
"2024-11-13 20:59:58.394214
",breadthFirstSearch,99.30,0.37626953125,96.0,0.39%,0.0,0.0,0.00014495849609375,0.0353515625
"2024-11-13 20:59:58.394214
",removeDuplicates,183.45,0.0266015625,96.0,0.03%,0.0,0.0,0.6513671875,0.0634765625
"2024-11-13 21:00:00.442655
",breadthFirstSearch,52.99,0.41220703125,96.0,0.43%,0.0,0.0,0.00014495849609375,0.0435546875
"2024-11-13 21:00:00.442655
",removeDuplicates,170.84,0.03705078125,96.0,0.04%,0.0,0.0,1.66,0.0634765625
"2024-11-13 21:00:02.454499
",breadthFirstSearch,80.58,0.014189453125,96.0,0.01%,0.0,0.0,0.00026607513427734375,0.0533203125
"2024-11-13 21:00:02.454499
",removeDuplicates,162.01,0.04669921875,96.0,0.05%,0.0,0.0,2.61,0.0634765625
"2024-11-13 21:00:04.468714
",breadthFirstSearch,128.47,0.1970703125,96.0,0.21%,0.0,0.0,0.4248046875,0.0533203125
"2024-11-13 21:00:04.468714
",removeDuplicates,77.50,0.052373046875,96.0,0.05%,0.0,0.0,3.14,0.0634765625
"2024-11-13 21:00:06.482173
",breadthFirstSearch,71.80,0.307421875,96.0,0.32%,0.0,0.0,0.8681640625,0.0533203125
"2024-11-13 21:00:06.482173
",removeDuplicates,85.57,0.058701171875,96.0,0.06%,0.0,0.0,3.62,0.0634765625
"2024-11-13 21:00:08.494223
",breadthFirstSearch,70.13,0.4037109375,96.0,0.42%,0.0,0.0,1.34,0.0533203125
"2024-11-13 21:00:08.494223
",removeDuplicates,89.38,0.0621484375,96.0,0.06%,0.0,0.0,4.11,0.0634765625
"2024-11-13 21:00:10.509630
",breadthFirstSearch,70.34,0.4986328125,96.0,0.52%,0.0,0.0,1.79,0.0533203125
"2024-11-13 21:00:10.509630
",removeDuplicates,91.02,0.07095703125,96.0,0.07%,0.0,0.0,4.59,0.0634765625
"2024-11-13 21:00:12.523004
",breadthFirstSearch,70.76,0.57373046875,96.0,0.60%,0.0,0.0,2.21,0.0533203125
"2024-11-13 21:00:12.523004
",removeDuplicates,94.31,0.0768359375,96.0,0.08%,0.0,0.0,5.05,0.0634765625
"2024-11-13 21:00:14.540839
",breadthFirstSearch,67.36,0.64296875,96.0,0.67%,0.0,0.0,2.63,0.0533203125
"2024-11-13 21:00:14.540839
",removeDuplicates,93.46,0.081708984375,96.0,0.09%,0.0,0.0,5.52,0.0634765625
"2024-11-13 21:00:16.551053
",breadthFirstSearch,130.69,0.71630859375,96.0,0.75%,0.0,0.0,3.06,0.0533203125
"2024-11-13 21:00:16.551053
",removeDuplicates,98.34,0.087021484375,96.0,0.09%,0.0,0.0,6.0,0.0634765625
"2024-11-13 21:00:18.565719
",breadthFirstSearch,77.74,0.79638671875,96.0,0.83%,0.0,0.0,3.5,0.0533203125
"2024-11-13 21:00:18.565719
",removeDuplicates,95.03,0.091962890625,96.0,0.10%,0.0,0.0,6.48,0.0634765625
"2024-11-13 21:00:20.577874
",breadthFirstSearch,72.65,0.85556640625,96.0,0.89%,0.0,0.0,3.94,0.0533203125
"2024-11-13 21:00:20.577874
",removeDuplicates,96.84,0.09912109375,96.0,0.10%,0.0,0.0,6.97,0.0634765625
"2024-11-13 21:00:22.591124
",breadthFirstSearch,98.61,0.9166015625,96.0,0.95%,0.0,0.0,4.38,0.0533203125
"2024-11-13 21:00:22.591124
",removeDuplicates,97.05,0.1037109375,96.0,0.11%,0.0,0.0,7.45,0.0634765625
"2024-11-13 21:00:24.605548
",breadthFirstSearch,92.72,0.978515625,96.0,1.02%,0.0,0.0,4.81,0.0533203125
"2024-11-13 21:00:24.605548
",removeDuplicates,97.11,0.10859375,96.0,0.11%,0.0,0.0,7.95,0.0634765625
"2024-11-13 21:00:26.617652
",breadthFirstSearch,107.87,1.037,96.0,1.08%,0.0,0.0,5.22,0.0533203125
"2024-11-13 21:00:26.617652
",removeDuplicates,99.30,0.11533203125,96.0,0.12%,0.0,0.0,8.45,0.0634765625
"2024-11-13 21:00:28.632149
",breadthFirstSearch,76.25,1.096,96.0,1.14%,0.0,0.0,5.63,0.0533203125
"2024-11-13 21:00:28.632149
",removeDuplicates,95.54,0.1201171875,96.0,0.13%,0.0,0.0,8.95,0.0634765625
"2024-11-13 21:00:30.645535
",breadthFirstSearch,75.25,1.16,96.0,1.21%,0.0,0.0,6.02,0.0533203125
"2024-11-13 21:00:30.645535
",removeDuplicates,110.52,0.1255859375,96.0,0.13%,0.0,0.0,9.45,0.0634765625
"2024-11-13 21:00:32.659417
",breadthFirstSearch,114.48,1.219,96.0,1.27%,0.0,0.0,6.4,0.0533203125
"2024-11-13 21:00:32.659417
",removeDuplicates,95.66,0.132421875,96.0,0.14%,0.0,0.0,9.96,0.0634765625
"2024-11-13 21:00:34.673616
",breadthFirstSearch,70.26,1.26,96.0,1.31%,0.0,0.0,6.77,0.0533203125
"2024-11-13 21:00:34.673616
",removeDuplicates,99.97,0.139453125,96.0,0.15%,0.0,0.0,10.5,0.0634765625
"2024-11-13 21:00:36.685111
",breadthFirstSearch,71.02,1.294,96.0,1.35%,0.0,0.0,7.14,0.0533203125
"2024-11-13 21:00:36.685111
",removeDuplicates,102.51,0.144140625,96.0,0.15%,0.0,0.0,11.0,0.0634765625
"2024-11-13 21:00:38.697715
",breadthFirstSearch,68.50,1.327,96.0,1.38%,0.0,0.0,7.51,0.0533203125
"2024-11-13 21:00:38.697715
",removeDuplicates,104.85,0.156640625,96.0,0.16%,0.0,0.0,11.6,0.0634765625
"2024-11-13 21:00:40.826355
",breadthFirstSearch,60.08,1.357,96.0,1.41%,0.0,0.0,7.85,0.0533203125
"2024-11-13 21:00:40.826355
",removeDuplicates,96.88,0.1744140625,96.0,0.18%,0.0,0.0,12.1,0.0634765625
"2024-11-13 21:00:42.838246
",breadthFirstSearch,67.17,1.384,96.0,1.44%,0.0,0.0,8.2,0.0533203125
"2024-11-13 21:00:42.838246
",removeDuplicates,102.30,0.20244140625,96.0,0.21%,0.0,0.0,12.6,0.0634765625
"2024-11-13 21:00:44.850332
",breadthFirstSearch,63.54,1.395,96.0,1.45%,0.0,0.0,8.53,0.0533203125
"2024-11-13 21:00:44.850332
",removeDuplicates,115.97,0.225,96.0,0.23%,0.0,0.0,13.1,0.0634765625
"2024-11-13 21:00:46.862763
",breadthFirstSearch,64.55,1.407,96.0,1.47%,0.0,0.0,8.85,0.0533203125
"2024-11-13 21:00:46.862763
",removeDuplicates,118.92,0.24208984375,96.0,0.25%,0.0,0.0,13.7,0.0634765625
"2024-11-13 21:00:48.873710
",breadthFirstSearch,64.54,1.419,96.0,1.48%,0.0,0.0,9.17,0.0533203125
"2024-11-13 21:00:48.873710
",removeDuplicates,117.03,0.25244140625,96.0,0.26%,0.0,0.0,14.2,0.0634765625
