Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.64,0.48,2024-11-13 21:38:58.613,0.0,3.11,2.52,0.26,0.22,81.45999999999997,32968,35360,0.01,0.01,42,0.02,0.0,81,0.02,0.01,56
7.29,0.68,2024-11-13 21:38:58.712,0.099,3.97,3.32,0.36,0.32,102.35000000000001,32032,35880,0.01,0.02,25,0.03,0.01,85,0.04,0.02,49
4.75,0.38,2024-11-13 21:38:58.813,0.2,2.67,2.08,0.23,0.16,47.07999999999999,31720,34736,0.01,0.01,84,0.01,0.0,25,0.01,0.01,66
4.91,0.37,2024-11-13 21:38:58.913,0.3,2.76,2.15,0.22,0.15,44.82,31408,34840,0.0,0.0,63,0.0,0.0,66,0.01,0.0,64
5.47,0.45,2024-11-13 21:38:59.014,0.401,3.01,2.46,0.25,0.2,48.64000000000001,30368,33800,0.0,0.0,60,0.01,0.0,73,0.01,0.0,65
7.25,0.66,2024-11-13 21:38:59.114,0.501,3.98,3.27,0.36,0.31,63.490000000000016,30888,33904,0.0,0.0,60,0.01,0.0,75,0.02,0.01,67
6.14,0.53,2024-11-13 21:38:59.223,0.61,3.41,2.73,0.3,0.24,54.14000000000001,30264,33488,0.0,0.0,57,0.01,0.0,78,0.02,0.01,65
6.52,0.59,2024-11-13 21:38:59.314,0.701,3.54,2.98,0.31,0.28,89.51000000000003,31200,35776,0.01,0.01,32,0.02,0.01,91,0.03,0.01,61
5.9,0.51,2024-11-13 21:38:59.414,0.801,3.28,2.62,0.28,0.22,38.83,31408,35776,0.0,0.0,53,0.01,0.0,68,0.01,0.0,59
5.32,0.42,2024-11-13 21:38:59.515,0.902,2.98,2.34,0.23,0.19,46.17999999999999,31200,35776,0.0,0.0,77,0.01,0.0,53,0.01,0.0,68
4.85,0.38,2024-11-13 21:38:59.615,1.002,2.72,2.14,0.22,0.16,41.439999999999976,31512,35776,0.0,0.0,70,0.0,0.0,60,0.01,0.0,66
5.17,0.4,2024-11-13 21:38:59.715,1.102,2.88,2.28,0.23,0.17,40.26000000000001,30472,35776,0.0,0.0,67,0.0,0.0,65,0.01,0.0,66
4.85,0.35,2024-11-13 21:38:59.815,1.202,2.72,2.14,0.2,0.15,48.120000000000005,30888,35360,0.0,0.0,67,0.01,0.0,59,0.01,0.0,63
5.37,0.42,2024-11-13 21:38:59.915,1.302,2.97,2.4,0.24,0.18,47.350000000000016,31096,35568,0.0,0.0,64,0.01,0.0,75,0.01,0.0,69
8.11,0.78,2024-11-13 21:39:00.015,1.402,4.38,3.73,0.41,0.36,104.98000000000002,30784,35880,0.01,0.0,21,0.02,0.01,92,0.03,0.01,63
7.76,0.72,2024-11-13 21:39:00.125,1.512,4.29,3.47,0.39,0.33,54.54,32032,35776,0.0,0.0,66,0.01,0.0,77,0.02,0.0,73
5.42,0.44,2024-11-13 21:39:00.216,1.603,3.04,2.39,0.25,0.19,44.79999999999999,31408,35776,0.0,0.0,73,0.01,0.0,69,0.01,0.0,71
5.28,0.4,2024-11-13 21:39:00.316,1.703,2.92,2.36,0.22,0.18,55.70000000000001,31408,35152,0.0,0.0,70,0.01,0.0,55,0.01,0.0,62
4.8,0.35,2024-11-13 21:39:00.416,1.803,2.72,2.08,0.2,0.14,44.99999999999999,32240,35048,0.0,0.0,65,0.0,0.0,64,0.01,0.0,65
5.57,0.47,2024-11-13 21:39:00.516,1.903,3.08,2.49,0.26,0.21,57.29000000000002,31928,35464,0.0,0.0,65,0.01,0.0,76,0.02,0.0,71
7.92,0.74,2024-11-13 21:39:00.617,2.004,4.32,3.6,0.4,0.35,85.64000000000004,32344,35360,0.0,0.0,25,0.02,0.01,91,0.02,0.01,68
6.66,0.57,2024-11-13 21:39:00.716,2.103,3.67,2.99,0.31,0.26,41.179999999999986,32448,35048,0.0,0.0,63,0.01,0.0,69,0.01,0.0,66
4.55,0.25,2024-11-13 21:39:00.816,2.203,2.57,1.98,0.14,0.11,39.420000000000016,32656,34944,0.0,0.0,83,0.01,0.0,33,0.01,0.0,62
5.51,0.45,2024-11-13 21:39:00.925,2.312,3.06,2.45,0.25,0.2,43.079999999999984,33488,35152,0.0,0.0,80,0.01,0.0,67,0.01,0.0,76
