time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 21:13:34.901959
",minSpanningForest,86.92,0.1521484375,96.0,0.16%,0.0,0.0,0.01826171875,0.0
"2024-11-13 21:13:34.901959
",removeDuplicates,100.04,0.29169921875,96.0,0.30%,0.0,0.0,0.01416015625,0.0
"2024-11-13 21:13:37.555294
",minSpanningForest,96.63,0.35498046875,96.0,0.37%,0.0,0.0,0.02861328125,0.0
"2024-11-13 21:13:37.555294
",removeDuplicates,100.11,0.3904296875,96.0,0.41%,0.0,0.0,0.01416015625,0.0
"2024-11-13 21:13:39.569245
",minSpanningForest,99.85,0.4009765625,96.0,0.42%,0.0,0.0,0.02861328125,0.0
"2024-11-13 21:13:39.569245
",removeDuplicates,100.27,0.41357421875,96.0,0.43%,0.0,0.0,0.01416015625,0.0
"2024-11-13 21:13:41.584192
",minSpanningForest,94.99,0.084111328125,96.0,0.09%,0.0,0.0,0.03115234375,0.01845703125
"2024-11-13 21:13:41.584192
",removeDuplicates,100.09,0.416015625,96.0,0.43%,0.0,0.0,0.01416015625,0.0
"2024-11-13 21:13:43.596476
",minSpanningForest,100.07,0.29443359375,96.0,0.31%,0.0,0.0,0.03134765625,0.01845703125
"2024-11-13 21:13:43.596476
",removeDuplicates,99.97,0.455859375,96.0,0.47%,0.0,0.0,0.01416015625,0.0
"2024-11-13 21:13:45.613330
",minSpanningForest,99.60,0.36611328125,96.0,0.38%,0.0,0.0,0.03134765625,0.01845703125
"2024-11-13 21:13:45.613330
",removeDuplicates,92.64,0.03962890625,96.0,0.04%,0.0,0.0,0.01416015625,0.0310546875
"2024-11-13 21:13:47.625088
",minSpanningForest,99.50,0.412890625,96.0,0.43%,0.0,0.0,0.03134765625,0.01845703125
"2024-11-13 21:13:47.625088
",removeDuplicates,99.39,0.18662109375,96.0,0.19%,0.0,0.0,0.01708984375,0.0435546875
"2024-11-13 21:13:49.641545
",minSpanningForest,99.79,0.45009765625,96.0,0.47%,0.0,0.0,0.03134765625,0.01845703125
"2024-11-13 21:13:49.641545
",removeDuplicates,99.75,0.32265625,96.0,0.34%,0.0,0.0,0.01708984375,0.0435546875
"2024-11-13 21:13:51.656601
",minSpanningForest,98.28,0.4462890625,96.0,0.46%,0.0,0.0,0.03134765625,0.0296875
"2024-11-13 21:13:51.656601
",removeDuplicates,100.23,0.356640625,96.0,0.37%,0.0,0.0,0.01708984375,0.0435546875
"2024-11-13 21:13:53.672924
",minSpanningForest,99.69,0.2345703125,96.0,0.24%,0.0,0.0,0.0314453125,0.0416015625
"2024-11-13 21:13:53.672924
",removeDuplicates,173.23,0.0322265625,96.0,0.03%,0.0,0.0,0.3818359375,0.06376953125
"2024-11-13 21:13:55.687946
",minSpanningForest,99.68,0.3166015625,96.0,0.33%,0.0,0.0,0.0314453125,0.0416015625
"2024-11-13 21:13:55.687946
",removeDuplicates,177.29,0.042646484375,96.0,0.04%,0.0,0.0,1.4,0.06376953125
"2024-11-13 21:13:57.702861
",minSpanningForest,52.54,0.0819140625,96.0,0.09%,0.0,0.0,0.0314453125,0.05087890625
"2024-11-13 21:13:57.702861
",removeDuplicates,167.36,0.05267578125,96.0,0.05%,0.0,0.0,2.39,0.06376953125
"2024-11-13 21:13:59.713818
",minSpanningForest,99.85,0.330859375,96.0,0.34%,0.0,0.0,0.0314453125,0.05087890625
"2024-11-13 21:13:59.713818
",removeDuplicates,161.40,0.06162109375,96.0,0.06%,0.0,0.0,3.4,0.06376953125
"2024-11-13 21:14:01.727629
",minSpanningForest,99.95,0.388671875,96.0,0.40%,0.0,0.0,0.0314453125,0.05087890625
"2024-11-13 21:14:01.727629
",removeDuplicates,150.11,0.071220703125,96.0,0.07%,0.0,0.0,4.36,0.06376953125
"2024-11-13 21:14:03.742560
",minSpanningForest,98.02,0.4271484375,96.0,0.44%,0.0,0.0,0.0314453125,0.05087890625
"2024-11-13 21:14:03.742560
",removeDuplicates,180.94,0.08078125,96.0,0.08%,0.0,0.0,5.38,0.06376953125
"2024-11-13 21:14:05.757998
",minSpanningForest,65.82,0.44150390625,96.0,0.46%,0.0,0.0,0.0314453125,0.05908203125
"2024-11-13 21:14:05.757998
",removeDuplicates,198.84,0.091279296875,96.0,0.10%,0.0,0.0,6.36,0.06376953125
"2024-11-13 21:14:07.774352
",minSpanningForest,79.85,0.1267578125,96.0,0.13%,0.0,0.0,0.0314453125,0.0705078125
"2024-11-13 21:14:07.774352
",removeDuplicates,213.06,0.10205078125,96.0,0.11%,0.0,0.0,7.34,0.06376953125
"2024-11-13 21:14:09.786860
",minSpanningForest,4782.16,22.39,96.0,23.33%,0.0,0.0,0.0314453125,0.0705078125
"2024-11-13 21:14:09.786860
",removeDuplicates,148.52,0.108984375,96.0,0.11%,0.0,0.0,8.32,0.06376953125
"2024-11-13 21:14:11.801228
",minSpanningForest,2781.25,40.52,96.0,42.21%,0.0,0.0,0.03984375,0.0705078125
"2024-11-13 21:14:11.801228
",removeDuplicates,129.42,0.14384765625,96.0,0.15%,0.0,0.0,9.26,0.06376953125
"2024-11-13 21:14:13.815405
",minSpanningForest,2.41,40.54,96.0,42.23%,0.0,0.0,0.079296875,0.0705078125
"2024-11-13 21:14:13.815405
",removeDuplicates,143.24,0.290234375,96.0,0.30%,0.0,0.0,10.2,0.06376953125
"2024-11-13 21:14:15.829078
",minSpanningForest,1.87,40.56,96.0,42.25%,0.0,0.0,0.1181640625,0.0705078125
