Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.54,0.58,2024-11-13 21:13:16.571,0.0,3.77,2.78,0.33,0.25,73.68000000000002,31928,35672,0.01,0.02,27,0.02,0.0,87,0.03,0.02,50
7.24,0.66,2024-11-13 21:13:16.671,0.1,3.98,3.26,0.35,0.31,88.11999999999998,31304,34840,0.01,0.01,58,0.02,0.0,68,0.02,0.01,62
5.1,0.41,2024-11-13 21:13:16.771,0.2,2.84,2.26,0.23,0.18,57.93999999999998,30784,34216,0.0,0.0,65,0.01,0.0,56,0.01,0.0,62
6.6,0.6,2024-11-13 21:13:16.871,0.3,3.64,2.96,0.32,0.28,89.04999999999997,30576,32968,0.01,0.01,30,0.01,0.0,82,0.02,0.01,48
9.04,0.86,2024-11-13 21:13:16.972,0.401,4.9,4.13,0.44,0.42,86.42000000000002,29848,32864,0.0,0.0,55,0.02,0.0,77,0.03,0.01,67
4.95,0.37,2024-11-13 21:13:17.072,0.501,2.79,2.15,0.21,0.16,45.27000000000001,30368,33384,0.0,0.0,67,0.01,0.0,55,0.01,0.0,63
6.23,0.52,2024-11-13 21:13:17.181,0.61,3.22,3.02,0.26,0.26,65.88000000000001,30888,34424,0.0,0.0,53,0.01,0.0,81,0.02,0.0,68
7.13,0.67,2024-11-13 21:13:17.272,0.701,4.1,3.03,0.38,0.29,89.10000000000004,30576,32760,0.01,0.01,23,0.02,0.01,92,0.03,0.01,60
5.78,0.45,2024-11-13 21:13:17.372,0.801,3.16,2.61,0.24,0.21,59.47000000000001,30680,33592,0.0,0.0,55,0.01,0.0,66,0.01,0.0,60
5.0,0.38,2024-11-13 21:13:17.472,0.901,2.8,2.2,0.21,0.17,54.360000000000014,30160,33384,0.0,0.0,70,0.0,0.0,61,0.01,0.0,67
