time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 21:45:41.373337
",nearestNeighbors,94.57,0.1642578125,96.0,0.17%,0.0,0.0,0.007119140625,0.0
"2024-11-13 21:45:41.373337
",removeDuplicates,100.08,0.2935546875,96.0,0.31%,0.0,0.0,0.0123046875,0.0
"2024-11-13 21:45:44.030772
",nearestNeighbors,99.68,0.37919921875,96.0,0.39%,0.0,0.0,0.007373046875,0.0
"2024-11-13 21:45:44.030772
",removeDuplicates,99.82,0.40341796875,96.0,0.42%,0.0,0.0,0.01494140625,0.0
"2024-11-13 21:45:46.047230
",nearestNeighbors,98.95,0.62861328125,96.0,0.65%,0.0,0.0,0.007373046875,0.0
"2024-11-13 21:45:46.047230
",removeDuplicates,99.12,0.41865234375,96.0,0.44%,0.0,0.0,0.02255859375,0.0
"2024-11-13 21:45:48.061169
",nearestNeighbors,99.65,0.65732421875,96.0,0.68%,0.0,0.0,0.007373046875,0.0
"2024-11-13 21:45:48.061169
",removeDuplicates,99.27,0.419921875,96.0,0.44%,0.0,0.0,0.02255859375,0.0
"2024-11-13 21:45:50.075880
",nearestNeighbors,100.30,0.70986328125,96.0,0.74%,0.0,0.0,0.007373046875,0.0
"2024-11-13 21:45:50.075880
",removeDuplicates,100.14,0.4625,96.0,0.48%,0.0,0.0,0.02265625,0.0
"2024-11-13 21:45:52.091353
",nearestNeighbors,100.06,0.751953125,96.0,0.78%,0.0,0.0,0.0075,0.0
"2024-11-13 21:45:52.091353
",removeDuplicates,92.98,0.058193359375,96.0,0.06%,0.0,0.0,0.02490234375,0.0265625
"2024-11-13 21:45:54.106202
",nearestNeighbors,99.25,0.79521484375,96.0,0.83%,0.0,0.0,0.0075,0.0
"2024-11-13 21:45:54.106202
",removeDuplicates,99.33,0.20810546875,96.0,0.22%,0.0,0.0,0.02548828125,0.0390625
"2024-11-13 21:45:56.121227
",nearestNeighbors,99.75,0.83271484375,96.0,0.87%,0.0,0.0,0.0075,0.0
"2024-11-13 21:45:56.121227
",removeDuplicates,99.63,0.323046875,96.0,0.34%,0.0,0.0,0.02548828125,0.0390625
"2024-11-13 21:45:58.137368
",nearestNeighbors,100.06,0.86943359375,96.0,0.91%,0.0,0.0,0.0075,0.0
