Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.73,0.44,2024-11-13 21:45:23.003,0.0,3.34,2.38,0.25,0.18,62.840000000000025,32136,35984,0.01,0.01,43,0.01,0.0,79,0.02,0.01,56
8.66,0.84,2024-11-13 21:45:23.103,0.1,4.71,3.95,0.44,0.4,100.34,30992,35776,0.01,0.02,30,0.02,0.01,82,0.03,0.02,50
5.08,0.4,2024-11-13 21:45:23.202,0.199,2.85,2.23,0.21,0.18,47.320000000000014,31200,34632,0.0,0.0,73,0.01,0.0,50,0.01,0.0,65
4.96,0.38,2024-11-13 21:45:23.303,0.3,2.77,2.19,0.21,0.16,43.93999999999998,31304,33800,0.0,0.0,73,0.0,0.0,47,0.01,0.0,63
5.98,0.51,2024-11-13 21:45:23.403,0.4,3.3,2.68,0.28,0.22,64.57999999999998,32240,33696,0.0,0.0,74,0.01,0.0,53,0.02,0.01,66
6.35,0.52,2024-11-13 21:45:23.503,0.5,3.51,2.84,0.26,0.26,58.89,32032,33384,0.0,0.0,51,0.01,0.0,73,0.01,0.0,63
6.37,0.52,2024-11-13 21:45:23.613,0.61,3.55,2.82,0.27,0.25,59.580000000000005,32032,32968,0.0,0.0,56,0.02,0.0,76,0.02,0.01,64
7.3,0.68,2024-11-13 21:45:23.703,0.7,3.93,3.37,0.36,0.32,86.90999999999998,31824,33280,0.01,0.01,21,0.02,0.01,89,0.02,0.01,56
5.25,0.43,2024-11-13 21:45:23.803,0.8,2.95,2.3,0.24,0.19,41.370000000000005,31616,33072,0.0,0.0,68,0.01,0.0,56,0.01,0.0,63
4.65,0.28,2024-11-13 21:45:23.904,0.901,2.62,2.04,0.16,0.12,45.82,32032,32968,0.0,0.0,68,0.0,0.0,60,0.01,0.0,64
