Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.36,0.64,2024-11-14 23:39:07.824,0.0,3.59,2.76,0.34,0.3,71.88000000000001,32656,35568,0.0,0.01,37,0.01,0.0,84,0.02,0.01,57
7.6,0.78,2024-11-14 23:39:07.923,0.099,4.19,3.4,0.42,0.36,103.99999999999997,32448,35048,0.01,0.02,16,0.03,0.01,87,0.03,0.03,44
5.4,0.51,2024-11-14 23:39:08.024,0.2,3.15,2.25,0.28,0.23,53.71999999999999,32448,34632,0.0,0.0,49,0.01,0.0,74,0.01,0.0,59
3.96,0.37,2024-11-14 23:39:08.124,0.3,2.42,1.55,0.22,0.15,41.730000000000004,32864,34944,0.0,0.0,65,0.0,0.0,61,0.01,0.0,64
5.89,0.58,2024-11-14 23:39:08.225,0.401,3.32,2.57,0.31,0.27,53.58000000000002,32344,34840,0.0,0.0,54,0.01,0.0,74,0.02,0.0,64
5.45,0.51,2024-11-14 23:39:08.324,0.5,3.13,2.33,0.28,0.23,51.139999999999986,32032,34632,0.0,0.0,47,0.01,0.0,79,0.01,0.0,63
6.02,0.57,2024-11-14 23:39:08.434,0.61,3.49,2.53,0.31,0.26,64.46999999999998,32032,33904,0.0,0.0,56,0.02,0.0,77,0.02,0.01,65
5.71,0.56,2024-11-14 23:39:08.525,0.701,3.24,2.47,0.31,0.25,86.52000000000001,32448,35360,0.01,0.01,17,0.02,0.01,95,0.02,0.01,61
4.69,0.41,2024-11-14 23:39:08.626,0.802,2.74,1.94,0.22,0.19,40.11999999999998,32136,34840,0.0,0.0,63,0.01,0.0,66,0.01,0.0,65
4.17,0.37,2024-11-14 23:39:08.726,0.902,2.5,1.67,0.22,0.15,47.000000000000014,31928,34736,0.0,0.0,60,0.01,0.0,74,0.01,0.0,66
6.07,0.55,2024-11-14 23:39:08.825,1.001,3.46,2.62,0.3,0.25,48.08000000000001,31408,34944,0.0,0.0,64,0.01,0.0,62,0.01,0.0,63
4.79,0.43,2024-11-14 23:39:08.926,1.102,2.83,1.96,0.24,0.19,48.02,31928,35048,0.0,0.0,67,0.01,0.0,78,0.01,0.0,72
4.92,0.44,2024-11-14 23:39:09.026,1.202,2.87,2.05,0.24,0.2,52.58999999999998,31096,34112,0.0,0.0,61,0.01,0.0,71,0.01,0.0,66
4.84,0.46,2024-11-14 23:39:09.127,1.303,2.83,2.0,0.26,0.2,54.04999999999998,31304,34944,0.0,0.0,65,0.01,0.0,72,0.01,0.0,68
8.13,0.85,2024-11-14 23:39:09.227,1.403,4.45,3.68,0.44,0.41,113.91999999999997,31200,36400,0.01,0.0,15,0.03,0.01,95,0.04,0.01,69
5.62,0.52,2024-11-14 23:39:09.336,1.512,3.25,2.37,0.28,0.24,47.31999999999999,31200,34736,0.0,0.0,86,0.01,0.0,53,0.02,0.01,69
5.16,0.47,2024-11-14 23:39:09.427,1.603,2.99,2.17,0.25,0.22,48.77999999999999,30680,34320,0.0,0.0,71,0.01,0.0,73,0.01,0.0,72
4.68,0.42,2024-11-14 23:39:09.528,1.704,2.77,1.91,0.24,0.18,73.55000000000001,30576,35360,0.0,0.0,47,0.01,0.0,96,0.02,0.01,86
4.49,0.4,2024-11-14 23:39:09.628,1.804,2.65,1.84,0.22,0.18,42.319999999999986,30888,34632,0.0,0.0,62,0.01,0.0,78,0.01,0.0,71
4.75,0.44,2024-11-14 23:39:09.727,1.903,2.77,1.98,0.25,0.19,53.710000000000015,30888,34736,0.0,0.0,64,0.01,0.0,84,0.02,0.0,76
6.5,0.65,2024-11-14 23:39:09.828,2.004,3.65,2.85,0.35,0.3,85.77,30992,35256,0.0,0.0,26,0.02,0.01,95,0.02,0.01,78
4.2,0.37,2024-11-14 23:39:09.928,2.104,2.52,1.68,0.22,0.15,44.41000000000001,31200,35568,0.0,0.0,67,0.01,0.0,81,0.01,0.0,75
4.62,0.41,2024-11-14 23:39:10.029,2.205,2.72,1.9,0.23,0.17,39.52,31200,34944,0.0,0.0,56,0.01,0.0,89,0.01,0.0,77
5.15,0.48,2024-11-14 23:39:10.138,2.314,3.01,2.14,0.27,0.21,35.940000000000005,30992,35256,0.0,0.0,67,0.0,0.0,70,0.01,0.0,69
6.85,0.67,2024-11-14 23:39:10.229,2.405,3.82,3.02,0.35,0.32,62.23,31616,34528,0.0,0.0,52,0.02,0.0,87,0.02,0.01,75
6.11,0.59,2024-11-14 23:39:10.329,2.505,3.48,2.63,0.32,0.27,64.9,31304,35048,0.0,0.0,58,0.02,0.0,84,0.02,0.0,77
6.63,0.68,2024-11-14 23:39:10.429,2.605,3.73,2.9,0.36,0.32,98.52000000000004,31096,36816,0.0,0.0,24,0.02,0.01,95,0.03,0.01,79
4.38,0.37,2024-11-14 23:39:10.530,2.706,2.6,1.78,0.21,0.16,44.31,30576,35984,0.0,0.0,49,0.01,0.0,84,0.01,0.0,71
4.66,0.42,2024-11-14 23:39:10.633,2.809,2.75,1.91,0.24,0.18,44.55,30160,33696,0.0,0.0,69,0.01,0.0,68,0.01,0.0,68
5.35,0.45,2024-11-14 23:39:10.730,2.906,3.08,2.27,0.25,0.2,54.74000000000002,30368,34528,0.0,0.0,72,0.01,0.0,75,0.01,0.0,74
4.5,0.39,2024-11-14 23:39:10.831,3.007,2.7,1.79,0.23,0.17,34.670000000000016,31096,34736,0.0,0.0,72,0.01,0.0,71,0.01,0.0,72
4.68,0.44,2024-11-14 23:39:10.931,3.107,2.76,1.93,0.25,0.19,47.92000000000001,31408,34840,0.0,0.0,57,0.01,0.0,85,0.01,0.0,75
5.11,0.5,2024-11-14 23:39:11.040,3.216,2.97,2.14,0.27,0.22,42.69999999999999,30576,35256,0.0,0.0,32,0.01,0.0,86,0.02,0.0,67
6.77,0.64,2024-11-14 23:39:11.132,3.308,3.76,3.01,0.33,0.31,98.88000000000004,31096,35048,0.0,0.0,60,0.02,0.01,88,0.02,0.01,80
6.13,0.6,2024-11-14 23:39:11.231,3.407,3.53,2.61,0.32,0.27,61.45999999999999,30264,33904,0.0,0.0,64,0.01,0.0,80,0.02,0.0,74
5.36,0.49,2024-11-14 23:39:11.332,3.508,3.08,2.28,0.27,0.23,75.12999999999998,30264,33176,0.0,0.0,82,0.01,0.0,60,0.02,0.01,70
4.45,0.4,2024-11-14 23:39:11.432,3.608,2.64,1.81,0.22,0.18,47.68,31096,33384,0.0,0.0,69,0.01,0.0,63,0.01,0.0,66
4.98,0.43,2024-11-14 23:39:11.532,3.708,2.9,2.08,0.24,0.19,46.330000000000034,30680,33176,0.0,0.0,79,0.01,0.0,60,0.01,0.0,70
5.13,0.46,2024-11-14 23:39:11.632,3.808,3.01,2.12,0.25,0.21,56.56,30992,33384,0.0,0.0,64,0.01,0.0,82,0.02,0.0,74
7.77,0.77,2024-11-14 23:39:11.733,3.909,4.3,3.47,0.4,0.37,79.61999999999999,30992,36608,0.0,0.0,27,0.02,0.01,94,0.02,0.01,76
4.35,0.37,2024-11-14 23:39:11.842,4.018,2.55,1.8,0.2,0.17,46.43000000000001,30576,35984,0.0,0.0,60,0.01,0.0,85,0.01,0.0,76
4.91,0.45,2024-11-14 23:39:11.933,4.109,2.89,2.01,0.26,0.19,42.370000000000005,30784,35048,0.0,0.0,69,0.01,0.0,79,0.01,0.0,74
4.34,0.4,2024-11-14 23:39:12.033,4.209,2.59,1.75,0.22,0.18,36.1,30992,35360,0.0,0.0,68,0.0,0.0,67,0.01,0.0,67
