time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 21:34:33.681006
",suffixArray,100.67,0.28974609375,96.0,0.30%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-13 21:34:33.681006
",removeDuplicates,100.12,0.1689453125,96.0,0.18%,0.0,0.0,0.0,0.0
"2024-11-13 21:34:36.339737
",suffixArray,100.15,0.3455078125,96.0,0.36%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-13 21:34:36.339737
",removeDuplicates,100.24,0.3951171875,96.0,0.41%,0.0,0.0,0.0,0.0
"2024-11-13 21:34:38.353989
",suffixArray,100.20,0.3908203125,96.0,0.41%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-13 21:34:38.353989
",removeDuplicates,100.17,0.41142578125,96.0,0.43%,0.0,0.0,0.0,0.0
"2024-11-13 21:34:40.368194
",suffixArray,99.98,0.1759765625,96.0,0.18%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:40.368194
",removeDuplicates,100.03,0.41328125,96.0,0.43%,0.0,0.0,0.0,0.0
"2024-11-13 21:34:42.384376
",suffixArray,99.28,0.3521484375,96.0,0.37%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:42.384376
",removeDuplicates,99.29,0.46220703125,96.0,0.48%,0.0,0.0,0.0,0.0
"2024-11-13 21:34:44.397305
",suffixArray,99.14,0.40087890625,96.0,0.42%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:44.397305
",removeDuplicates,93.46,0.124609375,96.0,0.13%,0.0,0.0,0.0,0.02626953125
"2024-11-13 21:34:46.414271
",suffixArray,99.98,0.40693359375,96.0,0.42%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:46.414271
",removeDuplicates,100.06,0.27001953125,96.0,0.28%,0.0,0.0,0.0,0.03876953125
"2024-11-13 21:34:48.426949
",suffixArray,99.30,0.4078125,96.0,0.42%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:48.426949
",removeDuplicates,99.37,0.3240234375,96.0,0.34%,0.0,0.0,0.0,0.03876953125
"2024-11-13 21:34:50.442357
",suffixArray,99.57,0.4404296875,96.0,0.46%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:50.442357
",removeDuplicates,95.70,0.007880859375,96.0,0.01%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:34:52.454299
",suffixArray,99.57,0.48115234375,96.0,0.50%,0.0,0.0,5.07354736328125e-05,0.0162109375
"2024-11-13 21:34:52.454299
",removeDuplicates,4770.92,8.042,96.0,8.38%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:34:54.469926
",suffixArray,99.33,0.1197265625,96.0,0.12%,0.0,0.0,5.855560302734375e-05,0.04755859375
"2024-11-13 21:34:54.469926
",removeDuplicates,4770.31,23.34,96.0,24.31%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:34:56.479968
",suffixArray,99.80,0.30556640625,96.0,0.32%,0.0,0.0,5.855560302734375e-05,0.04755859375
"2024-11-13 21:34:56.479968
",removeDuplicates,468.58,30.48,96.0,31.75%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:34:58.492695
",suffixArray,100.06,0.3357421875,96.0,0.35%,0.0,0.0,5.855560302734375e-05,0.04755859375
"2024-11-13 21:34:58.492695
",removeDuplicates,4784.91,42.99,96.0,44.79%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:00.508402
",suffixArray,100.29,0.36650390625,96.0,0.38%,0.0,0.0,5.855560302734375e-05,0.04755859375
"2024-11-13 21:35:00.508402
",removeDuplicates,4492.10,46.54,96.0,48.48%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:02.523055
",suffixArray,792.88,1.681,96.0,1.75%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:02.523055
",removeDuplicates,2207.76,50.4,96.0,52.50%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:04.535477
",suffixArray,4802.92,18.6,96.0,19.37%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:04.535477
",removeDuplicates,0.12,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:06.547175
",suffixArray,4774.03,27.74,96.0,28.90%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:06.547175
",removeDuplicates,0.08,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:08.561123
",suffixArray,1367.50,23.27,96.0,24.24%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:08.561123
",removeDuplicates,0.13,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:10.572760
",suffixArray,4791.32,23.8,96.0,24.80%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:10.572760
",removeDuplicates,0.17,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:12.591381
",suffixArray,4221.10,23.72,96.0,24.71%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:12.591381
",removeDuplicates,0.06,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:14.600699
",suffixArray,4792.32,39.55,96.0,41.19%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:14.600699
",removeDuplicates,0.07,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:16.614733
",suffixArray,3489.20,34.5,96.0,35.93%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:16.614733
",removeDuplicates,0.07,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:18.626687
",suffixArray,2523.87,24.95,96.0,25.99%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:18.626687
",removeDuplicates,0.13,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:20.653069
",suffixArray,4709.53,37.73,96.0,39.30%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:20.653069
",removeDuplicates,0.07,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:22.666654
",suffixArray,3028.23,34.21,96.0,35.64%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:22.666654
",removeDuplicates,0.07,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:24.675749
",suffixArray,4795.31,30.96,96.0,32.25%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:24.675749
",removeDuplicates,0.06,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:26.689869
",suffixArray,4781.01,34.22,96.0,35.64%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:26.689869
",removeDuplicates,0.07,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:28.705473
",suffixArray,4778.09,37.32,96.0,38.88%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:28.705473
",removeDuplicates,0.09,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:30.711936
",suffixArray,4787.73,40.7,96.0,42.40%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:30.711936
",removeDuplicates,0.08,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:32.724304
",suffixArray,4799.15,38.82,96.0,40.44%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:32.724304
",removeDuplicates,0.06,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:34.741999
",suffixArray,4289.25,46.35,96.0,48.28%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:34.741999
",removeDuplicates,0.08,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:36.755223
",suffixArray,4795.17,41.16,96.0,42.88%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:36.755223
",removeDuplicates,0.07,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:38.765500
",suffixArray,4799.77,44.47,96.0,46.32%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:38.765500
",removeDuplicates,0.08,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:40.775935
",suffixArray,99.41,29.7,96.0,30.94%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:40.775935
",removeDuplicates,0.15,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:42.788915
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,6.6375732421875e-05,0.0703125
"2024-11-13 21:35:42.788915
",removeDuplicates,0.14,47.19,96.0,49.16%,0.0,0.0,0.0,0.05888671875
"2024-11-13 21:35:44.800787
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,6.6375732421875e-05,0.0703125
