Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.74,0.49,2024-11-13 21:34:15.328,0.0,3.3,2.44,0.29,0.2,64.07999999999998,34840,34112,0.01,0.01,49,0.02,0.0,74,0.02,0.01,58
8.61,0.85,2024-11-13 21:34:15.427,0.099,4.7,3.92,0.45,0.41,105.50999999999998,31824,36192,0.01,0.02,28,0.02,0.01,84,0.03,0.02,51
5.25,0.42,2024-11-13 21:34:15.527,0.199,2.94,2.3,0.23,0.19,47.5,31824,35048,0.0,0.0,67,0.01,0.0,59,0.01,0.0,65
4.92,0.37,2024-11-13 21:34:15.627,0.299,2.77,2.15,0.21,0.16,46.2,32032,34736,0.0,0.0,72,0.0,0.0,45,0.01,0.0,64
6.21,0.54,2024-11-13 21:34:15.728,0.4,3.41,2.8,0.29,0.24,53.03000000000001,31200,35360,0.0,0.0,51,0.01,0.0,75,0.02,0.0,63
6.18,0.54,2024-11-13 21:34:15.828,0.5,3.4,2.78,0.29,0.25,50.68999999999999,31720,35464,0.0,0.0,51,0.01,0.0,75,0.01,0.0,63
6.4,0.51,2024-11-13 21:34:15.937,0.609,3.54,2.86,0.27,0.24,60.580000000000005,30784,33800,0.0,0.0,53,0.02,0.0,76,0.02,0.01,62
7.85,0.75,2024-11-13 21:34:16.028,0.7,4.25,3.6,0.39,0.36,83.99999999999997,31720,32552,0.01,0.01,15,0.02,0.0,93,0.03,0.01,56
4.84,0.34,2024-11-13 21:34:16.128,0.8,2.72,2.13,0.18,0.16,35.169999999999995,30888,33072,0.0,0.0,67,0.0,0.0,61,0.01,0.0,65
4.63,0.37,2024-11-13 21:34:16.228,0.9,2.59,2.04,0.21,0.16,45.339999999999996,31824,33072,0.0,0.0,66,0.0,0.0,59,0.01,0.0,64
4.85,0.33,2024-11-13 21:34:16.328,1.0,2.7,2.15,0.18,0.15,45.45999999999999,30680,32864,0.0,0.0,64,0.0,0.0,59,0.01,0.0,62
5.33,0.44,2024-11-13 21:34:16.428,1.1,3.0,2.34,0.24,0.2,41.80000000000002,31720,32760,0.0,0.0,64,0.0,0.0,64,0.01,0.0,64
5.64,0.47,2024-11-13 21:34:16.528,1.2,3.12,2.52,0.26,0.21,52.91,31200,32136,0.0,0.0,58,0.01,0.0,73,0.01,0.0,65
6.56,0.58,2024-11-13 21:34:16.628,1.3,3.59,2.97,0.3,0.28,83.91000000000001,32136,36192,0.01,0.0,26,0.02,0.0,90,0.02,0.01,61
6.47,0.57,2024-11-13 21:34:16.728,1.4,3.56,2.91,0.3,0.27,53.66000000000001,32344,35776,0.0,0.0,61,0.01,0.0,74,0.02,0.0,69
6.33,0.57,2024-11-13 21:34:16.837,1.509,3.47,2.86,0.31,0.26,45.36000000000001,33904,36192,0.0,0.0,80,0.01,0.0,68,0.01,0.0,75
6.1,0.53,2024-11-13 21:34:16.929,1.601,3.38,2.72,0.28,0.24,52.81999999999999,33488,34112,0.0,0.0,74,0.01,0.0,71,0.01,0.01,73
4.92,0.39,2024-11-13 21:34:17.030,1.702,2.75,2.17,0.21,0.17,46.38999999999998,34320,34320,0.0,0.0,73,0.0,0.0,59,0.01,0.0,67
5.53,0.46,2024-11-13 21:34:17.130,1.802,3.07,2.45,0.25,0.21,50.89,34008,34424,0.0,0.0,85,0.01,0.0,40,0.01,0.0,66
5.65,0.47,2024-11-13 21:34:17.230,1.902,3.11,2.54,0.25,0.22,50.029999999999994,35256,33800,0.0,0.0,72,0.01,0.0,60,0.01,0.0,66
8.1,0.77,2024-11-13 21:34:17.330,2.002,4.43,3.67,0.4,0.37,95.1,33592,37024,0.01,0.0,51,0.01,0.01,91,0.02,0.01,71
4.9,0.41,2024-11-13 21:34:17.431,2.103,2.73,2.17,0.23,0.18,41.50000000000001,34008,36920,0.0,0.0,72,0.01,0.0,67,0.01,0.0,69
5.39,0.44,2024-11-13 21:34:17.531,2.203,3.03,2.37,0.23,0.21,39.08999999999999,33488,36920,0.0,0.0,70,0.0,0.0,62,0.01,0.0,67
4.76,0.38,2024-11-13 21:34:17.641,2.313,2.65,2.11,0.22,0.16,34.71000000000001,34008,36816,0.0,0.0,62,0.0,0.0,59,0.01,0.0,61
7.08,0.65,2024-11-13 21:34:17.732,2.404,3.88,3.2,0.34,0.31,58.839999999999996,33280,36816,0.0,0.0,71,0.02,0.0,77,0.02,0.0,75
6.81,0.62,2024-11-13 21:34:17.831,2.503,3.74,3.07,0.33,0.29,62.740000000000016,33904,36296,0.0,0.0,58,0.02,0.0,76,0.02,0.0,70
7.03,0.66,2024-11-13 21:34:17.932,2.604,3.84,3.19,0.35,0.31,98.29,33696,38272,0.0,0.0,29,0.02,0.01,92,0.02,0.01,70
4.79,0.37,2024-11-13 21:34:18.032,2.704,2.68,2.11,0.2,0.16,41.40000000000001,34008,37960,0.0,0.0,73,0.0,0.0,64,0.01,0.0,69
4.81,0.33,2024-11-13 21:34:18.137,2.809,2.7,2.12,0.19,0.14,39.540000000000006,32656,37336,0.0,0.0,66,0.01,0.0,61,0.01,0.0,64
5.04,0.4,2024-11-13 21:34:18.232,2.904,2.8,2.24,0.22,0.18,46.19000000000002,33072,37752,0.0,0.0,81,0.01,0.0,62,0.01,0.0,73
4.78,0.36,2024-11-13 21:34:18.332,3.004,2.68,2.1,0.2,0.16,37.12,32656,37232,0.0,0.0,75,0.0,0.0,61,0.01,0.0,68
5.39,0.4,2024-11-13 21:34:18.433,3.105,2.98,2.42,0.22,0.18,51.839999999999996,32552,37024,0.0,0.0,72,0.01,0.0,65,0.01,0.0,69
7.66,0.73,2024-11-13 21:34:18.541,3.213,4.19,3.47,0.38,0.35,75.35999999999999,32448,37232,0.0,0.0,22,0.02,0.0,92,0.02,0.01,68
7.18,0.67,2024-11-13 21:34:18.633,3.305,3.93,3.25,0.36,0.31,50.94000000000001,32344,35568,0.01,0.0,81,0.01,0.0,58,0.01,0.01,72
6.75,0.59,2024-11-13 21:34:18.734,3.406,3.71,3.04,0.31,0.28,59.76000000000001,32032,36088,0.0,0.0,67,0.01,0.0,76,0.02,0.0,73
5.89,0.49,2024-11-13 21:34:18.834,3.506,3.29,2.59,0.27,0.22,69.13000000000005,31616,36504,0.0,0.0,77,0.01,0.0,73,0.01,0.0,75
6.16,0.52,2024-11-13 21:34:18.934,3.606,3.38,2.78,0.28,0.24,43.66000000000002,31512,36608,0.0,0.0,80,0.0,0.0,55,0.01,0.0,70
5.19,0.42,2024-11-13 21:34:19.035,3.707,2.88,2.32,0.23,0.19,49.85000000000001,30680,35984,0.0,0.0,68,0.01,0.0,75,0.01,0.0,72
5.72,0.49,2024-11-13 21:34:19.135,3.807,3.14,2.58,0.26,0.23,57.26999999999998,30472,35256,0.0,0.0,32,0.01,0.0,87,0.02,0.0,63
