time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-15 23:51:28.875685
",spark,329.43,0.27353515625,96.0,0.28%,0.0,0.0,0.006748046875,3.1280517578125e-05
"2025-02-15 23:51:31.223325
",spark,405.80,0.5009765625,96.0,0.52%,0.0,0.0,0.0071484375,3.1280517578125e-05
"2025-02-15 23:51:33.231383
",spark,251.81,0.63740234375,96.0,0.66%,0.0,0.0,0.00736328125,3.1280517578125e-05
"2025-02-15 23:51:35.237466
",spark,508.93,0.97509765625,96.0,1.02%,0.0,0.0,0.007421875,3.1280517578125e-05
"2025-02-15 23:51:37.246564
",spark,930.03,1.287,96.0,1.34%,0.0,0.0,0.115234375,3.1280517578125e-05
"2025-02-15 23:51:39.254165
",spark,938.94,2.473,96.0,2.58%,0.0,0.0,0.73828125,3.1280517578125e-05
"2025-02-15 23:51:41.260805
",spark,665.67,2.506,96.0,2.61%,0.0,0.0,1.46,3.1280517578125e-05
"2025-02-15 23:51:43.267505
",spark,632.86,2.511,96.0,2.62%,0.0,0.0,2.27,3.1280517578125e-05
"2025-02-15 23:51:45.274721
",spark,705.67,2.516,96.0,2.62%,0.0,0.0,3.11,3.1280517578125e-05
"2025-02-15 23:51:47.285329
",spark,653.26,2.519,96.0,2.62%,0.0,0.0,3.97,3.1280517578125e-05
"2025-02-15 23:51:49.290951
",spark,631.45,2.526,96.0,2.63%,0.0,0.0,4.8,3.1280517578125e-05
"2025-02-15 23:51:51.298734
",spark,618.25,2.544,96.0,2.65%,0.0,0.0,5.66,3.1280517578125e-05
"2025-02-15 23:51:53.306245
",spark,667.53,2.549,96.0,2.66%,0.0,0.0,6.52,3.1280517578125e-05
"2025-02-15 23:51:55.313257
",spark,665.65,2.567,96.0,2.67%,0.0,0.0,7.38,3.1280517578125e-05
"2025-02-15 23:51:57.321685
",spark,607.00,2.57,96.0,2.68%,0.0,0.0,8.22,3.1280517578125e-05
"2025-02-15 23:51:59.327395
",spark,618.88,2.563,96.0,2.67%,0.0,0.0,9.06,3.1280517578125e-05
"2025-02-15 23:52:01.334454
",spark,612.41,2.566,96.0,2.67%,0.0,0.0,9.9,3.1280517578125e-05
"2025-02-15 23:52:03.349107
",spark,675.49,2.557,96.0,2.66%,0.0,0.0,10.7,3.1280517578125e-05
"2025-02-15 23:52:05.356422
",spark,703.17,2.559,96.0,2.67%,0.0,0.0,11.6,3.1280517578125e-05
"2025-02-15 23:52:07.362210
",spark,618.57,2.561,96.0,2.67%,0.0,0.0,12.4,3.1280517578125e-05
"2025-02-15 23:52:09.369713
",spark,612.12,2.565,96.0,2.67%,0.0,0.0,13.3,3.1280517578125e-05
"2025-02-15 23:52:11.377397
",spark,619.22,2.568,96.0,2.67%,0.0,0.0,14.1,3.1280517578125e-05
"2025-02-15 23:52:13.385905
",spark,632.97,2.57,96.0,2.68%,0.0,0.0,14.9,3.1280517578125e-05
"2025-02-15 23:52:15.394597
",spark,634.16,2.572,96.0,2.68%,0.0,0.0,15.8,3.1280517578125e-05
"2025-02-15 23:52:17.400536
",spark,622.53,2.576,96.0,2.68%,0.0,0.0,16.6,3.1280517578125e-05
"2025-02-15 23:52:19.406938
",spark,628.63,2.58,96.0,2.69%,0.0,0.0,17.4,3.1280517578125e-05
"2025-02-15 23:52:21.414243
",spark,616.91,2.583,96.0,2.69%,0.0,0.0,18.3,3.1280517578125e-05
"2025-02-15 23:52:23.421690
",spark,637.90,2.584,96.0,2.69%,0.0,0.0,19.1,3.1280517578125e-05
"2025-02-15 23:52:25.429518
",spark,633.88,2.587,96.0,2.69%,0.0,0.0,20.0,3.1280517578125e-05
"2025-02-15 23:52:27.436037
",spark,617.43,2.588,96.0,2.70%,0.0,0.0,20.8,3.1280517578125e-05
"2025-02-15 23:52:29.444201
",spark,627.81,2.593,96.0,2.70%,0.0,0.0,21.6,3.1280517578125e-05
"2025-02-15 23:52:31.450310
",spark,683.56,2.596,96.0,2.70%,0.0,0.0,22.5,3.1280517578125e-05
"2025-02-15 23:52:33.458651
",spark,701.70,2.602,96.0,2.71%,0.0,0.0,23.3,3.1280517578125e-05
"2025-02-15 23:52:35.466167
",spark,620.20,2.604,96.0,2.71%,0.0,0.0,24.2,3.1280517578125e-05
"2025-02-15 23:52:37.474394
",spark,635.91,2.606,96.0,2.71%,0.0,0.0,25.0,3.1280517578125e-05
"2025-02-15 23:52:39.481318
",spark,678.78,2.609,96.0,2.72%,0.0,0.0,25.8,3.1280517578125e-05
"2025-02-15 23:52:41.490505
",spark,695.51,2.611,96.0,2.72%,0.0,0.0,26.6,3.1280517578125e-05
"2025-02-15 23:52:43.497730
",spark,632.64,2.614,96.0,2.72%,0.0,0.0,27.4,3.1280517578125e-05
"2025-02-15 23:52:45.504693
",spark,648.65,2.616,96.0,2.73%,0.0,0.0,28.2,3.1280517578125e-05
"2025-02-15 23:52:47.512351
",spark,640.55,2.619,96.0,2.73%,0.0,0.0,29.0,3.1280517578125e-05
