Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.67,1.41,2025-02-15 23:51:09.819,0.0,5.0,4.66,0.72,0.69,17.700000000000003,35464,33072,0.0,0.0,79,0.0,0.0,40,0.0,0.0,68
9.58,1.4,2025-02-15 23:51:09.920,0.101,4.98,4.61,0.72,0.68,18.830000000000005,35048,32968,0.0,0.0,83,0.0,0.0,37,0.0,0.0,65
9.64,1.41,2025-02-15 23:51:10.020,0.201,5.02,4.62,0.73,0.69,18.16999999999999,34528,32968,0.0,0.0,74,0.0,0.0,42,0.0,0.0,62
9.6,1.41,2025-02-15 23:51:10.120,0.301,4.97,4.63,0.72,0.69,18.41999999999999,34528,33072,0.0,0.0,62,0.0,0.0,47,0.0,0.0,56
9.59,1.4,2025-02-15 23:51:10.221,0.402,4.95,4.64,0.71,0.69,24.67999999999999,34528,33072,0.01,0.0,96,0.0,0.0,9,0.01,0.01,68
9.85,1.41,2025-02-15 23:51:10.321,0.502,5.06,4.79,0.72,0.69,35.940000000000005,34008,33072,0.01,0.01,91,0.0,0.0,64,0.01,0.01,84
9.89,1.42,2025-02-15 23:51:10.421,0.602,5.29,4.6,0.73,0.69,38.95999999999999,32864,33072,0.01,0.01,96,0.0,0.0,26,0.01,0.01,89
9.48,1.39,2025-02-15 23:51:10.521,0.702,4.92,4.56,0.71,0.68,15.92,32864,33072,0.0,0.0,81,0.0,0.0,42,0.0,0.0,65
9.48,1.39,2025-02-15 23:51:10.620,0.801,4.92,4.56,0.71,0.68,15.290000000000013,33280,32968,0.0,0.0,68,0.0,0.0,47,0.0,0.0,57
9.58,1.4,2025-02-15 23:51:10.721,0.902,4.97,4.61,0.72,0.68,18.740000000000006,33280,33072,0.0,0.0,53,0.0,0.0,63,0.0,0.0,58
9.54,1.39,2025-02-15 23:51:10.821,1.002,4.92,4.61,0.71,0.68,15.190000000000015,33280,33072,0.0,0.0,61,0.0,0.0,47,0.0,0.0,53
9.65,1.41,2025-02-15 23:51:10.921,1.102,5.05,4.6,0.72,0.68,21.88999999999997,32656,32968,0.0,0.0,83,0.0,0.0,46,0.0,0.0,72
9.75,1.4,2025-02-15 23:51:11.022,1.203,5.11,4.64,0.72,0.68,44.12000000000003,34840,32552,0.01,0.0,93,0.0,0.0,35,0.01,0.01,85
9.63,1.4,2025-02-15 23:51:11.122,1.303,5.01,4.62,0.72,0.68,18.509999999999987,34736,32552,0.0,0.0,74,0.0,0.0,50,0.0,0.0,62
9.55,1.4,2025-02-15 23:51:11.221,1.402,4.98,4.57,0.72,0.68,15.84000000000001,34736,32552,0.0,0.0,69,0.0,0.0,43,0.0,0.0,57
